1997
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,4.6862272e-05,0.000131319216,0.000100254312,0.002284037376,0.004959798272,0.0002861576,3.49119475e-06,0.090475487232,0.008750626816,0.000225220224,0.000540436288,0.001027672064,0.000827462784,0.005062596608,0.11472522764815263
BORF,0.001880464128,0.0,0.0,0.0,0.0,0.0,0.0,2.0390525390625e-08,0.0,0.002161019648,0.000270827424,0.0,0.0,0.0,0.00431233171410093
TEMF,0.003801854464,7.7967056e-05,4.02546375e-07,0.0,0.000290328576,9.5188232e-05,4.2594785e-06,0.0,0.000254925504,0.00098858592,0.001293652608,5.2970976e-05,0.0,0.00698605056,0.013846185827782052
DEFO,0.0,0.0,1.2957123e-05,0.000706293184,0.003431431168,0.0,0.0,0.001459093632,0.002026676224,0.0,0.000835357248,0.000570890816,0.001802000128,0.000194712928,0.01103941266988424
PEAT,4.634746e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.265899375e-07,1.638013671875e-09,0.0,0.0,0.0,5.46297399370177e-06
AGRI,0.000425908672,0.000555741248,0.000271241952,0.000268867616,0.001113682432,0.000421438816,7.527821e-06,0.01035726848,0.001152284416,0.003743196928,0.000526889408,0.000623619264,0.00027573728,8.7799472e-05,0.019845143335304214
All sources,0.02732241791050509,0.011381833166799613,0.02173297491344597,0.03168777524434016,0.299560245192952,0.009306959472627151,0.0011459319173088398,0.40757979212149364,0.48776590619125354,0.10894462006017548,0.097418299377176,0.07704643312958144,0.6289402153635253,0.08506503583684866,2.2957107842399265

1998
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,7.245157e-06,8.2972632e-05,0.000104456592,0.001434199296,0.002643230464,4.691058e-05,4.633581e-06,0.1338195968,0.001790010112,4.493186e-06,0.000178382688,0.001847286912,0.000147559904,0.00225406208,0.1443658262879419
BORF,0.000477350272,0.0,0.0,0.0,0.0,0.0,0.0,1.13135537109375e-08,0.0,4.0168876e-05,1.6955765e-06,0.0,0.0,0.0,0.0005192260436901477
TEMF,0.000529282304,5.8894608e-05,4.42176e-07,0.0,0.00033781872,1.8517106e-05,5.5272645e-06,0.0,1.3257141e-05,2.2380948e-05,0.000463660128,0.000602810752,0.0,0.001116402432,0.00316899359622733
DEFO,0.0,0.0,1.0802515e-05,0.000537106112,0.000547742208,0.0,0.0,0.013734975488,0.000215410864,0.0,0.00016476112,0.000737201664,0.000138200112,8.2656624e-05,0.016168856697318417
PEAT,1.255485125e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11934921875e-08,3.4106060791015624e-10,0.0,0.0,0.0,1.2770195027217274e-06
AGRI,5.7902416e-05,0.000363131712,0.000284608672,0.000182832912,0.000777313152,6.922412e-05,1.0771047e-05,0.011113522176,0.000231032912,7.5722528e-05,0.000164210848,0.001233918976,4.4541652e-05,8.7750232e-05,0.01470443822162957
All sources,0.09247409960244883,0.01363078903149762,0.17716551223095686,0.04417706054402304,0.40146292518442844,0.010151151470010856,0.003200019868461206,0.5360914306132115,0.571916379728307,0.3115944987016455,0.08892293371175777,0.16363469591839452,0.10668896698334392,0.07782650877355263,2.60039960309111

1999
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,1.7170748e-05,9.6175776e-05,8.8633608e-05,0.002782406144,0.002432112896,2.7962542e-05,3.15747175e-06,0.11163377664,0.001950961024,2.03456975e-06,0.000161912832,0.001443315584,0.000172741008,0.009311143936,0.13012476578182328
BORF,0.00053176368,0.0,0.0,0.0,0.0,0.0,0.0,1.03396533203125e-08,0.0,1.8256524e-05,1.67771325e-06,0.0,0.0,0.0,0.0005517082691601647
TEMF,0.000634875072,6.2817608e-05,3.593468125e-07,0.0,0.000276314848,1.1074727e-05,4.14127775e-06,0.0,0.000163035136,9.605579e-06,0.000508259808,0.000158191264,0.0,0.003521554944,0.0053502293679301
DEFO,0.0,0.0,5.676303e-06,0.000310768672,0.000364182784,0.0,0.0,0.007796604416,0.000227727856,0.0,0.000150291904,0.000518101152,0.000148100144,0.000383453632,0.009904906226586954
PEAT,1.23911675e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5292578125e-09,1.0985723876953124e-09,0.0,0.0,0.0,1.248744558793477e-06
AGRI,6.743544e-05,0.000373894432,0.000227301664,0.000247652768,0.000644357248,4.1444872e-05,7.5139525e-06,0.010828915712,0.00026307936,3.4566816e-05,0.000175331792,0.00083146016,4.91002e-05,0.000204775952,0.014003992414127666
All sources,0.03786683326313339,0.02090986717792926,0.024903247535541337,0.02377288237296062,0.36517681307388866,0.0076333584191197006,0.0020171691826049213,0.4320928009299002,0.4861200107779623,0.1131991290756202,0.05983391584845117,0.13143500417109924,0.0692182207295063,0.1505070197370626,1.9252341052174202

2000
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,3.2915646e-05,4.8377932e-05,0.00110283904,0.004244746496,0.0,0.0,0.091917983744,0.000648974912,0.0,0.000133639872,0.000542147008,0.0,0.003499254272,0.102171602698283
BORF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEMF,0.0,3.45879725e-06,0.0,0.0,0.00041142224,0.0,0.0,0.0,0.0,0.0,1.9660872e-05,0.0,0.0,4.9881824e-05,0.00048442373323219154
DEFO,0.0,0.0,1.4551165e-05,4.1566216e-05,0.000641428992,0.0,0.0,0.00692202496,0.0,0.0,9.7031272e-05,0.000211615088,0.0,0.0,0.007928217968112
PEAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGRI,0.0,0.000142941312,0.000110768176,0.000100560808,0.00084447104,0.0,0.0,0.008472467456,0.000105646616,0.0,0.000189761584,0.000169576816,0.0,7.542368e-06,0.010155207661336646
All sources,0.022522118571508605,0.02069974265089152,0.05648283349918161,0.030780250021816776,0.1690381849856534,0.024386590620858628,0.0019307696229982532,0.4639220933050708,0.458432211189707,0.12277627678920651,0.05451370163591059,0.09556058645353806,0.0303240122494316,0.09776986416000964,1.6496037263600383

2001
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,3.10191375e-07,5.3706156e-05,8.4907576e-05,0.000758362048,0.002161575936,0.000122440648,3.684978e-06,0.110329741312,0.0024631744,2.24394075e-06,0.000131372088,0.000707315072,8.0547392e-05,0.008103121408,0.1250024881299928
BORF,9.780428e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.780427543199479e-06
TEMF,3.0297804e-05,5.5547852e-05,0.0,0.0,0.000311375328,9.542091e-06,0.0,0.0,7.404422e-06,3.8303e-05,0.000449270944,0.000183892128,0.0,0.006720592384,0.007806226394104631
DEFO,0.0,0.0,8.162162e-06,3.8524048e-05,3.6861928e-05,0.0,0.0,0.004751258112,0.00107470336,0.0,4.4995395e-06,8.3026256e-05,0.0,0.00028700592,0.0062840416376287855
PEAT,3.89388515625e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.893885259072663e-08
AGRI,4.230162e-06,0.00025163424,0.000189577888,0.0001496284,0.000482781664,4.715774e-05,1.492103625e-06,0.007498873344,0.000411531424,9.085805e-06,0.00010670848,0.000353341504,3.2315842e-05,0.000133917328,0.00967390692743132
All sources,0.012670692339549513,0.011911005379600714,0.016100416551783087,0.033738817422745954,0.15528913813274106,0.015011646408878473,0.0018794504737372358,0.3900193319609737,0.6217736273700032,0.1105609988399403,0.07342156504228153,0.057852124380794734,0.023341259805143663,0.14371087875233163,1.668702501872859

2002
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,5.781759375e-07,2.3180876e-05,9.9349968e-05,0.002007844736,0.00390868864,2.7189575e-06,1.0020357e-05,0.115986161664,0.000990248512,0.0,4.784394e-05,0.00073618592,0.000407834336,0.008580456448,0.1328038686074534
BORF,9.552637e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.552637693016266e-06
TEMF,2.165504e-05,1.9716262e-05,0.0,0.0,0.000307933696,6.59935e-08,1.80735e-07,0.0,1.8179116e-05,0.0,3.5779232e-05,7.5726e-05,0.0,0.003915920384,0.004395156454683697
