1997
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.000245710304,0.00068853856,0.000525657792,0.011975762944,0.02600543232,0.001500393984,1.8305182e-05,0.47438495744,0.0458816512,0.00118088448,0.002833639168,0.005388334592,0.00433858816,0.026544427008,0.6015322851064294
BORF,0.022415132672,0.0,0.0,0.0,0.0,0.0,0.0,2.43055078125e-07,0.0,0.02575935488,0.003228262912,0.0,0.0,0.0,0.05140299452669872
TEMF,0.02554846208,0.000523938624,2.7051115e-06,0.0,0.001951007744,0.00063966496,2.8623692e-05,0.0,0.001713099264,0.00664329728,0.008693344256,0.000355964896,0.0,0.046946258944,0.09304636604425409
DEFO,0.0,0.0,0.000126331968,0.00688635904,0.03345645568,0.0,0.0,0.014226164736,0.019760093184,0.0,0.00814473472,0.005566185984,0.017569503232,0.0018984512,0.1076342817058822
PEAT,0.002410067712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000429826752,8.51767125e-07,0.0,0.0,0.0,0.0028407464655299673
AGRI,0.003305051392,0.004312551936,0.002104837888,0.0020864128,0.008642173952,0.00327036544,5.84159e-05,0.08037240832,0.008941727744,0.029047212032,0.004088661504,0.004839284736,0.002139721472,0.00068132384,0.15399831660949512
All sources,0.33087684775992476,0.07589372129519596,0.15894618703982416,0.2152399112805739,2.1728026396104583,0.06628331078509955,0.008273781388009275,2.3532644203049875,2.6697728760798816,1.1628250228815302,0.7668983422624422,0.5269296307393874,24.782694885390097,0.48492277861577043,35.78176745697566

1998
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,3.798812e-05,0.000435045696,0.000547691328,0.007519856128,0.013859106816,0.000245963568,2.4294994e-05,0.70164873216,0.009385458688,2.3558868e-05,0.000935303872,0.00968577536,0.000773692544,0.0118185984,0.756945155795653
BORF,0.005690015232,0.0,0.0,0.0,0.0,0.0,0.0,1.348575625e-07,0.0,0.000478812992,2.0211272e-05,0.0,0.0,0.0,0.00618917448148261
TEMF,0.003556777216,0.000395771744,2.9714225e-06,0.0,0.002270141696,0.000124434928,3.7143216e-05,0.0,8.9087976e-05,0.000150399968,0.003115795712,0.00405088768,0.0,0.00750222336,0.021295636264664176
DEFO,0.0,0.0,0.000105324544,0.00523678464,0.005340487168,0.0,0.0,0.133916024832,0.002100256384,0.0,0.001606420992,0.007187715584,0.001347451136,0.000805902208,0.15764636358167725
PEAT,0.00065285216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1020616e-05,1.77351515625e-07,0.0,0.0,0.0,0.0006640501333746947
AGRI,0.000449322752,0.002817902336,0.0022085632,0.001418783488,0.006031950848,0.0005371792,8.3583312e-05,0.086240944128,0.00179281536,0.000587606784,0.00127427648,0.009575212032,0.000345643232,0.000680941888,0.1141064439177576
All sources,1.2275987543700924,0.09070549003328557,1.4395977637171917,0.3082653809425483,3.1432428182899974,0.07149035871511276,0.0226964883204604,3.244540156744194,3.128708491864017,3.585967009119634,0.6927701315902581,1.198983686958934,1.2618644546248132,0.4422136041096789,19.868629397703767

1999
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,9.0030416e-05,0.000504272992,0.000464727552,0.014588831744,0.01275215872,0.000146614416,1.6555392e-05,0.585323118592,0.010229362688,1.0667744e-05,0.00084894848,0.007567654912,0.000905723008,0.04882059264,0.6822758108310354
BORF,0.006338623488,0.0,0.0,0.0,0.0,0.0,0.0,1.232486640625e-07,0.0,0.000217617728,1.999834e-05,0.0,0.0,0.0,0.006576362575804121
TEMF,0.004266360064,0.000422134336,2.4148105e-06,0.0,0.001856835456,7.4422152e-05,2.7829384e-05,0.0,0.001095596032,6.4549492e-05,0.00341550592,0.001063045248,0.0,0.023664848896,0.035953540254080374
DEFO,0.0,0.0,5.534396e-05,0.003029994496,0.003550782208,0.0,0.0,0.076016893952,0.00222034688,0.0,0.001465346176,0.005051486208,0.001443976576,0.003738673152,0.09657284247903151
PEAT,0.000644340672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.435214e-06,5.71257625e-07,0.0,0.0,0.0,0.0006493471659923852
AGRI,0.000523299072,0.002901421056,0.001763861248,0.001921785344,0.00500021248,0.000321612256,5.8308264e-05,0.084032405504,0.002041495936,0.00026823848,0.00136057472,0.006452130304,0.000381017536,0.001589061632,0.10867098423987913
All sources,0.516533361165535,0.13886132063100218,0.17855227465711762,0.1533838110736561,2.8006031580576334,0.05503010075976215,0.014410639825023233,2.5298462081880304,2.6504297929529814,1.2562548424830904,0.4552206870993536,0.9522937116360153,1.2459180634354274,0.8316265520670176,13.783159498643887

2000
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.000172584752,0.000253657264,0.005782452736,0.02225624064,0.0,0.0,0.481948368896,0.003402733568,0.0,0.000700706368,0.002842608384,0.0,0.01834743808,0.5357105750655161
