1997
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.007979251712,0.0223597568,0.017070328832,0.388903632896,0.844506267648,0.048724135936,0.000594446592,15.405283278848,1.489971314688,0.03834830848,0.092020236288,0.17498202112,0.140892291072,0.862009491456,19.534295255953758
BORF,0.477637902336,0.0,0.0,0.0,0.0,0.0,0.0,5.1791935e-06,0.0,0.548898996224,0.068790165504,0.0,0.0,0.0,1.095332255903339
TEMF,0.669126426624,0.013722202112,7.084816e-05,0.0,0.051097829376,0.016753129472,0.000749668224,0.0,0.04486688768,0.1739911168,0.227682828288,0.009322892288,0.0,1.229544882176,2.43692871278054
DEFO,0.0,0.0,0.002317331712,0.12631781376,0.613698240512,0.0,0.0,0.260953276416,0.362463264768,0.0,0.14940045312,0.102101639168,0.322280783872,0.034823655424,1.9743565698551906
PEAT,0.024332417024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043395968,8.599572e-06,0.0,0.0,0.0,0.028680614191416216
AGRI,0.057923588096,0.075580801024,0.036888907776,0.03656599552,0.151460790272,0.057315680256,0.00102378368,1.40858884096,0.156710682624,0.50907480064,0.071656955904,0.084812218368,0.037500276736,0.011940726784,2.6989394907356665
All sources,6.7125599142664765,1.8275407571109263,3.532858014821127,5.34896411631242,51.44066138978007,1.3888133391604685,0.16469105124037103,67.71461792915115,82.16943038326951,23.787223213601187,16.40342827727482,12.81687224576544,299.8496848952999,14.5002221976225,587.774971548467

1998
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.001233634944,0.014127772672,0.017785853952,0.244201521152,0.450063630336,0.00798747648,0.000788960896,22.785495662592,0.304785555456,0.000765056,0.030373269504,0.314538033152,0.025125064704,0.383799754752,24.581207938516403
BORF,0.12124696576,0.0,0.0,0.0,0.0,0.0,0.0,2.8736425e-06,0.0,0.010202894336,0.00043067648,0.0,0.0,0.0,0.13188341572936202
TEMF,0.093153697792,0.010365451264,7.7822976e-05,0.0,0.059456094208,0.003259010304,0.000972798464,0.0,0.002333256704,0.003939046912,0.081604182016,0.106094682112,0.0,0.196486807552,0.5577428712590583
DEFO,0.0,0.0,0.001931988608,0.096059375616,0.097961590784,0.0,0.0,2.45644787712,0.038525407232,0.0,0.029466898432,0.131845668864,0.024716560384,0.014782820352,2.891737949927501
PEAT,0.006591296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000111265848,1.79056825e-06,0.0,0.0,0.0,0.006704352631639154
AGRI,0.007874729472,0.04938592256,0.038706786304,0.024865275904,0.105714597888,0.009414479872,0.001464862208,1.511439204352,0.031420475392,0.010298263552,0.022332678144,0.167813005312,0.006057666048,0.011934031872,1.9998035977708428
All sources,24.11629455443572,2.1966529237218904,30.0030651392852,7.500564385084736,69.58439039639947,1.5223009213151732,0.46579736303203234,89.88503793649507,96.2989471726865,73.89221318985597,14.859664311944998,27.82673502947002,21.852181222849264,13.235738294205271,473.4716338175673

1999
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.002923667456,0.016375873536,0.015091667968,0.473760989184,0.414116446208,0.004761189888,0.000537623488,19.00791463936,0.332190646272,0.000346426752,0.0275689472,0.245753741312,0.029412653056,1.5854108672,22.156378753170713
BORF,0.135067967488,0.0,0.0,0.0,0.0,0.0,0.0,2.626272e-06,0.0,0.004637156864,0.000426139168,0.0,0.0,0.0,0.1401338998942164
TEMF,0.111738028032,0.011055899648,6.3245032e-05,0.0,0.048631422976,0.001949151744,0.000728864896,0.0,0.028694183936,0.001690582016,0.089453723648,0.027841665024,0.0,0.619793678336,0.9416403711917836
DEFO,0.0,0.0,0.001015185024,0.055579779072,0.065132683264,0.0,0.0,1.394392694784,0.040728252416,0.0,0.026879127552,0.09266040832,0.026487144448,0.068579213312,1.7714544319645324
