1997
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,2.533096e-05,7.0983352e-05,5.4191516e-05,0.001234614784,0.002680971264,0.000154679792,1.88713225e-06,0.048905654272,0.00473006848,0.000121740656,0.000292127744,0.000555498496,0.000447277152,0.002736538368,0.062013636849054254
BORF,0.001541980544,0.0,0.0,0.0,0.0,0.0,0.0,1.672023046875e-08,0.0,0.001772036096,0.00022207848,0.0,0.0,0.0,0.0035361119768417388
TEMF,0.001216593536,2.494946e-05,1.28814828125e-07,0.0,9.290512e-05,3.0460234e-05,1.363033125e-06,0.0,8.157616e-05,0.000316347488,0.0004139688,1.695071e-05,0.0,0.002235535872,0.004430779364126788
DEFO,0.0,0.0,4.9835095e-06,0.000271651264,0.001319781376,0.0,0.0,0.000561189952,0.000779490944,0.0,0.000321291264,0.000219573408,0.000693076992,7.4889584e-05,0.00424592819143502
PEAT,2.3173732e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1329495e-06,8.190068359375e-09,0.0,0.0,0.0,2.7314871086367795e-05
AGRI,5.6787832e-05,7.4098832e-05,3.61656e-05,3.5849016e-05,0.000148490992,5.619184e-05,1.003709375e-06,0.001380969216,0.000153637904,0.000499092992,7.025192e-05,8.3149232e-05,3.6764976e-05,1.1706595e-05,0.002646019153126304
All sources,0.018782472225230263,0.0036071952951707326,0.008057288916072531,0.014283034393828204,0.13376800788817306,0.002270452850860226,0.0002531867902196696,0.195657204317121,0.2506697310636862,0.06538417621845748,0.034765908873821014,0.03188778787127209,0.418022105492843,0.040708927456927536,1.2182886128990578

1998
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,3.91630125e-06,4.4850068e-05,5.646302e-05,0.000775242944,0.001428773376,2.535707e-05,2.5046385e-06,0.07233490944,0.000967573184,2.42874925e-06,9.6423088e-05,0.00099853344,7.9762112e-05,0.001218411904,0.07803558208098377
BORF,0.000391427232,0.0,0.0,0.0,0.0,0.0,0.0,9.27711328125e-09,0.0,3.293848e-05,1.39037275e-06,0.0,0.0,0.0,0.00042576535309626814
TEMF,0.000169370352,1.8846274e-05,1.414963125e-07,0.0,0.000108101992,5.9254735e-06,1.768724625e-06,0.0,4.242285e-06,7.1619035e-06,0.000148371248,0.00019289944,0.0,0.000357248736,0.00101407792850447
DEFO,0.0,0.0,4.15481425e-06,0.00020657928,0.000210670096,0.0,0.0,0.005282683392,8.2850344e-05,0.0,6.3369668e-05,0.000283539072,5.3153896e-05,3.1791012e-05,0.006218791418082556
PEAT,6.277425e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.059674609375e-07,1.70530322265625e-09,0.0,0.0,0.0,6.385097750274378e-06
AGRI,7.7203225e-06,4.8417568e-05,3.794782e-05,2.4377722e-05,0.00010364176,9.229883e-06,1.436139375e-06,0.001481803136,3.0804388e-05,1.0096337e-05,2.1894786e-05,0.000164522544,5.9388875e-06,1.1700032e-05,0.0019605917960166504
All sources,0.07026775425613414,0.004353664389594449,0.06825228342637861,0.019856873502948513,0.1736736855031951,0.0026425551183906822,0.0007732943946677166,0.25657407818219885,0.2935118302826368,0.2196231959051173,0.030842690843125947,0.06945904140945325,0.045421351219191705,0.0377515194296842,1.2935322739091906

1999
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,9.281486e-06,5.19869e-05,4.7910056e-05,0.001504003328,0.001314655488,1.5114888e-05,1.7067415e-06,0.060342587392,0.001054573504,1.0997675e-06,8.7520456e-05,0.00078017056,9.3373512e-05,0.005033050624,0.07033771154045995
BORF,0.00043604624,0.0,0.0,0.0,0.0,0.0,0.0,8.478515625e-09,0.0,1.497035e-05,1.37572475e-06,0.0,0.0,0.0,0.00045240077624896034
TEMF,0.000203160032,2.0101634e-05,1.1499096875e-07,0.0,8.8420744e-05,3.54391225e-06,1.325208875e-06,0.0,5.2171244e-05,3.07378525e-06,0.000162643152,5.0621204e-05,0.0,0.001126897408,0.0017120733621894125
DEFO,0.0,0.0,2.18319375e-06,0.000119526408,0.000140070288,0.0,0.0,0.002998693888,8.758764e-05,0.0,5.780458e-05,0.00019926968,5.6961592e-05,0.000147482176,0.0038095795053033014
PEAT,6.195584e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.264629296875e-08,5.49286181640625e-09,0.0,0.0,0.0,6.243723043160578e-06
AGRI,8.991394e-06,4.98526e-05,3.0306892e-05,3.302037e-05,8.5914312e-05,5.5259835e-06,1.0018603125e-06,0.001443855488,3.5077252e-05,4.6089085e-06,2.3377576e-05,0.000110861352,6.546693e-06,2.7303462e-05,0.001867199021005965
All sources,0.029118766120353214,0.006780664395959398,0.009205991138912241,0.010985902914878828,0.15869699081660635,0.001730935416081842,0.0004705374887456567,0.20896336413381209,0.25010877249968144,0.0730957898213914,0.01864310843400273,0.05353305539296829,0.03290304656777911,0.07650005659251666,0.930852385462097

2000
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,1.7792242e-05,2.6150236e-05,0.00059612928,0.002294457344,0.0,0.0,0.0496854016,0.000350797248,0.0,7.223776e-05,0.000293052448,0.0,0.001891488512,0.05522789366687801
BORF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEMF,0.0,1.106815125e-06,0.0,0.0,0.000131655112,0.0,0.0,0.0,0.0,0.0,6.291479e-06,0.0,0.0,1.5962184e-05,0.00015501559180775262
DEFO,0.0,0.0,5.5966025e-06,1.5987006e-05,0.000246703488,0.0,0.0,0.002662317568,0.0,0.0,3.731972e-05,8.1390424e-05,0.0,0.0,0.003049314755016378
PEAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGRI,0.0,1.9058842e-05,1.476909e-05,1.3408109e-05,0.000112596136,0.0,0.0,0.001129662336,1.4086216e-05,0.0,2.530154e-05,2.2610242e-05,0.0,1.005649e-06,0.0013540277099261414
All sources,0.015419819958817114,0.007308978455263682,0.0213337179527027,0.014525266373583815,0.07174344711778424,0.0052158788548965955,0.0005941223516645625,0.22184735420388663,0.23550347360690876,0.08294576815999835,0.019076347668934342,0.04006485092404475,0.01272613431094292,0.0493936988953002,0.7977902185031022

2001
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,1.67671e-07,2.9030358e-05,4.5895988e-05,0.000409925376,0.001168419584,6.6184136e-05,1.99188e-06,0.059637690368,0.001331445632,1.212940875e-06,7.1011944e-05,0.00038233248,4.3539132e-05,0.004380066304,0.06756891286775488
BORF,8.01995e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.019950364527262e-06
TEMF,9.695297e-06,1.7775314e-05,0.0,0.0,9.9640112e-05,3.0534695e-06,0.0,0.0,2.369415e-06,1.225696e-05,0.000143766688,5.884548e-05,0.0,0.002150589696,0.002497992392138518
DEFO,0.0,0.0,3.1392935e-06,1.4816942e-05,1.4177667e-05,0.0,0.0,0.00182740736,0.000413347488,0.0,1.73059225e-06,3.1933176e-05,0.0,0.000110386912,0.0024169392440909067
PEAT,1.9469428125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9469427484981442e-07
AGRI,5.640215625e-07,3.3551232e-05,2.5277054e-05,1.9950452e-05,6.4370884e-05,6.2876985e-06,1.9894715625e-07,0.000999849536,5.4870856e-05,1.211440625e-06,1.4227798e-05,4.7112192e-05,4.308779e-06,1.7855646e-05,0.001289854279255869
All sources,0.007906765115615094,0.003535288673098245,0.006044716196260492,0.015023891595363565,0.072251496515849,0.002655417655281321,0.00039712123108282937,0.1884583545306473,0.3114457570382398,0.07413068962194647,0.01790668065730856,0.025926287619940806,0.013721011718318278,0.07248149401773704,0.812260710419286

2002
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,3.125275625e-07,1.2530205e-05,5.3702684e-05,0.001085321472,0.00211280448,1.46970675e-06,5.416409e-06,0.0626952192,0.000535269568,0.0,2.5861588e-05,0.0003979384,0.000220451024,0.004638084096,0.07178587525184306
BORF,7.833163e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.833162696583376e-06
TEMF,6.929613e-06,6.3092035e-06,0.0,0.0,9.8538792e-05,2.111791796875e-08,5.783519921875e-08,0.0,5.817317e-06,0.0,1.1449354e-05,2.423232e-05,0.0,0.0012530944,0.0014064500326103663
DEFO,0.0,0.0,1.4559468e-05,8.6269984e-05,0.000305519648,0.0,0.0,0.001757221376,1.0055234375e-07,0.0,0.0,4.3435268e-05,0.00029474464,0.000189375616,0.0026912265938930377
PEAT,1.9326725e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9326724808591114e-07
AGRI,4.364838e-06,1.9514696e-05,3.1158892e-05,2.7780256e-05,0.000112180728,5.663672265625e-08,5.189938125e-07,0.001452591616,2.662807e-05,1.047849453125e-07,1.6594482e-05,3.826924e-05,1.3061214e-05,1.208211e-05,0.0017560206212562043
All sources,0.0687093514490102,0.0061947383368072045,0.00806406398723153,0.0090277691681715,0.12660667498535885,0.001369646657158269,0.0004088185599988675,0.1979291015205578,0.2581014305306063,0.12697583602222173,0.03027908909245412,0.029641790170126105,0.1001180867094332,0.06316147457694676,1.026758675584408

2003
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
