1997
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,6.5860488e-05,0.00018455672,0.000140897936,0.00320999808,0.006970527232,0.000402167456,4.906543e-06,0.127154716672,0.012298176512,0.000316525696,0.000759532096,0.001444296064,0.001162920576,0.007114999808,0.161235447093112
BORF,0.010229725184,0.0,0.0,0.0,0.0,0.0,0.0,1.1092446875e-07,0.0,0.011755947008,0.001473301376,0.0,0.0,0.0,0.023459084867438095
TEMF,0.00638711552,0.000130984656,6.76277875e-07,0.0,0.000487751936,0.00015991624,7.155923e-06,0.0,0.000428274816,0.00166082432,0.002173336064,8.8991224e-05,0.0,0.011736564736,0.023261591511063523
DEFO,0.0,0.0,3.3140336e-05,0.001806480768,0.00877654528,0.0,0.0,0.003731912704,0.005183614976,0.0,0.002136587136,0.0014601632,0.00460896256,0.000498015744,0.028235422954671956
PEAT,0.000154105328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7484118e-05,5.4463953125e-08,0.0,0.0,0.0,0.0001816438959790853
AGRI,0.00123229568,0.001607944704,0.000784793472,0.000777923712,0.003222254592,0.001219362944,2.1780494e-05,0.029967034368,0.003333943296,0.010830318592,0.001524466688,0.001804338432,0.000797799808,0.000254033152,0.05741861668974484
All sources,0.1249658704172035,0.02302686156201494,0.047510951545084314,0.06011176554352478,0.590028468161132,0.022564579047199745,0.002940077819585209,0.6734039422649799,0.7378991888546996,0.4884187798259879,0.27843348379156874,0.15107357360412024,2.67825531737129,0.13003767989235812,6.01092668095427

1998
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,1.0182382e-05,0.000116610184,0.00014680384,0.002015631488,0.003714811136,6.592838e-05,6.5120595e-06,0.188070756352,0.002515689984,6.314748e-06,0.0002507,0.002596187136,0.000207381488,0.003167870976,0.20289250258837924
BORF,0.002596785408,0.0,0.0,0.0,0.0,0.0,0.0,6.154573046875e-08,0.0,0.000218518688,9.223936e-06,0.0,0.0,0.0,0.0028245897024120445
TEMF,0.000889194304,9.8942936e-05,7.42855625e-07,0.0,0.000567535424,3.1108732e-05,9.285804e-06,0.0,2.2271994e-05,3.7599992e-05,0.000778948928,0.00101272192,0.0,0.00187555584,0.005323909066166044
DEFO,0.0,0.0,2.7629512e-05,0.00137375232,0.001400956288,0.0,0.0,0.035129843712,0.000550954816,0.0,0.000421408288,0.001885534976,0.000353473376,0.000211410256,0.04135496314768333
