1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0002406566116427292,0.004460186295585907,0.0121917342535598,0.02700138565070586,0.2142735216921637,0.002565627745516838,0.0003360207032047435,0.47209266003389766,0.632472049768182,0.0033842842217400126,0.027126700219112284,0.055718366972126086,0.10669285755845781,0.08880417522028106,0.0
BORF,0.10783378371103217,0.0,0.0,0.0,0.0,0.00016426924991041976,0.0,1.1092446604743786e-07,1.4180415864067017e-06,0.38564358174820434,0.08734702245064856,0.0,0.0,0.0,0.0
TEMF,0.009475134388577035,0.007175763711194493,0.0005034171686054357,0.0,0.012975328217325142,0.0023880203666516945,2.732413917106366e-05,0.0,0.0010162031868010029,0.007933445997240192,0.020539241301241986,0.009671951794678156,0.0,0.029988941913464923,0.0
DEFO,0.0,0.0,0.01599202796743383,0.022744209509545064,0.30841636851274135,0.0,0.0,0.04608234560387566,0.023069264509314284,0.0,0.006140284658643365,0.04474732259489154,1.2365986819354469,0.0030981140842161864,0.0
PEAT,0.0027710678066415013,0.0,0.0,0.0,0.0,5.47337374859748e-07,0.0,0.0,0.0,0.0021733821109203447,4.2358169792689765e-05,0.0,1.2418153580413815,0.0,0.0
AGRI,0.004645227899310069,0.011390911555234544,0.01882377215548525,0.010366170383273868,0.05436324973890188,0.017446114347745942,0.0025767329772094015,0.15522882570274052,0.08134025334881602,0.08928408574788298,0.13723787699212978,0.040935932242424436,0.09314841983600422,0.008146448674395951,0.0
All sources,0.6837745528636316,0.1259841324295645,0.4081752124787346,0.43109973993294803,2.619563388253711,0.1349505367124913,0.014957953873520967,5.09643706462215,4.036641741939471,3.331753205334695,1.7742295276699682,1.465475531361515,10.45122180749597,0.5915849121901839,31.17427915709483

1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0007707460642527093,0.005320790350356529,0.06891992548421737,0.03553064734833919,0.22200504124420303,0.00356238451561473,0.0011585760240243191,0.5829032188760068,0.740873124709827,0.0034750872482674326,0.02388894817578445,0.10463272259598867,0.027902419036961616,0.08476677591986835,0.0
BORF,0.4339753249530046,0.0,0.0,0.0,0.0,0.00025289280374762434,0.0,6.154573130160244e-08,1.5982373579034164e-06,1.3884504511646238,0.06874079296070702,0.0,0.0,0.0,0.0
TEMF,0.010515769072941359,0.008951047795862255,0.004728452666958976,0.0,0.0110848721382913,0.0020119807636574116,9.841571006607042e-05,0.0,0.0021113735707464104,0.006360088270120999,0.022875537089730377,0.013774251089259835,0.0,0.02148640568246295,0.0
DEFO,0.0,0.0,0.24566718418180905,0.037373891014305195,0.5556390657927086,0.0,0.0,0.1649206682300347,0.024003755868073136,0.0,0.008569674669881528,0.16075981838539527,0.20377791268049356,0.004342604719109638,0.0
PEAT,0.012075146513285768,0.0,0.0,0.0,0.0,9.66875621425638e-06,0.0,0.0,0.0,0.0075554909584821675,2.821784520050648e-05,0.0,0.021120502850489685,0.0,0.0
AGRI,0.01599510019374543,0.013068715638229372,0.08466314801106535,0.012392985633027782,0.05687520220837036,0.018436296573081153,0.0067040492825438894,0.16449492513421274,0.09870502928454337,0.14431652255184874,0.12244894625448156,0.05246211822529828,0.01888639830692774,0.008750298074868624,0.0
All sources,2.773477430865998,0.1581328019298133,3.3412395928277867,0.7878897584067988,4.025679012271504,0.14952970101859556,0.04223129037907716,6.392512818596144,4.884063388447734,9.428895623803008,1.8499385029385942,3.24316817761394,2.3638655505447996,0.6905990270437439,40.15055130194224

1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
