1997
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.000493953696,0.001384175488,0.001056734656,0.02407498752,0.05227896832,0.003016256,3.679908e-05,0.953660407808,0.092236324864,0.002373942784,0.00569649152,0.01083222016,0.008721905664,0.053362495488,1.209265926416209
BORF,0.003384835584,0.0,0.0,0.0,0.0,0.0,0.0,3.67029453125e-08,0.0,0.003889835008,0.000487489376,0.0,0.0,0.0,0.00776219683409552
TEMF,0.01459912192,0.000299393504,1.545778e-06,0.0,0.001114861568,0.000365522816,1.6356396e-05,0.0,0.000978913856,0.003796169984,0.004967625728,0.000203408544,0.0,0.026826432512,0.05316935217336726
DEFO,0.0,0.0,6.3539744e-05,0.00346355328,0.0168272128,0.0,0.0,0.007155170816,0.009938507776,0.0,0.004096463616,0.002799560704,0.008836731904,0.000954842176,0.054135582345293316
PEAT,0.000115868656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0664748e-05,4.095034375e-08,0.0,0.0,0.0,0.00013657435369340048
AGRI,0.001766101376,0.0023044736,0.001124750208,0.00111490432,0.004618068992,0.001747566336,3.1215364e-05,0.042948145152,0.004778138624,0.015521792,0.002184834816,0.002585940992,0.001143390592,0.000364075168,0.0822911916278531
All sources,0.06788362518041104,0.06617836730300151,0.15022793255660874,0.26097430569854485,2.305946291525624,0.049758722501109055,0.006275531804376237,3.8515193588142242,4.906669620032074,0.30071262942786786,0.48778979157031965,0.5844573753054374,4.238312791973203,0.7521928250439153,18.032902504957956

1998
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,7.6367872e-05,0.000874576384,0.001101028992,0.015117236224,0.027861082112,0.000494462816,4.8840448e-05,1.410530934784,0.018867675136,4.7360612e-05,0.001880249984,0.019471405056,0.001555361408,0.023759036416,1.5216938615681428
BORF,0.000859230528,0.0,0.0,0.0,0.0,0.0,0.0,2.0364396484375e-08,0.0,7.2303976e-05,3.0520375e-06,0.0,0.0,0.0,0.0009346068588175717
TEMF,0.002032444288,0.000226155296,1.69795575e-06,0.0,0.001297223808,7.110568e-05,2.1224696e-05,0.0,5.090742e-05,8.5942848e-05,0.001780454784,0.002314793216,0.0,0.004286985472,0.012168935129795623
DEFO,0.0,0.0,5.297388e-05,0.002633885696,0.002686043648,0.0,0.0,0.067354206208,0.00105634176,0.0,0.000807963264,0.003615122944,0.000677712064,0.000405335424,0.07928958736961748
PEAT,3.1387128e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.298373125e-07,8.526515625e-09,0.0,0.0,0.0,3.1925488331745656e-05
AGRI,0.000240102016,0.001505786368,0.001180177536,0.000758147136,0.003223258624,0.000287049312,4.4663936e-05,0.046084071424,0.000958016448,0.000313996032,0.000680927744,0.005116650496,0.000184699408,0.000363870976,0.060974401720952406
All sources,0.205414320041887,0.07909528502529883,1.1200608694199412,0.3558979503706701,2.8372101102571583,0.05783017080558313,0.018522377738188545,4.923726468601167,5.748859572460668,0.7125265563920071,0.4461423088506746,1.1996408051394318,0.6429178272661559,0.7057294385274332,19.06380146871181

1999
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00018098896,0.001013744704,0.000934246144,0.029328064512,0.02563577856,0.00029474032,3.3281454e-05,1.176680398848,0.020564180992,2.1445466e-05,0.00170664896,0.01521332736,0.001820783744,0.098144493568,1.3715853850281106
BORF,0.000957174656,0.0,0.0,0.0,0.0,0.0,0.0,1.8611375e-08,0.0,3.286174e-05,3.0198835e-06,0.0,0.0,0.0,0.0009930748579700603
TEMF,0.002437920512,0.000241219616,1.37989175e-06,0.0,0.00106104896,4.2526952e-05,1.5902506e-05,0.0,0.000626054912,3.6885424e-05,0.001951717632,0.000607454464,0.0,0.013522767872,0.02054488028918315
