1997
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.000331835552,0.000929881856,0.000709908864,0.016173452288,0.035120730112,0.002026305152,2.4721432e-05,0.640664141824,0.061963890688,0.001594802432,0.003826873344,0.007277028864,0.00585933056,0.035848650752,0.8123785933604987
BORF,0.036104912896,0.0,0.0,0.0,0.0,0.0,0.0,3.9149809375e-07,0.0,0.04149157888,0.005199886848,0.0,0.0,0.0,0.0827967713229082
TEMF,0.072995618816,0.001496967552,7.72889e-06,0.0,0.005574308352,0.001827614208,8.1781984e-05,0.0,0.004894569472,0.018980851712,0.024838127616,0.001017042688,0.0,0.13413216256,0.2658467776113789
DEFO,0.0,0.0,0.00011736164,0.006397387264,0.031080853504,0.0,0.0,0.013216022528,0.018357010432,0.0,0.007566409728,0.005170953728,0.016321964032,0.001763649792,0.0999916083482649
PEAT,0.00069752928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000124401792,2.465210625e-07,0.0,0.0,0.0,0.0008221776052385318
AGRI,0.001306119936,0.001704273024,0.000831808768,0.00082452736,0.003415292672,0.001292412416,2.3085316e-05,0.031762294784,0.003533672448,0.011479138304,0.00161579392,0.001912432256,0.000845594368,0.00026925168,0.060858438056600024
All sources,0.5075558728175743,0.11655452659089932,0.14376580641997821,0.22757790779970155,2.3777297189562168,0.05929200335761121,0.004736402589365295,2.7063431925025756,3.3662144139447427,1.5732848861332942,0.8470907925043374,0.5931258376153697,10.636377670588137,0.8097732052939679,23.97278540981032

1998
BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,5.1303544e-05,0.000587535872,0.000739665536,0.010155680768,0.018716936192,0.0003321776,3.2810758e-05,0.947587383296,0.01267520512,3.1816614e-05,0.001263142272,0.013080788992,0.001044883648,0.01596119552,1.0222660630687186
BORF,0.009165124608,0.0,0.0,0.0,0.0,0.0,0.0,2.17220234375e-07,0.0,0.000771242368,3.2555072e-05,0.0,0.0,0.0,0.009969140462287765
TEMF,0.010162221056,0.001130776576,8.48978e-06,0.0,0.006486119936,0.000355528416,0.000106123488,0.0,0.00025453712,0.000429714208,0.008902275072,0.011573966848,0.0,0.021434929152,0.060844679468497385
DEFO,0.0,0.0,9.7845872e-05,0.00486494208,0.004961281024,0.0,0.0,0.124407177216,0.001951125632,0.0,0.001492355712,0.006677345792,0.00125177408,0.000748678336,0.1464525360016005
PEAT,0.00018895048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1896205e-06,5.13296171875e-08,0.0,0.0,0.0,0.00019219143879039337
