units - 2007 US$
CO_1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,8131294.348514527,150700565.12857902,411933745.21455234,912321548.2631165,7239863690.424134,86687310.0546125,11353451.794963932,15951044651.05952,21369935936.01163,114348036.13002276,916555673.2519965,1882609568.5335157,3604933276.51827,3000511302.821056,55666109872.87695
BORF,1404152625.5764198,0.0,0.0,0.0,0.0,2139024.465971189,0.0,1444.3977094674947,18464.96330987894,5021640053.296259,1137385212.4713662,0.0,0.0,0.0,7567229875.443659
TEMF,276830182.14462763,209650638.43871167,14708083.453979056,0.0,379093562.9847218,69769576.33627361,798315.4619754722,0.0,29689891.82024261,231787457.32558095,600084567.3785361,282580496.22578126,0.0,876171662.3044904,2971170907.137674
DEFO,0.0,0.0,311859870.5760804,443533880.722678,6014414737.153816,0.0,0.0,898649890.1256194,449872766.79816866,0.0,119741435.57266136,872615673.0982769,24114859335.847786,60416193.56411874,33285963783.459194
PEAT,122022368.86640401,0.0,0.0,0.0,0.0,24101.685345097772,0.0,0.0,0.0,95703625.26056314,1865217.5123386565,0.0,54682621290.023346,0.0,54902244623.37372
AGRI,60893664.383090444,149321918.83780235,246758283.83463365,135888726.20531002,712640489.3773168,228698753.53924575,33778044.15287652,2034873684.413057,1066278381.2121968,1170413003.278282,1799032768.28802,536623599.24418175,1221070038.0536766,106790693.9848097,9528716809.953224
All sources,1872030135.3190567,509673122.4050931,985259983.0792453,1491744155.1911047,14346012479.939987,387318766.0814482,45929811.409815945,18884569669.99591,22915795440.805557,6633892175.290707,4574664874.474918,3574429337.1017556,83623483940.44308,4043889852.674474,163921435872.2445

CO_1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,26041931.598243292,179778614.7957083,2328663207.4269886,1200507845.4368026,7501095915.944411,120365680.39767025,39145912.35358798,19695106593.172024,25032586370.232796,117416084.77687317,807158659.699497,3535325523.1742764,942765621.2292734,2864095847.3806896,64422379483.543976
BORF,5650989620.312413,0.0,0.0,0.0,0.0,3293032.053090681,0.0,801.4148873638258,20811.374026666814,18079643356.400627,895105056.8305234,0.0,0.0,0.0,24634786831.131718
TEMF,307233877.57946444,261518210.51185212,138148797.27547368,0.0,323861071.51397365,58783018.85114996,2875361.7692575557,0.0,61686927.55278619,185819464.33138227,668342932.8632443,402435287.58077943,0.0,627757386.9783903,3038597728.611002
DEFO,0.0,0.0,4790745510.673268,728826693.1762096,10835494247.683147,0.0,0.0,3216111073.0221543,468096242.5999691,0.0,167116869.36728626,3134970518.4157543,3973864590.425449,84684953.1289456,27399910698.492188
PEAT,531722097.01257634,0.0,0.0,0.0,0.0,425758.0787416654,0.0,0.0,0.0,332701676.7153214,1242556.5105204193,0.0,930029152.1905288,0.0,1796161781.1137576
AGRI,209677604.94484073,171316026.20744294,1109837757.076035,162457972.75615558,745569334.3002766,241678918.5656196,87882475.2194652,2156341730.071954,1293910881.9355187,1891825775.9426007,1605166677.058481,687718813.2542922,247579241.7102465,114706474.22257712,10752149384.992247
All sources,6725665131.44754,612612851.5150033,8367395272.451767,2091792511.3691676,19406020569.44181,424546407.94627213,129903749.34231076,25067560197.681015,26856301233.695095,20607406358.166813,4144132752.3295517,7760450142.4251,6094238605.555497,3691244661.710603,132043985907.88486

CO_1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,16111785.914927298,220992714.3891332,480711036.344029,769099324.6975746,7288909895.911627,60955325.149390176,22877627.342641626,16721292867.49246,21402879013.197,72597052.7878077,481549125.21408933,2585452768.1861296,495269109.473778,6227963288.993347,56849601145.56062
BORF,2325269945.729397,0.0,0.0,0.0,0.0,694535.5874781116,0.0,732.4270290079438,19134.376663260136,5786017211.246198,397912767.1429801,0.0,0.0,0.0,8511620963.396271
TEMF,141071599.02143517,551558433.1644025,62045930.755732775,0.0,449072951.1749525,48285368.57681449,1419363.2168494537,0.0,27413300.116836913,223367873.52529705,553531824.7467906,783430917.6961428,0.0,588320537.3801266,3429669976.6414037
DEFO,0.0,0.0,303162466.5710549,242336270.5639245,9089726151.817549,0.0,0.0,1579996251.282294,327730191.2694412,0.0,113319080.40442368,2155187340.238287,2670884730.1241026,156426453.37112948,16638768935.642202
PEAT,257175702.66510025,0.0,0.0,0.0,0.0,23385.403323895036,0.0,0.0,0.0,133245743.02201906,774185.499222113,0.0,1796371537.476116,0.0,2187598030.952952
AGRI,62657899.504990846,190358274.97294146,282101410.160178,103082789.92562488,769557503.0733976,203149674.12370926,57137999.77367441,1831274456.4734128,1072179418.2820902,961387853.9442489,1157795812.4127643,675781623.3716438,152188555.97656602,160453037.7182693,7696504912.185304
All sources,2802286932.83585,962909422.5264771,1128020843.8309946,1114518385.187124,17597266501.97752,313108288.840716,81434990.33316547,20132564307.675198,22830221057.242035,7176615734.525573,2704882795.42027,6199852649.492203,5114713933.050562,7133163317.462873,95313763964.37868

CO_2000
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,9838985.521365045,328533472.2510565,1064856014.5621129,1004605267.7263185,3105356787.104461,194492650.4087293,38961889.30686866,17231087833.595783,19896620274.82799,78723119.77395478,496182629.9354688,2193034863.777269,215680610.0603872,3972552620.3523207,49832592625.97545
BORF,1211963702.5389044,0.0,0.0,0.0,0.0,1142412.5912176284,0.0,0.0,1781.3649283824006,6699566845.69675,635966293.3405396,0.0,0.0,0.0,8549845664.13995
TEMF,56259523.897165425,455353694.3778927,58535263.63789404,0.0,311410836.86335367,75019194.89816236,676951.7585896931,0.0,20620179.08505207,65283777.53068113,281093087.8223319,464345283.3397623,0.0,501080471.4878857,2289683340.4896646
DEFO,0.0,0.0,883000428.5067586,358553533.93138874,4245977743.308853,0.0,0.0,2427243018.8445826,730492066.5294722,0.0,62240713.29091484,1340113024.7224083,1158039549.751739,76628898.175476,11282288977.061594
PEAT,111370124.20652643,0.0,0.0,0.0,0.0,34953.691738381116,0.0,0.0,0.0,213288743.6964604,1655361.1105057732,0.0,300612378.2696235,0.0,626966892.4290084
AGRI,151083620.8316197,170832580.48450124,575074280.0505644,92379644.58625554,461586819.65052956,711013217.745599,41587706.41085663,1987045789.7640643,924108353.1846222,950677584.7683451,1066198632.3967429,494934565.23633075,89472731.96229015,89779285.0257778,7821093238.428041
All sources,1540515956.9955812,954719747.1134505,2581465986.7573295,1455538446.2439625,8124332186.9271965,981702429.3354471,81226547.47631499,21645376642.20443,21571842654.992077,8007540071.466189,2543336717.8965044,4492427737.07577,1763805270.04404,4640041275.041461,80402470738.52365

CO_2001
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,4720271.588285073,128106049.52548061,327784292.4868764,950451952.2896813,4677867716.303611,64301583.692120716,16571979.229499858,15202205448.612303,25311823365.128292,84720144.2339279,539442443.0042094,1611191707.4120955,283085360.78045243,5857114614.307924,55081084953.55653
BORF,555308380.0081234,0.0,0.0,0.0,0.0,61638.316678294905,0.0,0.0,0.0,5905591293.952627,210671309.83688062,0.0,0.0,0.0,6671632622.114308
TEMF,141122806.32678497,223138053.3220661,9014672.794802105,0.0,217065938.86757556,26783537.8746367,1161513.8841391027,0.0,40316751.28446237,115388683.92177269,324761347.47093654,323450015.68222606,0.0,578179378.8738124,2000416923.3102744
DEFO,0.0,0.0,208981219.15242946,471402787.42990744,2105285624.1263108,0.0,0.0,1209114815.1096635,2249205881.2999244,0.0,41778732.50411635,628434279.821894,658534065.9650815,177529077.92943308,7750266483.338763
PEAT,77378866.31406325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293969274.4530025,1052172.465000375,0.0,1463221795.2145324,0.0,1835622108.4465985
AGRI,68423414.70464528,177017358.54814753,182969005.3654862,162033043.42757878,384846257.6358294,497277491.8407041,57150319.58527631,1730869352.933404,1623992464.1356082,866895977.8885055,1958338020.288548,179507291.0282218,120512354.39799547,190684153.8136063,8237076154.963253
All sources,846953738.9419019,528261461.3956944,728749189.7995939,1583887783.1471677,7385065536.933326,588424251.7241397,74883812.69891526,18142189616.65537,29225338461.848267,7266565374.449838,3076044025.569693,2742583293.9444375,2525353576.3580613,6803507224.924771,81576099245.72977

CO_2002
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,6279488.2372608455,241291798.19784185,414320790.6297992,686149088.2323264,6692563321.261171,45871605.16439795,20556487.51208873,15917255128.67067,20785012602.3447,42284084.50805909,1151193427.5633688,1747056147.3630195,1191043161.8695123,4722916068.635037,53670281640.21756
BORF,5660681446.481575,0.0,0.0,0.0,0.0,241401.91230718468,0.0,0.0,0.0,10472302385.130083,837680154.713994,0.0,0.0,0.0,16972156553.978838
TEMF,111988998.42878819,475167827.9395425,18910332.275624488,0.0,287459027.1867718,42144465.78251042,1543991.5076735008,0.0,20980475.08867331,263571396.0139712,232396569.67651743,159036366.1702784,0.0,1177189812.2179365,2790389262.288287
DEFO,0.0,0.0,311526811.038929,119121711.15271479,6057026749.8854475,0.0,0.0,1338446884.1425602,2125088247.6343167,0.0,21863093.781904463,982062952.535943,6544845342.477539,161410037.3124244,17661391829.961773
PEAT,642136722.434399,0.0,0.0,0.0,0.0,21925.526614952756,0.0,0.0,0.0,229486616.1407611,1083335.2385610088,0.0,10122016916.152819,0.0,10994745515.493155
AGRI,53279573.99193954,99623816.83499473,233893378.1081628,84945285.61363779,524190406.6671886,162101269.08159965,46866230.44078677,1825845361.8349702,1415901271.1826138,786808558.7612022,1647179252.8310337,325696940.3294759,433865688.1292282,136598097.5576274,7800252223.364628
All sources,6474366229.573962,816083442.9723787,978651312.0525155,890216084.9986789,13561239505.000582,250380667.46743014,68966709.46054898,19081547374.648197,24346982596.2503,11794453040.554077,3891395833.805379,3213852406.398717,18291771108.6291,6198114015.723026,109889217025.30426

CO_2003
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
