units - 2007 US$
BC_1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
BC_1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,51043158.9666215,946003497.0449085,2585861327.6942625,5726981690.347245,45447317145.99408,544168487.692557,71269839.67485087,100130639949.39072,134147036043.13489,717805156.2633803,5753560858.013888,11817840470.002832,22629506933.819286,18835325442.581963,349436875677.9882
BORF,5908772672.676334,0.0,0.0,0.0,0.0,9001164.935081,0.0,6078.126892028724,77701.85876603161,21131413302.691887,4786196701.725163,0.0,0.0,0.0,31843433709.940002
TEMF,1681192530.7500432,1273210475.0372643,89322341.41402315,0.0,2302239088.791607,423711351.8401834,4848178.003388578,0.0,180307016.55086625,1407647603.652986,3644319722.428971,1716114246.1399524,0.0,5320999457.994422,18043951324.794533
DEFO,0.0,0.0,1863788179.2172427,2650720039.257194,35944333366.275795,0.0,0.0,5370659095.519486,2688603539.019113,0.0,715618437.0167418,5215069108.302351,144119183807.32794,361069178.7386828,198929044750.67456
PEAT,24842586.988069117,0.0,0.0,0.0,0.0,4906.872614278242,0.0,0.0,0.0,19484342.6148358,379740.44481582596,0.0,11132858654.752546,0.0,11177571864.473394
AGRI,478574861.1657079,1173549293.5502882,1939320168.3184252,1067975275.4157281,5600776806.377872,1797386892.5841906,265468056.9887128,15992458338.332045,8380084085.633872,9198497847.396383,14138939845.16111,4217426679.5516043,9596621096.766163,839288323.9045343,74887993203.91336
All sources,8144425810.546775,3392763265.632462,6478292016.643953,9445677005.020168,89294666407.43936,2774272803.9246254,341586074.6669523,121493763461.36917,145396108386.1975,32474848252.61947,29039015304.790707,22966450503.996742,187478170492.66595,25356682403.21961,684318870531.7842

BC_1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
BC_1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,163474888.15254414,1128537235.1058502,14617885043.4191,7536034258.722047,47087168975.8213,755580146.5718877,245733452.2204363,123633509392.93901,157138855050.998,737064434.9541934,5066835119.523208,22192553225.319065,5918090465.9876585,17978994886.39259,404403236870.30835
BORF,23779760397.185585,0.0,0.0,0.0,0.0,13857309.529563732,0.0,3372.410102951488,87575.7198109278,76080406409.92209,3766664818.3867364,0.0,0.0,0.0,103664909599.58752
TEMF,1865834479.7883677,1588202769.936785,838979056.3412443,0.0,1966811603.5534291,356989874.78719,17462101.36157692,0.0,374625337.484161,1128483508.2413435,4058853472.7534146,2443993627.8297567,0.0,3812377043.870489,18453435111.77996
DEFO,0.0,0.0,28631240360.828293,4355733777.068453,64756860628.846146,0.0,0.0,19220651264.642296,2797513658.219461,0.0,998751281.3831526,18735725807.976086,23749262284.130196,506108131.8033383,163751847194.89737
PEAT,108253532.88324787,0.0,0.0,0.0,0.0,86680.27498948986,0.0,0.0,0.0,67734878.68800828,252972.61796216381,0.0,189345037.67571765,0.0,365681355.81973445
AGRI,1647896078.8479247,1346405151.7980905,8722425532.723772,1276788030.7826521,5859570852.657557,1899400470.853671,690685047.187853,16947098749.92011,10169091098.411695,14868217704.927546,12615309455.49274,5404912626.943482,1945772229.533526,901499943.1533928,84503181978.14117
All sources,27565219376.857655,4063145156.840727,52810529993.31241,13168556066.573153,119670412060.8784,3025914482.0173016,953880600.769866,159801262779.91153,170480172720.8332,92881906936.73315,26506667120.157215,48777185288.0684,31802470017.327095,23198980005.219803,775142292110.534

BC_1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
BC_1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,101139672.2988884,1387253461.2103746,3017601970.6180882,4827922513.824905,45755198410.339294,382639248.5965721,143611375.77568802,104965774588.14285,134353832038.42596,455718704.0082048,3022862967.6060405,16229848642.89187,3108988407.827179,39095241975.483215,356866090771.4722
BORF,9784898914.834286,0.0,0.0,0.0,0.0,2922654.430273669,0.0,3082.104218113132,80518.79978550585,24347965942.685783,1674444806.1013803,0.0,0.0,0.0,35817497566.60351
TEMF,856729267.4249607,3349619999.8026032,376805574.3292877,0.0,2727224620.9148793,293237536.6041773,8619807.345529413,0.0,166481253.1315459,1356515384.156662,3361604444.7848444,4757783979.780228,0.0,3572876644.2986255,20828420864.78788
DEFO,0.0,0.0,1811809336.6655812,1448289823.6202137,54323514519.251884,0.0,0.0,9442633140.042423,1958634994.100441,0.0,677236095.7311301,12880184599.237839,15962180054.904034,934861463.7620711,99439344027.31564
PEAT,52358513.15070536,0.0,0.0,0.0,0.0,4761.044456042459,0.0,0.0,0.0,27127558.59282521,157616.7626350806,0.0,365724059.8509262,0.0,445374031.62420934
AGRI,492440318.45028317,1496061797.3835495,2217088502.97073,810147201.5834547,6048098411.979979,1596591832.4819589,449058380.9598028,14392333398.072266,8426461469.924848,7555729543.886691,9099336953.125055,5311096001.9027195,1196078736.2596192,1261030862.7093055,60488292330.44002
All sources,11287566686.159128,6232935258.396526,7423305384.583688,7086359539.028575,108854035962.48605,2275396033.157438,601289564.0810201,128800744208.36179,144905490274.3826,33743057133.330177,17835642884.111088,39178913223.81265,20632971258.841763,44864010946.25322,573885019592.2437

BC_2000
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
BC_2000
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,61762971.91766013,2062326808.248219,6684497280.018945,6306280922.323381,19493479544.88031,1220902702.2913861,244578268.536268,108165947200.81839,124898485743.67805,494174303.2989588,3114722917.685895,13766495513.20825,1353907407.6377418,24937190330.07682,312817718496.54504
BORF,5100028201.075194,0.0,0.0,0.0,0.0,4807352.291046908,0.0,0.0,7496.1083419489705,28192246830.849735,2676190738.723535,0.0,0.0,0.0,35978349780.7842
TEMF,341664662.58276725,2765367646.2364893,355485255.9315717,0.0,1891201198.2365289,455592338.5424541,4111134.9894932304,0.0,125226558.78206158,396469049.2179775,1707081203.7640767,2819973664.1880145,0.0,3043066833.0309486,13905270370.832298
DEFO,0.0,0.0,5277132264.438656,2142846515.566876,25375509710.1,0.0,0.0,14506088415.97546,4365686690.984498,0.0,371973175.0404522,8009003570.684968,6920866186.168776,457962189.1067728,67427068718.066475
PEAT,22673891.953175217,0.0,0.0,0.0,0.0,7116.23720408397,0.0,0.0,0.0,43423547.97370792,337015.6864394908,0.0,61201804.47132412,0.0,127644461.75493106
AGRI,1187394836.9082108,1342605658.404541,4519617896.927466,726029151.6142769,3627698395.954388,5587987766.388686,326845675.5171732,15616569848.975468,7262742871.061942,7471555493.856722,8379457326.874042,3889784645.0406847,703183172.9937782,705592435.1118041,61467455591.73327
All sources,6713524564.437007,6170300112.88925,16836732697.316635,9175156589.504534,50387888849.171234,7269297275.750777,575535079.0429347,138288605465.76932,136652149360.61485,36597869225.197105,16249762377.77444,28485257393.121918,9039158571.27162,29143811787.326344,491723507419.7161

BC_2001
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
BC_2001
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,29630900.292116042,804169319.9454181,2057623920.5722737,5966340410.477158,29364715522.79416,403644957.41727597,104028477.65595882,95429897784.76494,158891729532.97412,531819855.01897633,3386280850.6144314,10114049621.885622,1777032095.6103096,36767286900.07522,345764456722.59735
BORF,2336776583.9675646,0.0,0.0,0.0,0.0,259378.35988212464,0.0,0.0,0.0,24851142069.433537,886519637.057873,0.0,0.0,0.0,28074697668.818867
TEMF,857040250.8582577,1355119688.8583128,54746200.05438452,0.0,1318243668.9639356,162656699.0310842,7053885.754926445,0.0,244844043.02301103,700756658.9335352,1972278995.2881107,1964315257.1121905,0.0,3511289285.9064717,12148552470.452473
DEFO,0.0,0.0,1248947896.5277116,2817274789.439282,12581953769.149994,0.0,0.0,7226110590.159867,13442073648.843382,0.0,249684928.0808696,3755752183.852751,3935639452.894379,1060978443.9075382,46318415702.85578
PEAT,15753597.020304926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59849332.06809614,214212.24819672195,0.0,297897962.1101459,0.0,373715103.4467438
AGRI,537752598.7233113,1391212998.7760305,1437988126.043139,1273448429.4883018,3024579749.7492933,3908198149.087553,449155204.07264847,13603230622.142555,12763264887.649073,6813099958.571341,15390950043.045097,1410781852.9495578,947129454.0364165,1498622942.851452,64736744235.14149
All sources,3776953930.8615546,3550502007.579761,4799306143.197508,10057063629.40474,46289492710.657364,4474759183.895797,560237567.4835337,116259238997.06735,185341912112.48962,32956667874.025497,21885928666.334576,17244898915.800117,6957698964.65125,42838177572.74069,497416581903.31256

BC_2002
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
BC_2002
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,39418683.19103663,1514678368.547273,2600845708.0855513,4307213029.152517,42011709161.21754,287953127.0623778,129040717.23859118,99918530562.23517,130475254791.24594,265432923.93831584,7226469324.515393,10966921217.05468,7476620922.388827,29647500787.201313,336908319674.7061
BORF,23820544262.184757,0.0,0.0,0.0,0.0,1015836.1804118055,0.0,0.0,0.0,44068182427.429855,3525016811.736811,0.0,0.0,0.0,71420024330.78802
TEMF,680110326.8276519,2885699083.4867277,114842642.70299967,0.0,1745741620.8604343,255943772.31214896,9376676.168045983,0.0,127414639.50745326,1600671787.2457085,1411346747.324516,965829483.8287088,0.0,7149085776.824663,16946062557.089056
DEFO,0.0,0.0,1861797694.238295,711914741.017309,36198998167.892525,0.0,0.0,7999046156.852966,12700301448.43634,0.0,130661810.6293091,5869165962.95561,39114379811.794,964645177.4449037,105550910971.26125
PEAT,130732893.86780596,0.0,0.0,0.0,0.0,4463.827674192563,0.0,0.0,0.0,46721279.752944894,220556.69218428773,0.0,2060745813.1449242,0.0,2238425007.2855334
AGRI,418734280.27523756,782962480.8599646,1838212432.3411448,667601117.007842,4119711863.9451528,1273984628.1317265,368330597.84068286,14349665062.277586,11127836699.029064,6183677729.083314,12945494270.307674,2559714047.8200507,3409832747.074744,1073550363.5419751,61303662054.935
All sources,25089540446.34649,5183339932.893965,6415698477.367993,5686728887.177669,84076160813.91566,1818901827.5143392,506747991.2473198,122267241781.36568,154430807578.21872,52164686147.45016,25239209521.2059,20361630711.659054,52061579294.4025,38834782105.01284,594367404596.065

BC_2003
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
BC_2003
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,36604196.64698055,1103968703.9568295,5796915866.02245,7427224897.679245,30803166463.822453,819472985.0107877,115287797.8816497,93451339149.8567,141457754632.02124,793693125.8691865,4351202862.790174,12833018842.80836,3025039149.364029,15271775156.383633,317321328924.9244
BORF,13718637288.182104,0.0,0.0,0.0,0.0,2613672.8967114403,0.0,0.0,374381.63460871787,76293544996.14857,3949821798.330456,0.0,0.0,0.0,93964992137.19241
