units - 2007 US$
1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,5.104315896662151e-05,0.0009460034970449087,0.0025858613276942624,0.005726981690347245,0.04544731714599408,0.000544168487692557,7.126983967485087e-05,0.10013063994939073,0.13414703604313488,0.0007178051562633803,0.005753560858013888,0.011817840470002833,0.022629506933819286,0.018835325442581964,0.3494368756779882
BORF,0.005908772672676334,0.0,0.0,0.0,0.0,9.001164935081e-06,0.0,6.078126892028724e-09,7.77018587660316e-08,0.021131413302691887,0.004786196701725164,0.0,0.0,0.0,0.03184343370994
TEMF,0.001681192530750043,0.0012732104750372646,8.932234141402316e-05,0.0,0.002302239088791607,0.00042371135184018335,4.848178003388578e-06,0.0,0.00018030701655086628,0.0014076476036529863,0.003644319722428971,0.0017161142461399525,0.0,0.005320999457994423,0.018043951324794534
DEFO,0.0,0.0,0.0018637881792172425,0.0026507200392571944,0.0359443333662758,0.0,0.0,0.005370659095519486,0.0026886035390191135,0.0,0.0007156184370167417,0.005215069108302351,0.1441191838073279,0.00036106917873868276,0.19892904475067458
PEAT,2.4842586988069113e-05,0.0,0.0,0.0,0.0,4.906872614278241e-09,0.0,0.0,0.0,1.9484342614835796e-05,3.7974044481582593e-07,0.0,0.011132858654752546,0.0,0.011177571864473393
AGRI,0.00047857486116570787,0.0011735492935502883,0.0019393201683184254,0.001067975275415728,0.005600776806377872,0.0017973868925841904,0.00026546805698871283,0.015992458338332047,0.008380084085633873,0.009198497847396384,0.01413893984516111,0.004217426679551605,0.009596621096766162,0.0008392883239045344,0.07488799320391336
All sources,0.008144425810546774,0.003392763265632462,0.0064782920166439545,0.00944567700502017,0.08929466640743937,0.0027742728039246256,0.00034158607466695237,0.12149376346136917,0.14539610838619751,0.03247484825261947,0.029039015304790708,0.022966450503996743,0.18747817049266594,0.025356682403219605,0.6843188705317843

1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00016347488815254415,0.0011285372351058501,0.0146178850434191,0.007536034258722048,0.04708716897582129,0.0007555801465718877,0.0002457334522204363,0.123633509392939,0.15713885505099798,0.0007370644349541932,0.005066835119523209,0.02219255322531907,0.005918090465987659,0.01797899488639259,0.4044032368703083
BORF,0.023779760397185584,0.0,0.0,0.0,0.0,1.3857309529563733e-05,0.0,3.3724101029514875e-09,8.75757198109278e-08,0.07608040640992209,0.0037666648183867363,0.0,0.0,0.0,0.10366490959958753
TEMF,0.001865834479788368,0.0015882027699367848,0.0008389790563412443,0.0,0.001966811603553429,0.00035698987478719,1.7462101361576918e-05,0.0,0.000374625337484161,0.0011284835082413435,0.004058853472753415,0.0024439936278297567,0.0,0.003812377043870489,0.018453435111779957
DEFO,0.0,0.0,0.028631240360828297,0.004355733777068453,0.06475686062884614,0.0,0.0,0.019220651264642296,0.00279751365821946,0.0,0.0009987512813831524,0.018735725807976087,0.023749262284130195,0.0005061081318033382,0.16375184719489735
PEAT,0.00010825353288324786,0.0,0.0,0.0,0.0,8.668027498948985e-08,0.0,0.0,0.0,6.773487868800829e-05,2.529726179621639e-07,0.0,0.00018934503767571763,0.0,0.00036568135581973443
AGRI,0.0016478960788479245,0.0013464051517980903,0.008722425532723774,0.001276788030782652,0.005859570852657557,0.0018994004708536708,0.0006906850471878529,0.016947098749920113,0.010169091098411694,0.014868217704927546,0.012615309455492739,0.005404912626943483,0.001945772229533526,0.0009014999431533928,0.08450318197814116
All sources,0.02756521937685765,0.004063145156840727,0.05281052999331241,0.013168556066573153,0.11967041206087839,0.0030259144820173013,0.000953880600769866,0.15980126277991152,0.17048017272083316,0.09288190693673318,0.026506667120157215,0.048777185288068396,0.0318024700173271,0.023198980005219805,0.775142292110534

1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00010113967229888839,0.0013872534612103748,0.003017601970618088,0.0048279225138249055,0.045755198410339294,0.00038263924859657214,0.00014361137577568802,0.10496577458814285,0.13435383203842596,0.00045571870400820484,0.0030228629676060407,0.01622984864289187,0.0031089884078271787,0.03909524197548322,0.3568660907714722
BORF,0.009784898914834287,0.0,0.0,0.0,0.0,2.9226544302736688e-06,0.0,3.0821042181131312e-09,8.051879978550586e-08,0.02434796594268579,0.0016744448061013805,0.0,0.0,0.0,0.03581749756660351
TEMF,0.0008567292674249608,0.003349619999802603,0.0003768055743292877,0.0,0.0027272246209148797,0.0002932375366041773,8.619807345529412e-06,0.0,0.0001664812531315459,0.001356515384156662,0.0033616044447848446,0.004757783979780227,0.0,0.0035728766442986253,0.020828420864787877
DEFO,0.0,0.0,0.0018118093366655812,0.0014482898236202134,0.05432351451925188,0.0,0.0,0.009442633140042423,0.0019586349941004408,0.0,0.00067723609573113,0.012880184599237838,0.015962180054904036,0.0009348614637620712,0.09943934402731565
PEAT,5.235851315070536e-05,0.0,0.0,0.0,0.0,4.761044456042459e-09,0.0,0.0,0.0,2.7127558592825213e-05,1.576167626350806e-07,0.0,0.00036572405985092624,0.0,0.00044537403162420934
AGRI,0.0004924403184502832,0.001496061797383549,0.00221708850297073,0.0008101472015834547,0.006048098411979979,0.001596591832481959,0.0004490583809598027,0.014392333398072265,0.008426461469924847,0.0075557295438866915,0.009099336953125054,0.0053110960019027206,0.0011960787362596192,0.0012610308627093053,0.060488292330440015
All sources,0.011287566686159128,0.006232935258396527,0.007423305384583688,0.007086359539028575,0.10885403596248604,0.002275396033157438,0.00060128956408102,0.1288007442083618,0.14490549027438263,0.03374305713333018,0.01783564288411109,0.03917891322381266,0.02063297125884176,0.04486401094625322,0.5738850195922436

2000
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,6.176297191766013e-05,0.002062326808248219,0.006684497280018944,0.006306280922323382,0.01949347954488031,0.0012209027022913861,0.000244578268536268,0.10816594720081837,0.12489848574367807,0.0004941743032989588,0.0031147229176858946,0.013766495513208249,0.0013539074076377416,0.024937190330076818,0.31281771849654505
BORF,0.005100028201075194,0.0,0.0,0.0,0.0,4.8073522910469084e-06,0.0,0.0,7.49610834194897e-09,0.02819224683084973,0.0026761907387235348,0.0,0.0,0.0,0.0359783497807842
TEMF,0.00034166466258276723,0.002765367646236489,0.0003554852559315717,0.0,0.0018912011982365289,0.00045559233854245416,4.11113498949323e-06,0.0,0.0001252265587820616,0.0003964690492179775,0.001707081203764077,0.0028199736641880144,0.0,0.0030430668330309486,0.013905270370832296
