units - 2007 US$
1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,7.224960333087799e-05,0.0013390311091379737,0.003660186001066245,0.008106319539100452,0.06432890744142639,0.0007702493000889852,0.00010087968227876046,0.14173102119830286,0.18987990510961086,0.0010160252400214843,0.008143941311007825,0.016727692931571097,0.0320311858060951,0.026660669635651228,0.4946142885832861
BORF,0.0054659299238787665,0.0,0.0,0.0,0.0,8.326557895402535e-06,0.0,5.622591679765667e-09,7.187836446507697e-08,0.0195476845185329,0.004427487262128356,0.0,0.0,0.0,0.02945687481968477
TEMF,0.001720216587826422,0.0013027643993540746,9.139570252423029e-05,0.0,0.00235567894315221,0.00043354659291366303,4.9607144862403626e-06,0.0,0.0001844923272326799,0.0014403221031569033,0.003728912125830137,0.0017559489090687626,0.0,0.00544451118486468,0.01846278981511955
DEFO,0.0,0.0,0.0018292492004683253,0.0026015979573095595,0.03527822707786841,0.0,0.0,0.00527113223887277,0.0026387793837186033,0.0,0.0007023568756599544,0.005118425507602965,0.14144842423796442,0.0003543779897066152,0.1952425704691716
PEAT,0.00032854402242684977,0.0,0.0,0.0,0.0,6.489354992284191e-08,0.0,0.0,0.0,0.00025768106535501253,5.0220797616137765e-06,0.0,0.14723241821279417,0.0,0.14782375186772675
AGRI,0.0003141665678800262,0.0007703913948060079,0.001273091448684522,0.0007010859854741688,0.0036767013401092855,0.0011799175396590897,0.00017426989013816338,0.01049845316527106,0.005501213037134566,0.00603847118207284,0.009281687312262248,0.0027685835095066437,0.0062998242758611515,0.0005509615191142115,0.049161177884081184
All sources,0.007901106705342942,0.003412186903298056,0.006853922352743324,0.011409003481884181,0.10563951480255629,0.0023921048841070635,0.0002801102869031642,0.15750061222503836,0.19820446173606113,0.028300184109139145,0.02628940696665014,0.026370650857749475,0.32701185253271486,0.03301052032933673,0.9347614534390698

1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00023139234249511993,0.0015974005018431214,0.02069104700173968,0.010666962984263069,0.06665005380461037,0.001069494271806896,0.00034782612983030306,0.17499841753184187,0.2224239293418805,0.0010432860017206497,0.007171907774694579,0.03141269477010825,0.008376826572572221,0.025448567052672934,0.572417031861261
BORF,0.02199754684529205,0.0,0.0,0.0,0.0,1.2818750406139904e-05,0.0,3.1196593655994197e-09,8.101221404609927e-08,0.07037843421682285,0.0034843658753150966,0.0,0.0,0.0,0.095895571094983
TEMF,0.0019091444717952934,0.00162506833309286,0.0008584535433638611,0.0,0.002012465479209551,0.0003652763690536049,1.786743381274286e-05,0.0,0.00038332118316745435,0.001154678011035984,0.004153068095716514,0.0025007239164348606,0.0,0.0039008704291189277,0.018881778587470227
DEFO,0.0,0.0,0.02810065745107129,0.004275015033985084,0.06355681212381427,0.0,0.0,0.01886446183305871,0.0027456712594548403,0.0,0.0009802428234444065,0.01838852271481754,0.02330915028277512,0.0004967291305171093,0.16071726265293837
PEAT,0.0014316564905315734,0.0,0.0,0.0,0.0,1.1463494707461492e-06,0.0,0.0,0.0,0.0008957959763173213,3.345571123569363e-06,0.0,0.002504094269492734,0.0,0.004836147812113929
AGRI,0.001081782387550803,0.0008838648266077351,0.005725947439450372,0.0008381637786840879,0.003846589987848008,0.0012468856549247593,0.0004534090036564153,0.011125139024921534,0.006675629492161696,0.009760431056238212,0.008281480717721291,0.0035481237982098114,0.0012773269853983292,0.0005918011302435133,0.05547319109196652
All sources,0.02665152253766484,0.004106333661543716,0.0553761054356252,0.01578014179693224,0.13606592139548224,0.002695621395662146,0.0008191025672994615,0.20498802150948145,0.23222863228887866,0.08323262526213503,0.024074410858015458,0.05585006519957047,0.03546739811023841,0.03043796774255248,0.9082209831007332

1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0001431592687512598,0.0019636032487440453,0.004271298057554101,0.006833736291470648,0.06476470140755683,0.00054161095222959,0.00020327630892181324,0.14857496593565567,0.19017261671117533,0.0006450520748039257,0.00427874479253329,0.02297271867250803,0.004400652007995669,0.05533779242460568,0.5051300530283752
BORF,0.009051553460531395,0.0,0.0,0.0,0.0,2.7036112529559453e-06,0.0,2.851110713031025e-09,7.448418361134892e-08,0.022523167308697075,0.0015489507672103496,0.0,0.0,0.0,0.03313309589005004
TEMF,0.0008766157775175022,0.003427371815932824,0.00038555203355497016,0.0,0.002790529307036714,0.000300044202470047,8.819891320805737e-06,0.0,0.00017034563594946772,0.001388002987545921,0.003439634421846592,0.00486822226002654,0.0,0.0036558107070315564,0.021311892802219106
DEFO,0.0,0.0,0.001778233609846373,0.0014214506884039496,0.05331681260893974,0.0,0.0,0.009267645944480325,0.0019223383473558839,0.0,0.0006646858335834316,0.012641494081481443,0.0156663752408485,0.0009175369798512137,0.09759657333479085
PEAT,0.0006924430391518735,0.0,0.0,0.0,0.0,6.296496717094825e-08,0.0,0.0,0.0,0.00035876284656430026,2.084486792707014e-06,0.0,0.004836712604913635,0.0,0.005890086073833453
AGRI,0.0003232687241516296,0.0009821088402824794,0.0014554360144184682,0.0005318314588236393,0.00397035131204491,0.0010481030634772878,0.0002947900994614001,0.009448030740669064,0.0055316580513135195,0.004960054985703362,0.005973375751224255,0.0034865366750382975,0.0007851811334956639,0.0008278197867001452,0.03970831064399629
All sources,0.011087040270103658,0.006373083904959348,0.007890519715373912,0.008787018438698235,0.12484239463557818,0.0018925247943970516,0.0005068862997040193,0.16729064547191574,0.19779703322997777,0.029875040203314593,0.015907476053190626,0.0439689716890543,0.02568892098725347,0.060738959898188616,0.7027700117732649

2000
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,8.742308127103472e-05,0.0029191432475692445,0.009461645562157749,0.00892629504606767,0.027592261127833334,0.0017281402277788732,0.000346191016178341,0.15310468565327792,0.17678894232018855,0.0006994844795656879,0.0044087689798779535,0.019485938222519955,0.001916403208457786,0.03529762169465603,0.44278129755950973
BORF,0.004717798135857652,0.0,0.0,0.0,0.0,4.447057314748364e-06,0.0,0.0,6.934299971398709e-09,0.026079332153000324,0.002475619183174292,0.0,0.0,0.0,0.03328189270866138
TEMF,0.00034959542440167875,0.002829557691506258,0.000363736827216081,0.0,0.001935099995601612,0.0004661676049539839,4.206563117134351e-06,0.0,0.00012813333351976273,0.000405671938616708,0.0017467061873319269,0.0028854312406732265,0.0,0.00311370287792087,0.014228041225710177
DEFO,0.0,0.0,0.005179338515382999,0.0021031361538815744,0.024905260764267335,0.0,0.0,0.014237267371976354,0.004284783499517283,0.0,0.0003650799191219519,0.007860583901549577,0.00679261143242431,0.0004494754189206087,0.06617753697704198
PEAT,0.0002998629591470315,0.0,0.0,0.0,0.0,9.411246986547214e-08,0.0,0.0,0.0,0.0005742778361935375,4.457043416169192e-06,0.0,0.0008093958552175831,0.0,0.0016881021613323187
AGRI,0.0007794804738427496,0.0008813706013756187,0.0029669607835110198,0.00047661109378760214,0.0023814488640781285,0.0036683058238462605,0.00021456201043326467,0.010251696368096206,0.0047677201453833066,0.0049047978614814155,0.005500801588051049,0.002553498721112035,0.00046161355930290996,0.0004631951487115578,0.040351094868000384
All sources,0.0062341600745201495,0.00663007154045112,0.01797168168826785,0.011506042293736845,0.0568140707517804,0.005867154826363732,0.00056495958972874,0.1775936493933505,0.18596958623290888,0.032663564268857685,0.014501432900973343,0.0327854520858548,0.009980024055402588,0.03932399514020906,0.5985079655002559

2001
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,4.194138579122446e-05,0.0011382703530022312,0.002912486521595809,0.00844512248309288,0.04156461119408611,0.0005713437171800806,0.00014724825830793783,0.13507730373970186,0.2249050549662057,0.000752770291963362,0.004793148662393274,0.01431604333955657,0.002515319728396421,0.0520426626994005,0.4894161224383448
BORF,0.002161642989978469,0.0,0.0,0.0,0.0,2.399388174536895e-07,0.0,0.0,0.0,0.022988632052386247,0.0008200779574926207,0.0,0.0,0.0,0.025970592938674788
TEMF,0.0008769339830158633,0.0013865749020032343,5.601697574067272e-05,0.0,0.0013488429078948744,0.00016643230667417422,7.217621500707213e-06,0.0,0.0002505273936542386,0.0007170227105027721,0.0020180597786216324,0.0020099111923497018,0.0,0.0035927937701607316,0.012430546203121692
DEFO,0.0,0.0,0.00122580287916153,0.0027650661663895,0.012348789995256773,0.0,0.0,0.007092199150223823,0.013192970410986363,0.0,0.00024505786225032384,0.0036861520639113595,0.0038627057465725877,0.0010413168092360974,0.045460061083988354
PEAT,0.00020834183230960065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007915093673656468,2.83296396729856e-06,0.0,0.003939710253888697,0.0,0.004942394417531244
AGRI,0.0003530145498681065,0.0009132795105063451,0.0009439856364450491,0.000835971458772422,0.0019855239366724526,0.002565586496793332,0.00029485366044739743,0.008930014163592464,0.00837860795077907,0.004472546320749443,0.010103585368145047,0.0009261257352823923,0.0006217552034008315,0.000983790135519027,0.042497261055107136
All sources,0.003641874740963264,0.0034381247655118105,0.005138292012943061,0.012046160108254801,0.05724776803391025,0.00330360245946504,0.0004493195402560425,0.15109951705351815,0.24672716072162537,0.029722480742967468,0.017982762592870193,0.02093823233110002,0.010939490932258537,0.05766056341431635,0.6207169781367682

2002
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,5.579561015743474e-05,0.0021439682381710046,0.0036813958014986253,0.006096692287741774,0.059465938102947376,0.000407586437153078,0.00018265211010795173,0.1414307887356828,0.18468264162996897,0.00037570996789305233,0.01022878587786455,0.015523249876343445,0.010582865720499768,0.041964882708310405,0.476880605330716
BORF,0.02203527404909557,0.0,0.0,0.0,0.0,9.397026512476962e-07,0.0,0.0,0.0,0.04076541949895218,0.0032608285812094364,0.0,0.0,0.0,0.06606733223151019
TEMF,0.000695897129161399,0.002952682274474908,0.00011750838455500533,0.0,0.0017862639969372983,0.0002618847710873707,9.594328767938538e-06,0.0,0.0001303722039529371,0.0016378267852197289,0.001444107107444103,0.000988248437949685,0.0,0.00731503124118626,0.017339416660736632
DEFO,0.0,0.0,0.0018272955972943475,0.0006987218112224488,0.03552817274942215,0.0,0.0,0.007850810997806018,0.0124649445471495,0.0,0.00012824043906693142,0.005760400883788358,0.03838952762920782,0.0009467687491508683,0.10359488340410841
PEAT,0.001728946779539979,0.0,0.0,0.0,0.0,5.90342650716731e-08,0.0,0.0,0.0,0.0006178904411345843,2.9168694311013896e-06,0.0,0.027253430699973914,0.0,0.029603243824344653
AGRI,0.0002748834578999198,0.0005139857014133267,0.0012067179864236183,0.00043825526406664,0.0027044373699203384,0.0008363234524928757,0.00024179531528900063,0.009420020586067253,0.0073050102776726624,0.004059354083125746,0.008498234742849935,0.0016803569178931608,0.0022384281844918495,0.0007047458235026821,0.04024357052536702
All sources,0.024790797025854305,0.00561063621405924,0.006832917769771596,0.007233669363030862,0.09948481221922716,0.0015067933976496434,0.0004340417541648908,0.1587016203195561,0.2045829686587441,0.04745620077632529,0.023563113617866054,0.023952256115974648,0.07846425223417335,0.05093142852215022,0.7337290519767828

2003
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,5.181181436373471e-05,0.0015626246999837915,0.008205308615428961,0.010512947560748012,0.043600682457928565,0.0011599320957492382,0.0001631853877667184,0.13227673107964796,0.20022794242053205,0.0011234417093633174,0.006158958186497362,0.018164638380070472,0.004281825103083646,0.021616602961378486,0.449155982656678
BORF,0.012690471319368252,0.0,0.0,0.0,0.0,2.41778684587128e-06,0.0,0.0,3.4632299612552357e-07,0.07057559884902795,0.0036537958664412703,0.0,0.0,0.0,0.08692263014467948
TEMF,0.0010680512917978792,0.002264302407734438,7.919569824400144e-05,0.0,0.0020537678642486993,0.000557741591397304,8.986310411223277e-06,0.0,0.00023848958274799156,0.00044758699850784437,0.0014937240956473038,0.0024590244516856014,0.0,0.014577540484839592,0.025248619686416306
DEFO,0.0,0.0,0.009872994761253409,0.007586020528537915,0.03138927657389158,0.0,0.0,0.005653541902054712,0.01094779252199083,0.0,0.000569566661088938,0.005275039328497728,0.009694694677773017,0.0011765528004564502,0.08216547975554458
PEAT,0.0016074397156848645,0.0,0.0,0.0,0.0,1.3476351810012679e-07,0.0,0.0,0.0,0.0015607456875045287,7.4815775930264e-06,0.0,0.006425972577752874,0.0,0.009601774322053391
AGRI,9.947139804327716e-05,0.0012017987084468927,0.002127523002983479,0.0006482094705732252,0.0026182618349910227,0.0012334351938951245,0.00034070943540148426,0.006471530191372787,0.005243346926854499,0.008284759428163074,0.005241386275268114,0.0019794910942179857,0.0008231370696030999,0.0004356511466495795,0.03685754812124489
All sources,0.015517245539258012,0.005028725816165124,0.020285022077909852,0.018747177559859156,0.07966198873105988,0.0029536614314056384,0.0005128811335794261,0.14440180317307547,0.21665791777512147,0.08199213267256672,0.017124912662536008,0.02787819325447179,0.02122562942821264,0.037806347393324106,0.6899520346866165

2004
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
