units - 2007 US$
1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,2.0312166119609413e-05,0.0003764535856176362,0.0010290202647256802,0.0022790008636454136,0.018085351195051592,0.00021654695634195696,2.8361191835641127e-05,0.039846087823990586,0.053382606765056725,0.0002856441060639304,0.002289577808281667,0.00470280334906396,0.00900520881723141,0.0074953483928178145,0.1390552626073448
BORF,0.003507606558752164,0.0,0.0,0.0,0.0,5.343333843848977e-06,0.0,3.608139732740936e-09,4.612591625234581e-08,0.012544175943411999,0.002841215234315824,0.0,0.0,0.0,0.01890311968885531
TEMF,0.0006915283601399393,0.0005237122667718014,3.674114127634294e-05,0.0,0.0009469847106970125,0.00017428605630247004,1.994210956397227e-06,0.0,7.416605387507245e-05,0.000579010565335048,0.0014990254805661457,0.000705892781085746,0.0,0.002188697591211217,0.007422055388581067
DEFO,0.0,0.0,0.0007790333525853075,0.0011079581526353061,0.015024150647751828,0.0,0.0,0.002244848737388899,0.001123792840381196,0.0,0.00029911694577834777,0.0021798146458423357,0.06023949051484506,0.00015092108431827292,0.08314912692152653
PEAT,0.00030481477123939655,0.0,0.0,0.0,0.0,6.020658157352486e-08,0.0,0.0,0.0,0.00023906992555207862,4.659357580229371e-06,0.0,0.1365984848035366,0.0,0.13714710909870434
AGRI,0.00015211381774748287,0.00037300969448810704,0.0006164080449940255,0.0003394532607184029,0.0017801928430295026,0.0005712949100268905,8.437835535422118e-05,0.005083162721537756,0.0026635886835024046,0.0029237194390192654,0.004494026519992208,0.0013404984771633315,0.0030502619132408045,0.0002667656861596827,0.023802960568736906
All sources,0.004676375673998592,0.0012731755468775449,0.0024612028035813555,0.003726412276999123,0.03583667939652993,0.00096753146309674,0.00011473375814625959,0.047174102891056974,0.05724420046873167,0.01657161997938232,0.011427621346514422,0.008929009253155373,0.20889344604885393,0.010101732754506987,0.4094796342737491

1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,6.505336272762752e-05,0.00044909124328414087,0.005817055917367022,0.0029988970684429223,0.018737915489631888,0.00030067632415544505,9.778741742082056e-05,0.04919884334737043,0.06253199441101631,0.00029330816434380966,0.002016301474031945,0.008831326998601355,0.002355050879908699,0.007154579349978639,0.16092863175335886
BORF,0.014116306087104527,0.0,0.0,0.0,0.0,8.226072164242334e-06,0.0,2.001953394521494e-09,5.198730586898587e-08,0.04516337787053438,0.0022359936597505566,0.0,0.0,0.0,0.06153828172836066
TEMF,0.0007674775123724171,0.0006532786918715041,0.00034509897185019505,0.0,0.0008090126371416258,0.0001468413751538608,7.182721890003065e-06,0.0,0.00015409540795794808,0.00046418142868550835,0.0016695364963224127,0.0010052928922966505,0.0,0.001568152840198983,0.0075904891876764965
DEFO,0.0,0.0,0.011967395900179865,0.0018206263639816778,0.02706732159895553,0.0,0.0,0.008033921731818189,0.0011693155151113854,0.0,0.0004174619029253949,0.007831230702129472,0.009926807988730763,0.00021154502125491547,0.06844562672508721
PEAT,0.0013282544083476216,0.0,0.0,0.0,0.0,1.0635537777262156e-06,0.0,0.0,0.0,0.0008310966785932141,3.1039356310233402e-06,0.0,0.002323234878199266,0.0,0.0044868547259442485
AGRI,0.0005237796297436338,0.0004279514962968535,0.0027724010374389494,0.00040582386870312374,0.0018624498785682802,0.0006037196700927731,0.0002195325072675969,0.005386592780258794,0.00323222006870849,0.004725825653738038,0.004009744426486008,0.0017179379050462952,0.0006184588172366632,0.0002865394929196393,0.026859124155395656
All sources,0.01680087100029583,0.0015303214314524984,0.020901951826836032,0.0052253473011277226,0.048476699604297326,0.0010605269953440472,0.00032450264657842053,0.0626193598614008,0.06708767739009999,0.05147778979589496,0.010352141895147339,0.019385788498073767,0.015223552564075392,0.009220816704352179,0.3298490082758231

1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,4.024762331317808e-05,0.0005520450414779927,0.001200827569049116,0.001921228352604218,0.018207869779510468,0.00015226784780401022,5.714885565434588e-05,0.04177018613539619,0.053464899353124526,0.0001813491595331797,0.0012029211349221518,0.006458522330014364,0.0012371939809779752,0.01555759999463951,0.14201165187349532
BORF,0.0058085794691738295,0.0,0.0,0.0,0.0,1.734966368720026e-06,0.0,1.8296200882728083e-09,4.779812668450754e-08,0.01445360821149248,0.0009939955289895788,0.0,0.0,0.0,0.02126223102318752
TEMF,0.00035240019992706335,0.0013778060464818276,0.00015499220647281864,0.0,0.0011217948819864426,0.00012061799581243779,3.5456029764776874e-06,0.0,6.847907380964795e-05,0.0005579782453280148,0.0013827356254544336,0.001957029011794317,0.0,0.001469638654641265,0.008567396937697102
DEFO,0.0,0.0,0.0007573070311182083,0.0006053617509739142,0.022706351493868345,0.0,0.0,0.00394686810597,0.0008186777900485645,0.0,0.00028307375025927176,0.00538370908707746,0.006671933396989854,0.0003907569902393433,0.041564039396544954
PEAT,0.000642431004285942,0.0,0.0,0.0,0.0,5.841729209763502e-08,0.0,0.0,0.0,0.000332851026047099,1.9339337371872545e-06,0.0,0.004487378702311878,0.0,0.005464671761115675
AGRI,0.00015652091892155815,0.00047551948530790127,0.0007046960127321443,0.0002575032538853554,0.001922372893052914,0.0005074727037398587,0.00014273207848601672,0.004574567021704335,0.0026783296140485417,0.002401569658864685,0.002892201397015285,0.001688118521624027,0.0003801706220442282,0.0004008154934306174,0.019226051796447083
All sources,0.00700017921562157,0.0024053705732677215,0.002817822819372287,0.002784093357463488,0.04395838904841815,0.0007821519310171244,0.0002034265371168402,0.050291623092690606,0.05703043362915797,0.017927356301265462,0.006756861370377907,0.01548737895051017,0.012776676702323932,0.017818811132950734,0.23809604278848745

2000
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,2.4578019167994893e-05,0.0008206844049907815,0.0026600355778784797,0.002509527783411199,0.007757254899011933,0.00048584725319492854,9.732772348593276e-05,0.043043666050721484,0.04970222930312763,0.00019665222014679612,0.0012394759767557957,0.005478253098447565,0.0005387752788860265,0.009923530656374175,0.12448299818030231
BORF,0.0030275140711643776,0.0,0.0,0.0,0.0,2.8537737456503604e-06,0.0,0.0,4.449891836907815e-09,0.016735676863558677,0.0015886588829692528,0.0,0.0,0.0,0.021357717232159873
TEMF,0.00014053762491307724,0.001137484327457819,0.00014622247675552977,0.0,0.0007779116557218951,0.00018739972796695106,1.6910415471489567e-06,0.0,5.150969637056485e-05,0.00016308042450351965,0.000702177199619422,0.0011599455299238332,0.0,0.0012517109011080782,0.005719683285333864
DEFO,0.0,0.0,0.0022057560111315077,0.0008956752310064731,0.010606553097909862,0.0,0.0,0.006063310624149313,0.001824786506113148,0.0,0.00015547877786505207,0.0033476341170931307,0.0028928102586683758,0.00019142080492846178,0.02818342542886533
PEAT,0.0002782052114566193,0.0,0.0,0.0,0.0,8.731515090378208e-08,0.0,0.0,0.0,0.0005328003399848338,4.135131311619165e-06,0.0,0.0007509368500648304,0.0,0.0015661781660677207
AGRI,0.00037741046784815676,0.00042674383741582916,0.0014365491896915284,0.00023076654299807704,0.0011530548222100185,0.0017761278799020498,0.00010388707688403709,0.0049636875064462006,0.0023084445818683055,0.002374815152464799,0.002663389469070125,0.0012363582815389763,0.00022350500632477223,0.00022427078314739754,0.019537276390065306
All sources,0.003848245394550226,0.0023849125698644294,0.006448563255457045,0.0036359695574157483,0.020294774474853707,0.0024523159499604845,0.00020290584191711886,0.054070664181317,0.05388697453737152,0.02000302500065862,0.00635331543759127,0.011222191027003505,0.004406027393944005,0.011590933145558117,0.20084727868279428

2001
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,1.1791350370735837e-05,0.0003200119498027816,0.0008188129361727506,0.002374251517182129,0.01168542449290072,0.00016062688100166122,4.139719712665577e-05,0.03797546973724496,0.06322953504648648,0.00021163292946973293,0.0013475400157259303,0.004024795095195433,0.000707153944716387,0.01463121121044509,0.13759385648477362
BORF,0.001387173502628988,0.0,0.0,0.0,0.0,1.5397397684064184e-07,0.0,0.0,0.0,0.014752307105842136,0.0005262619281300734,0.0,0.0,0.0,0.016665896510578038
