units - 2007 US$
1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,3.773789921651915e-06,6.994117456704498e-05,0.00019118129970463677,0.0004234147401808568,0.0033600708071444166,4.023218003214516e-05,5.269215490067482e-06,0.00740299012576056,0.009917935051767041,5.306971463473878e-05,0.0004253798259726279,0.0008737321192849061,0.0016730744625976673,0.001392558046077833,0.025835026544946314
BORF,0.0006627092525875918,0.0,0.0,0.0,0.0,1.009542206047815e-06,0.0,6.817034880096556e-10,8.714794789934214e-09,0.002370032480084905,0.000536804683851113,0.0,0.0,0.0,0.0035714588064528125
TEMF,7.358331078741026e-05,5.572653957910913e-05,3.909506778771663e-06,0.0,0.00010076560042126294,1.854521930577857e-05,2.1219758103499286e-07,0.0,7.891771573867206e-06,6.161065415479857e-05,0.0001595064853551346,7.511178296923909e-05,0.0,0.0002328922776401035,0.0007897570667829801
DEFO,0.0,0.0,9.804718615629016e-05,0.000139444838094751,0.0018909019684914276,0.0,0.0,0.00028253103987084657,0.0001414377522559595,0.0,3.76461092197641e-05,0.00027434601040816307,0.007581591383282899,1.8994549572424215e-05,0.010464940837352525
PEAT,1.6989427538137332e-05,0.0,0.0,0.0,0.0,3.3557276530221172e-09,0.0,0.0,0.0,1.3325014321816643e-05,2.5969810627901703e-07,0.0,0.007613574840555583,0.0,0.007644153452894295
AGRI,8.72771447718107e-06,2.1401882884749064e-05,3.536715806139842e-05,1.947654183718491e-05,0.00010214072000362796,3.2778737263522256e-05,4.841310309304963e-06,0.00029165261661386424,0.0001528266262213416,0.00016775194350478464,0.00025785021383245186,7.691272350863898e-05,0.00017501247125912845,1.5306004258737032e-05,0.001365723687518412
All sources,0.0007657834953119725,0.00014706959703090317,0.000328505150701097,0.0005823361201127927,0.005453879096060734,9.256903453514684e-05,1.0322723380407436e-05,0.007977174463948758,0.010220099916612995,0.002665789806701044,0.001417447016337371,0.0013001026361709473,0.01704325315769527,0.0016597508775490985,0.0496710603959473

1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,1.2086240630675593e-05,8.343649857776651e-05,0.0010807486981756704,0.0005571639931803153,0.0034813104889580737,5.586254462714648e-05,1.8167888648078518e-05,0.009140635171855677,0.011617796435848475,5.449361705344538e-05,0.00037460791589314984,0.0016407690234833583,0.00043754404540001236,0.0013292466899424073,0.0298988718220515
BORF,0.002667062712256468,0.0,0.0,0.0,0.0,1.5541920249523447e-06,0.0,3.7823884187986765e-10,9.822215832747969e-09,0.008532937757529084,0.00042245721493496636,0.0,0.0,0.0,0.011626728389835507
TEMF,8.166481604353506e-05,6.951328653962784e-05,3.672087256142225e-05,0.0,8.608443527414915e-05,1.5624918890203604e-05,7.642903547626972e-07,0.0,1.639679723684331e-05,4.939205443698724e-05,0.00017765001460395214,0.00010696998674020837,0.0,0.0001668621053933093,0.000807679566121192
DEFO,0.0,0.0,0.001506186474718818,0.00022913947068143827,0.003406625290838603,0.0,0.0,0.0010111292629701452,0.00014716712170272062,0.0,5.254070912707764e-05,0.0009856190778006904,0.001249363184621396,2.6624526379316926e-05,0.008614395118840207
PEAT,7.403277067325804e-05,0.0,0.0,0.0,0.0,5.927918275219025e-08,0.0,0.0,0.0,4.632274463826014e-05,1.7300371988875289e-07,0.0,0.00012948988629206333,0.0,0.0002500833290591659
AGRI,3.0052490551580533e-05,2.4554235317169636e-05,0.00015906986722062874,2.3284635868242787e-05,0.0001068603172425181,3.463914713687673e-05,1.2595943459032418e-05,0.00030906228364106563,0.00018545254015291986,0.00027114996984390754,0.00023006394221336662,9.856876770136436e-05,3.548482347195682e-05,1.644055036809134e-05,0.001541074774064053
All sources,0.002864899030155518,0.00017750402043456394,0.0027827259126765387,0.0008095880997299963,0.00708088053231334,0.00010774008186193132,3.1528122461873636e-05,0.010460827096705733,0.011966822717156793,0.008954296143501683,0.0012574928004924018,0.002831926855725621,0.0018518819397854282,0.001539173872083125,0.0527388329999716

1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
