units - 2007 US$
1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,6.6070245535076235e-06,0.00012245065766945285,0.00033471379412044995,0.0007413002981932903,0.005882699042935046,7.04371485748137e-05,9.225165356589165e-06,0.01296090630996352,0.017363987358175393,9.291267252727586e-05,0.0007447407041090964,0.00152970083037944,0.0029291625306315143,0.0024380438257205752,0.04523109619095626
BORF,0.0029604856970815953,0.0,0.0,0.0,0.0,4.509873882690868e-06,0.0,3.0453377771650624e-09,3.8931137255405805e-08,0.010587519686746118,0.002398038923875343,0.0,0.0,0.0,0.0159545874250653
TEMF,0.000260131833178348,0.00019700454812525566,1.38208943063289e-05,0.0,0.00035622670632858786,6.556108759715726e-05,7.50161224220541e-07,0.0,2.7899002486224725e-05,0.00021780607704852288,0.0005638875685210104,0.0002655352892720384,0.0,0.0008233211387939146,0.0027919503896782637
DEFO,0.0,0.0,0.00043904765682513153,0.0006244231133062489,0.008467311600366336,0.0,0.0,0.0012651519806986748,0.0006333472245120692,0.0,0.00016857634298205067,0.001228500048555001,0.033949775153121184,8.505611245940833e-05,0.0468611892328261
PEAT,7.607733239880866e-05,0.0,0.0,0.0,0.0,1.5026686572481778e-08,0.0,0.0,0.0,5.9668375088413175e-05,1.1629078708937331e-06,0.0,0.03409299460129814,0.0,0.03422992324359103
AGRI,0.00012753081902833113,0.00031272788151774064,0.0005167908081642836,0.0002845944758410015,0.0014924972282357957,0.00047896837353457174,7.074203335634668e-05,0.00426167665134725,0.0022331281380375684,0.0024512193649991717,0.0037677503093260845,0.0011238615369850945,0.0025573114022338565,0.00022365388612521764,0.019956182188272307
All sources,0.0034308327062405907,0.0006321830873124491,0.001304373153416194,0.0016503178873405403,0.016198734577865765,0.0006194915102758058,8.071735993715638e-05,0.018487737987347222,0.020258400654348505,0.013409126176409504,0.007644156756684481,0.004147597705191575,0.07352924368728468,0.003570074963099116,0.16502492867038923

1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,2.116018394955602e-05,0.00014607781705603567,0.0018921384988838195,0.0009754639934056845,0.0060949613995250375,9.780226607130901e-05,3.1807728803220616e-05,0.016003116860756988,0.020340047558130868,9.540559313188455e-05,0.0006558509491075001,0.0028726032606091302,0.0007660374108198064,0.0023272004288653818,0.05234593994467003
BORF,0.011914426983778977,0.0,0.0,0.0,0.0,6.942958900487036e-06,0.0,1.689686209315311e-09,4.3878260372407486e-08,0.038118737563678985,0.0018872205663446476,0.0,0.0,0.0,0.051939463406667365
TEMF,0.00028870158185009397,0.00024574347724416225,0.00012981568491904106,0.0,0.00030432582712046943,5.523723705710687e-05,2.7019204185536026e-06,0.0,5.796598285135898e-05,0.00017461086598172766,0.0006280286013953325,0.0003781604607980792,0.0,0.0005898911687554603,0.0028553100333843853
DEFO,0.0,0.0,0.0067445856018696695,0.0010260686955828032,0.015254602504046253,0.0,0.0,0.004527758023928134,0.00065900289759005,0.0,0.0002352731993232575,0.004413525396370812,0.005594550938585153,0.00011922255453313784,0.03857458981182926
PEAT,0.00033151297591990094,0.0,0.0,0.0,0.0,2.6544755730338287e-07,0.0,0.0,0.0,0.00020742963983306259,7.746971704380191e-07,0.0,0.0005798456147249967,0.0,0.0011198536510728977
AGRI,0.0004391320022106006,0.0003587905793038253,0.0023243554119210456,0.0003402389812179323,0.001561460767320527,0.0005061529924427314,0.00018405402583931404,0.0045160696058606595,0.002709863433986273,0.00396208856041088,0.003361732673505534,0.0014403032639641077,0.0005185101563984658,0.00024023206275751688,0.02251844148772428
All sources,0.012994933727709131,0.0007506118736040232,0.011090895197593579,0.0023417716702064197,0.023215350498012287,0.0006664009020289378,0.0002185636750610882,0.025046946180231996,0.023766923750818923,0.04255827222303654,0.006768880686846711,0.009104592381742127,0.007458944120528424,0.0032765462149114983,0.16935359833534816

1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,1.3091515449834034e-05,0.0001795660362111987,0.0003905982863561442,0.0006249261101233549,0.005922551177489684,4.9528810059446175e-05,1.8589051133591526e-05,0.013586765953504035,0.017390755020524687,5.898821187425037e-05,0.0003912792695362513,0.0021007910056841587,0.0004024273438910038,0.005060486668964823,0.046192733507613874
BORF,0.004902549976086579,0.0,0.0,0.0,0.0,1.4643441394151078e-06,0.0,1.5442336356507923e-09,4.03425163653681e-08,0.012199116301604841,0.0008389508595362555,0.0,0.0,0.0,0.0179457216053009
TEMF,0.00013256218494766859,0.0005182885198222988,5.830333139016954e-05,0.0,0.00042198494621917905,4.5372802976633934e-05,1.3337474729718817e-06,0.0,2.5759734549328852e-05,0.00020989436187565788,0.0005201428792841844,0.000736174497637874,0.0,0.0005528331448507939,0.0032227928670931164
DEFO,0.0,0.0,0.0004268031358108693,0.00034116980536239185,0.012796846718857646,0.0,0.0,0.0022243761479242485,0.0004613904679816777,0.0,0.00015953471936559863,0.0030341510436837993,0.0037601685640642935,0.00022022284246930022,0.023424663445519817
PEAT,0.00016034143232906034,0.0,0.0,0.0,0.0,1.4580106146551073e-08,0.0,0.0,0.0,8.307477348984407e-05,4.826817280901111e-07,0.0,0.0011199844423076762,0.0,0.0013639025715785457
AGRI,0.00013122569203492023,0.00039867114212514327,0.0005908106251027892,0.00021588834809536166,0.0016116996692427986,0.00042546042586735956,0.00011966525589622695,0.0038352747213733613,0.0022454868008900328,0.002013453810347916,0.002424794924621866,0.0014153029703700382,0.0003187315367160921,0.00033604000548500824,0.01611894416991547
All sources,0.005339770800848064,0.0010965256981586408,0.001466515378659972,0.0011819842635811086,0.020753082511809306,0.0005218409631490012,0.00013958805450279033,0.019646418367035286,0.020123432366462097,0.01456452745919251,0.004335185334072245,0.007286419517375871,0.005601311886979064,0.006169582661769927,0.10826875816702176

2000
