units - 2007 US$
1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00013358295192991457,0.002475746836053266,0.006767351321885841,0.014987848214707474,0.1189383042244942,0.001424120960576396,0.00018651736522288042,0.26204777887147424,0.3510706898416153,0.0018785383505322184,0.015057407430054858,0.030927984184735406,0.05922275169236536,0.04929315541017636,0.9144968730980738
BORF,0.002640707977442792,0.0,0.0,0.0,0.0,4.022738646797864e-06,0.0,2.7163945717369993e-09,3.472597891943155e-08,0.009443905659306747,0.0021390140592144795,0.0,0.0,0.0,0.014231248026126027
TEMF,0.0016028735775090747,0.0012138975109380339,8.516122833170682e-05,0.0,0.002194988455716467,0.00040397260677853096,4.622323890139512e-06,0.0,0.0001719073474794398,0.0013420718395682157,0.003474547788911323,0.0016361684491441827,0.0,0.00507311878896938,0.01720336739805494
DEFO,0.0,0.0,0.002269258655586959,0.0032273889617418926,0.04376408778591328,0.0,0.0,0.006539055657912528,0.0032735140490908164,0.0,0.0008713025145000485,0.006349616800126593,0.17547257193503848,0.0004396204309582674,0.24220641679086893
PEAT,0.00015420108912685523,0.0,0.0,0.0,0.0,3.0457580483237285e-08,0.0,0.0,0.0,0.00012094178631164059,2.357097118484114e-06,0.0,0.0691030657940438,0.0,0.06938060635918106
AGRI,0.0004927193240881227,0.0012082339899419895,0.001996637519850425,0.0010995396980646496,0.005766309916016254,0.0018505093511539958,0.0002733140671523779,0.01646512158306376,0.008627760690567978,0.009470363009922888,0.01455682163663458,0.004342074341389541,0.009880252934712149,0.0008640938135690213,0.07710133663359017
All sources,0.005024084920096758,0.004897878336933287,0.01111840872565493,0.019314776874514016,0.17066369038214027,0.0036826561147362035,0.0004644537562653978,0.2850519588288451,0.36314390665473245,0.02225582064564171,0.036101450526433786,0.04325584377539573,0.3136786423561598,0.05566998844367303,1.3346198483058935

1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00042782341213713814,0.002953448366616798,0.0382558655661876,0.019722245238542015,0.1232298929730946,0.0019773977185616747,0.000643098907726103,0.3235561716152197,0.4112416334022841,0.0019289410170244086,0.01326020575251335,0.05807921807229574,0.015487991106964227,0.04705208792608258,1.0583470754226536
BORF,0.01062748673553117,0.0,0.0,0.0,0.0,6.193013176096023e-06,0.0,1.5071743439218763e-09,3.913873804501414e-08,0.0340013311957919,0.0016833718905801974,0.0,0.0,0.0,0.04632920736766509
TEMF,0.0017789139114813056,0.0015142157722273213,0.0007998949139345397,0.0,0.0018751869834915972,0.0003403593734567471,1.6648623181306896e-05,0.0,0.0003571732863734145,0.0010759127015623588,0.003869770334075613,0.0023301393134028438,0.0,0.003634776101161267,0.017593775246025168
DEFO,0.0,0.0,0.03486001836888817,0.005303331507053451,0.0788448324008861,0.0,0.0,0.023402138612768717,0.003406117798394042,0.0,0.0012160314260707982,0.022811716629368543,0.028915957125185434,0.0006162128631623121,0.1993763567317776
PEAT,0.0006719434090248277,0.0,0.0,0.0,0.0,5.380354587804808e-07,0.0,0.0,0.0,0.0004204389846572025,1.5702331359186719e-06,0.0,0.001175288662873844,0.0,0.0022698305567869243
AGRI,0.0016966002825405044,0.001386198669605743,0.008980220129945775,0.0013145239900176164,0.006032752713903214,0.0019555379819762176,0.0007110985079046482,0.01744797675985305,0.010469642495984676,0.015307653588704517,0.012988159760872905,0.005564656897444213,0.002003280276751813,0.0009281441198292527,0.0870007059152247
All sources,0.015202767750714944,0.005853862808449863,0.08289599897895608,0.026340100735613093,0.20998266507137558,0.004280026122629515,0.0013708460388120584,0.36440628849501583,0.4254746061217742,0.05273427748774037,0.03301910939724879,0.08878573091251132,0.0475825171717753,0.05223122101023539,1.4109169512401325

1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0002646884791749525,0.0036305239631859135,0.007897241974671183,0.012634957412329818,0.11974404754693876,0.0010013894347764025,0.0003758394241627476,0.27470161077265576,0.35161188704780744,0.0011926426644019116,0.00791101031131217,0.04247446926102594,0.008136405670141818,0.10231454955217513,0.9339395660325244
BORF,0.004372999626417085,0.0,0.0,0.0,0.0,1.3061725770582096e-06,0.0,1.377432750999306e-09,3.5984907571842777e-08,0.010881425220705449,0.0007483313390100886,0.0,0.0,0.0,0.01600730929356416
TEMF,0.0008168182276716815,0.0031935767591911124,0.0003592519503427056,0.0,0.002600175895278822,0.00027957695865181556,8.218250584290073e-06,0.0,0.00015872566523715868,0.0012933216246382585,0.003205002891359873,0.00453614091190111,0.0,0.003406432909243851,0.01985812142820992
DEFO,0.0,0.0,0.0022059717127227998,0.0017633678832101917,0.06614169295563939,0.0,0.0,0.011496894965727776,0.0023847395773131256,0.0,0.0008245700390661215,0.015682291927585905,0.019434781101015267,0.0011382422604820231,0.12107255242276256
PEAT,0.0003249959318546594,0.0,0.0,0.0,0.0,2.9552406848064375e-08,0.0,0.0,0.0,0.00016838419777040638,9.783472381978926e-07,0.0,0.0022700956352257828,0.0,0.002764493113125138
AGRI,0.000506994580862276,0.0015402784766810726,0.0022826154041897056,0.000834091413140042,0.006226852284499166,0.0016437797172812788,0.0004623304726809965,0.014817704333593978,0.008675508765331533,0.007779042024387016,0.009368271339215466,0.005468067473137632,0.0012314293009769266,0.0012983011146444937,0.06227604699285914
All sources,0.006286496845980656,0.008364379199058098,0.012745081041926391,0.015232416708680049,0.1947127686823561,0.002926081835693404,0.0008463881474280344,0.30101621144941026,0.3628308970405968,0.02131481573190304,0.02205816426720191,0.06816096957365059,0.0310727117073598,0.10815752583654548,1.1559180892830456

2000
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0001616373324312584,0.005397230621266895,0.017493722871900267,0.016503908391835655,0.05101558343241704,0.0031951742490067916,0.0006400757221937618,0.2830766508382505,0.3268666891819968,0.001293283240336782,0.008151413217638986,0.03602772901577879,0.003543255388671423,0.06526209497743578,0.8186623827896801
BORF,0.002279269471515817,0.0,0.0,0.0,0.0,2.1484687607037637e-06,0.0,0.0,3.35010909616719e-09,0.012599484733721241,0.0011960247283670181,0.0,0.0,0.0,0.016079196227332455
TEMF,0.0003257480921669329,0.0026365420042288317,0.00033892484746392444,0.0,0.0018030989127687349,0.0004343684035476478,3.919616327633344e-06,0.0,0.00011939283477162641,0.0003779993965326712,0.0016275562136797168,0.0026886041786423477,0.0,0.0029013044724927922,0.013257488361943763
DEFO,0.0,0.0,0.0064251818612185456,0.0026090266584199917,0.030895997514093516,0.0,0.0,0.017661914123140304,0.005315449699831231,0.0,0.00045289661757445446,0.009751376781611885,0.008426513108152952,0.0005575927014598846,0.08209594906550283
PEAT,0.00014073972349714354,0.0,0.0,0.0,0.0,4.417138751454982e-08,0.0,0.0,0.0,0.00026953547092347784,2.0918991206178055e-06,0.0,0.0003798873627267741,0.0,0.0007923053650764892
AGRI,0.0012224887354809267,0.0013822868856848084,0.004653196909010544,0.0007474872227070809,0.0037349164154461996,0.005753142901729858,0.000336505723177777,0.01607812356687086,0.007477396026158753,0.007692380203632243,0.008627115409856818,0.004004748725706401,0.0007239660232572267,0.0007264464908769679,0.06328414984335712
