units - 2007 US$
OC_1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
OC_1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,91288113.08168955,1691879497.3891816,4624682449.209156,10242417631.78036,81280232366.19786,973217863.156878,127462510.16681106,179078594585.14905,239915201642.9787,1283758273.8329992,10289953133.881823,21135611044.36765,40471730681.582825,33686028692.733665,624950211132.7865
BORF,28653367421.96126,0.0,0.0,0.0,0.0,43649282.16207713,0.0,29474.614509684823,376799.05208338326,102472405752.60008,23209668181.806923,0.0,0.0,0.0,154418126802.3808
TEMF,8152594517.461737,6174170120.35078,433150172.8711648,0.0,11164230920.763927,2054700320.1464982,23510233.56378792,0.0,874361465.9308587,6826095094.831872,17672372606.03313,8321940102.670067,0.0,25803083116.72293,87500399307.65999
DEFO,0.0,0.0,4263745532.433805,6063991539.97739,82229028419.08691,0.0,0.0,12286334004.371277,6150656744.552277,0.0,1637103912.854153,11930394201.488878,329698157141.4431,826009698.588736,455085421194.79663
PEAT,944301045.8910002,0.0,0.0,0.0,0.0,186517.00284809998,0.0,0.0,0.0,740626779.337749,14434458.894029077,0.0,423175333599.99036,0.0,424874944466.11664
AGRI,370675247.4626666,908960563.9008639,1502080539.8845828,827189294.7202216,4338024219.579011,1392147578.2072916,205615560.14464188,12386794560.449364,6490708161.842507,7124602139.893849,10951170812.570839,3266564573.145541,7432964419.451486,650062162.7304434,58003726899.04081
All sources,38212226345.85835,8775010181.640827,10823658694.398708,17133598466.477968,179011515925.6278,4463901560.675593,356588303.8752408,203751752624.5842,253431304814.35648,118447488040.49654,63774703106.04093,44654509921.672134,800778185842.4678,60965183670.775764,1804832829802.7803

OC_1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
OC_1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
