units - 2007 US$
1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,9.128811308168956e-05,0.0016918794973891818,0.004624682449209156,0.01024241763178036,0.08128023236619784,0.000973217863156878,0.00012746251016681107,0.17907859458514905,0.2399152016429787,0.0012837582738329993,0.010289953133881823,0.02113561104436765,0.04047173068158282,0.03368602869273367,0.6249502111327865
BORF,0.028653367421961264,0.0,0.0,0.0,0.0,4.3649282162077125e-05,0.0,2.9474614509684825e-08,3.7679905208338334e-07,0.1024724057526001,0.02320966818180692,0.0,0.0,0.0,0.15441812680238082
TEMF,0.008152594517461738,0.006174170120350779,0.00043315017287116474,0.0,0.011164230920763926,0.0020547003201464983,2.3510233563787916e-05,0.0,0.0008743614659308589,0.006826095094831871,0.01767237260603313,0.008321940102670069,0.0,0.025803083116722927,0.08750039930765997
DEFO,0.0,0.0,0.004263745532433806,0.00606399153997739,0.08222902841908693,0.0,0.0,0.012286334004371275,0.006150656744552277,0.0,0.0016371039128541532,0.011930394201488878,0.3296981571414431,0.0008260096985887362,0.45508542119479667
PEAT,0.0009443010458910002,0.0,0.0,0.0,0.0,1.8651700284809998e-07,0.0,0.0,0.0,0.0007406267793377489,1.4434458894029078e-05,0.0,0.4231753335999904,0.0,0.4248749444661166
AGRI,0.0003706752474626665,0.0009089605639008638,0.0015020805398845826,0.0008271892947202216,0.004338024219579011,0.0013921475782072916,0.00020561556014464188,0.012386794560449364,0.006490708161842507,0.007124602139893849,0.010951170812570838,0.003266564573145541,0.007432964419451485,0.0006500621627304433,0.0580037268990408
All sources,0.03821222634585835,0.008775010181640825,0.010823658694398709,0.01713359846647797,0.1790115159256278,0.004463901560675593,0.0003565883038752408,0.2037517526245842,0.2534313048143565,0.11844748804049654,0.06377470310604093,0.044654509921672136,0.8007781858424678,0.06096518367077577,1.8048328298027803

1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.000292366591681649,0.002018331867428259,0.026143349455513717,0.013477816805323265,0.08421302444986552,0.0013513169459187068,0.0004394818727678834,0.2211122900106753,0.2810349091716812,0.001318202533337025,0.00906177880337544,0.03969026103383122,0.010584206019309891,0.032154524689778724,0.7232547729482436
BORF,0.11531501589465436,0.0,0.0,0.0,0.0,6.71981491808112e-05,0.0,1.6353803339279658e-08,4.246802857798496e-07,0.3689361512215213,0.018265659777535834,0.0,0.0,0.0,0.502701478132771
TEMF,0.009047977274238577,0.0077016599156306195,0.00406845490580397,0.0,0.009537644927300994,0.0017311483494439125,8.467883836339093e-05,0.0,0.0018166678261304367,0.005472346711819883,0.019682568053053726,0.011851640204516836,0.0,0.018487331789908405,0.08948610605826647
DEFO,0.0,0.0,0.06549903310329763,0.009964512441105737,0.14814278741831402,0.0,0.0,0.04397064392997317,0.006399807961051963,0.0,0.00228482045691814,0.042861290871233935,0.05433064331198824,0.0011578119828637493,0.3746113514767467
PEAT,0.004114866298209499,0.0,0.0,0.0,0.0,3.294836993426413e-06,0.0,0.0,0.0,0.002574696298274905,9.615838637784045e-06,0.0,0.007197266278559788,0.0,0.013900053284442089
AGRI,0.0012763610022958661,0.0010428443003249557,0.006755865202963784,0.0009889230694284368,0.0045384704949832915,0.001471161151480965,0.0005349630167875898,0.013126201482569164,0.007876365191768934,0.011516025495899772,0.009771058519500097,0.00418631962414096,0.0015070779203665932,0.0006982475323168616,0.06545107270054422
All sources,0.13004658706107994,0.010762836083383832,0.10246670266757911,0.024431252315857434,0.24643192729046368,0.0046241194330178224,0.0010591237279188644,0.278209151777021,0.2971281748309183,0.38981742226085264,0.05907550144902104,0.09858951173372293,0.07361919353022452,0.05249791599486772,1.7694048346010136

1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00018088320022611006,0.0024810327891474863,0.005396828775566066,0.008634495679699625,0.08183086239191917,0.0006843309774766616,0.0002568416952006279,0.18772598875514326,0.24028504589430708,0.0008150298923768198,0.005406237803334325,0.029026264977926337,0.005560268814940576,0.06991986657361285,0.6382369872663903
BORF,0.047449837832005695,0.0,0.0,0.0,0.0,1.4172806542250166e-05,0.0,1.494602488175734e-08,3.904592186903365e-07,0.11807041080398017,0.00811987276602734,0.0,0.0,0.0,0.17368952552342806
