units - 2007 US$
1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,1.027680492759004e-05,0.00019046417995275124,0.0005206259366649969,0.0011530452836457752,0.00915016277472749,0.00010956048768266458,1.4349155759622395e-05,0.020159862272309603,0.027008573717293094,0.00014451972981060425,0.001158396616438768,0.0023793519804446257,0.004556125314741534,0.0037922215104900735,0.07035408232820176
BORF,0.0020174419355824167,0.0,0.0,0.0,0.0,3.073282474612353e-06,0.0,2.075264838077634e-09,2.6529873048816814e-08,0.007214933062915578,0.0016341589803868873,0.0,0.0,0.0,0.010872355741019238
TEMF,0.0005740123198325642,0.0004347143359864697,3.0497473262573868e-05,0.0,0.0007860572608693525,0.00014466846042818845,1.6553213497097108e-06,0.0,6.156251989511001e-05,0.0004806154273987838,0.0012442860523373062,0.0005859356985478591,0.0,0.0018167575505433787,0.006160775842876969
DEFO,0.0,0.0,0.00022250219312770355,0.00031644745262716684,0.004291095455897923,0.0,0.0,0.000641158389774769,0.00032097004821575724,0.0,8.5431741516482e-05,0.0006225837924032653,0.01720519248241905,4.310505077219019e-05,0.023748486606754306
PEAT,3.8554751394844e-05,0.0,0.0,0.0,0.0,7.615279862764335e-09,0.0,0.0,0.0,3.0238959691675505e-05,5.893427487667444e-07,0.0,0.01727777375339642,0.0,0.017347166956555967
AGRI,3.961226605870551e-05,9.71362068734581e-05,0.00016052006267291416,8.839770814859018e-05,0.00046358360906396934,0.00014877205996436608,2.197313770361594e-05,0.001323716658723406,0.0006936305025287007,0.0007613716781581422,0.001170298512895919,0.00034908191312737563,0.0007943248594158059,6.946899037290678e-05,0.006198576983023518
All sources,0.0026798980777961202,0.0007223147228126788,0.0009341456657281881,0.0015578904444215316,0.014690899100558728,0.0004060819058296943,3.7977614812948035e-05,0.02212473939607261,0.028084763317805718,0.008631678857974785,0.005293161246324129,0.003936953384523125,0.039833416409972816,0.00572155310217855,0.13468144445843175

1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
