units - 1E12 g
BC_1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00017123644480282276,0.003173594246213045,0.00867488826067813,0.01921252532091926,0.1524638594369798,0.001825542914911202,0.0002390916670257252,0.33591210159969537,0.45002821137860627,0.002408048512437346,0.019301691474997426,0.03964576308166039,0.0759160756002975,0.06318758930263302,1.172269300832914
BORF,0.019822386507833696,0.0,0.0,0.0,0.0,3.0196553539623535e-05,0.0,2.039052560857439e-08,2.606694083798194e-07,0.07089036338793701,0.016056437805237585,0.0,0.0,0.0,0.10682638945544477
TEMF,0.0056399611196272376,0.00427128805593054,0.000299653087599912,0.0,0.007723409848292517,0.0014214407372231121,1.6264368857232913e-05,0.0,0.0006048828699525463,0.004722289451998323,0.012225739269029638,0.0057571143388019065,0.0,0.01785056114141636,0.06053273617084498
DEFO,0.0,0.0,0.006252521750924285,0.008892472270119843,0.12058383495569805,0.0,0.0,0.018017156233729306,0.009019561501022687,0.0,0.0024007126414380383,0.017495192530906735,0.4834821582886217,0.0012112926344452568,0.667354902806906
PEAT,8.334038021282335e-05,0.0,0.0,0.0,0.0,1.646127392152181e-08,0.0,0.0,0.0,6.536487212451718e-05,1.2739298474968292e-06,0.0,0.037347828291324534,0.0,0.037497829412401845
AGRI,0.001605493458028514,0.003936950864656027,0.006505911814243639,0.0035827776533010522,0.01878914095198159,0.006029762805679293,0.0008905758814258814,0.05365051389754328,0.02811298977226365,0.03085855383567829,0.04743244425662576,0.014148363178212412,0.032194153183281546,0.002815592758354017,0.2512296255614145
All sources,0.02732241791050509,0.011381833166799613,0.02173297491344597,0.03168777524434016,0.299560245192952,0.009306959472627151,0.0011459319173088398,0.40757979212149364,0.48776590619125354,0.10894462006017548,0.097418299377176,0.07704643312958144,0.6289402153635253,0.08506503583684866,2.2957107842399265

BC_1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0005484154826719489,0.003785947184293636,0.04903918009871406,0.025281423416989045,0.1579651333202565,0.0025347737225114284,0.000824371445248287,0.4147580799375538,0.5271597492019408,0.00247265835397631,0.016997906278422233,0.07445021022084646,0.019853645266741667,0.06031482431342495,1.3566670627440773
BORF,0.07977487504916742,0.0,0.0,0.0,0.0,4.6487648225817246e-05,0.0,1.1313553630647423e-08,2.9379362905963167e-07,0.2552298599173326,0.01263617505895729,0.0,0.0,0.0,0.34776865166686444
TEMF,0.006259386554002531,0.005328004799385776,0.0028145552465874504,0.0,0.006598138387353025,0.001197607636885045,5.858078176349353e-05,0.0,0.0012567700005752874,0.003785766944718837,0.013616391554143039,0.008198959242001256,0.0,0.012789527616564107,0.06190644715008968
DEFO,0.0,0.0,0.09605032111921875,0.014612347307511101,0.21724232620333553,0.0,0.0,0.06448025662958047,0.009384926458687522,0.0,0.003350549263186297,0.06285345858504315,0.07967256185855526,0.0016978603779690459,0.5493446078030869
PEAT,0.0003631622823421772,0.0,0.0,0.0,0.0,2.907896459432967e-07,0.0,0.0,0.0,0.0002272327977049719,8.486569524552846e-07,0.0,0.0006352030663668082,0.0,0.001226765281948849
AGRI,0.005528260234264806,0.004516837047818203,0.02926145576643659,0.00428328981952289,0.01965732727348354,0.006371991672742623,0.002317067641449426,0.05685308273252351,0.034114640273474175,0.04987898068791282,0.04232106290009645,0.018132067870503636,0.006527556791680214,0.0030242964655945426,0.28348606844504265
All sources,0.09247409960244883,0.01363078903149762,0.17716551223095686,0.04417706054402304,0.40146292518442844,0.010151151470010856,0.003200019868461206,0.5360914306132115,0.571916379728307,0.3115944987016455,0.08892293371175777,0.16363469591839452,0.10668896698334392,0.07782650877355263,2.60039960309111

BC_1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0003392971411567496,0.0046538724394666565,0.010123265168923671,0.016196416988836757,0.15349672053326008,0.0012836545758178283,0.0004817785951914161,0.3521327133808807,0.4507219578423833,0.001528817030222297,0.010140914437475496,0.054446896265062224,0.010429842757922702,0.13115430902240133,1.1971923738957617
BORF,0.0328257760070629,0.0,0.0,0.0,0.0,9.80474101053483e-06,0.0,1.0339653334673086e-08,2.701195085530755e-07,0.08168105600462766,0.005617324268720322,0.0,0.0,0.0,0.12015833402963255
