units - 1E12 g
CH4

1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00089783434899999993,0.016639925952,0.045484548464000005,0.10073594422400001,0.79940512998400004,0.0095717658840000011,0.0012536157904999999,1.761268936704,2.359607374336,0.012625984441843751,0.101203462272,0.20787238921600001,0.39804646387199993,0.33130791635200008,6.1459212918413444
BORF,0.23628283171199999,0.0,0.0,0.0,0.0,0.00035994290730078125,0.0,2.4305507812499998e-07,3.1071793828124999e-06,0.84501314691999996,0.19139274614812499,0.0,0.0,0.0,1.2730520179218867
TEMF,0.037900537599999999,0.028703053983999999,0.0020136686810000005,0.0,0.051901310912000002,0.0095520815959999998,0.0001092965530625,0.0,0.00406481268,0.031733783166999999,0.082156965887999991,0.038687808526999996,0.0,0.11995576960000001,0.40677908918806249
DEFO,0.0,0.0,0.060962091416000008,0.086701610764000001,1.1756924093440002,0.0,0.0,0.17566727808599999,0.087940731095999994,0.0,0.023406950555499999,0.17057813467399996,4.7139513047039996,0.011810104075066406,6.5067106147145664
PEAT,0.043336997514000011,0.0,0.0,0.0,0.0,8.5598623750000004e-06,0.0,0.0,0.0,0.033989734022,0.00066244350417578128,0.0,19.420871352159999,0.0,19.498869087062548
AGRI,0.012458630010000001,0.030550740031999996,0.050485877343999994,0.027802355055999997,0.14580373350400003,0.046790961759999999,0.0069108688619999989,0.41632799628799999,0.218156830208,0.23946237887000005,0.36807576614399995,0.10979130752000001,0.24982663072000003,0.021848999360000003,1.9442930756780001
total,0.012458630010000001,0.030550740031999996,0.050485877343999994,0.027802355055999997,0.14580373350400003,0.046790961759999999,0.0069108688619999989,0.41632799628799999,0.218156830208,0.23946237887000005,0.36807576614399995,0.10979130752000001,0.24982663072000003,0.021848999360000003,35.775625176406407

1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0028754756580000001,0.019850643071999997,0.25712436508799991,0.132556652064,0.82824963200000001,0.013290435120000001,0.0043223796699999994,2.1746775828480001,2.7640267832319996,0.012964749078,0.089124162687999997,0.39036057491199988,0.10409749740800002,0.31624531686399998,7.109766249702
BORF,0.95091653299199996,0.0,0.0,0.0,0.0,0.00055413278110937503,0.0,1.348575625e-07,3.5020199843749999e-06,3.0423399831680005,0.15062320085599998,0.0,0.0,0.0,4.1444374866746569
TEMF,0.042063074951999999,0.035804191584,0.018913810234937503,0.0,0.04433948774399999,0.0080479231679999996,0.00039366283437499995,0.0,0.0084454941680000006,0.025440352752000003,0.091502147456000021,0.055097003645999995,0.0,0.085945623648,0.41599277218731251
DEFO,0.0,0.0,0.93649063474799998,0.14247038628799999,2.1181129256959998,0.0,0.0,0.62868253959450004,0.091503041724000006,0.0,0.032667856401250001,0.61282132890850005,0.7768075737600002,0.016554140122468749,5.3561104272427187
PEAT,0.18884439200799999,0.0,0.0,0.0,0.0,0.00015121062300000002,0.0,0.0,0.0,0.11816104556799999,0.00044130163320312498,0.0,0.33030559952000005,0.0,0.63790354935220317
AGRI,0.042899302120000003,0.035050657088000002,0.22706890358400006,0.033238330088,0.15254085427200001,0.049446655680000007,0.017980444544000003,0.44117992908799997,0.26472962944,0.38706089043199987,0.32841147046399999,0.14070484255999999,0.050653841888000005,0.023468541439999997,2.1944342926879998
total,0.042899302120000003,0.035050657088000002,0.22706890358400006,0.033238330088,0.15254085427200001,0.049446655680000007,0.017980444544000003,0.44117992908799997,0.26472962944,0.38706089043199987,0.32841147046399999,0.14070484255999999,0.050653841888000005,0.023468541439999997,19.858644777846891

1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0017790174096249999,0.024401386415999999,0.053078739263999995,0.084921753823999996,0.804820688384,0.006730513367999999,0.0025260825144999997,1.8463175001600001,2.3632448245759998,0.0080159593486874986,0.053171289215999992,0.28547832444799998,0.054686204735999992,0.68767395673600007,6.2768462404008138
BORF,0.39128328703999998,0.0,0.0,0.0,0.0,0.000116872513625,0.0,1.2324866406250001e-07,3.2198245273437503e-06,0.97363815926399988,0.066958505789625006,0.0,0.0,0.0,1.4320001676804412
TEMF,0.019313967576000002,0.075513303391999992,0.008494645542562497,0.0,0.061482120767999998,0.0066107003839999982,0.00019432356900000002,0.0,0.0037531267920000002,0.030581066295749998,0.075783477760000009,0.10725872482,0.0,0.080546364415999994,0.46953182131531246
DEFO,0.0,0.0,0.059261928507999995,0.047371681295999994,1.7768517032320001,0.0,0.0,0.30885627248524999,0.064064408495999994,0.0,0.02215151481275,0.42129411104400011,0.52210221939200008,0.030578105278624999,3.252531944544625
PEAT,0.091337540299999992,0.0,0.0,0.0,0.0,8.30547e-06,0.0,0.0,0.0,0.047323050269812497,0.00027495676108251952,0.0,0.63799242842699999,0.0,0.77693628122789504
AGRI,0.012819585813999999,0.038946632831999999,0.057716958112000005,0.021090376560000002,0.15744875673599998,0.041563708575999996,0.011690233725999999,0.37467233177600001,0.21936413376000002,0.19669657289200002,0.23688095654400002,0.13826255347199998,0.031137243327999997,0.032828126080000006,1.5711181702079999
total,0.012819585813999999,0.038946632831999999,0.057716958112000005,0.021090376560000002,0.15744875673599998,0.041563708575999996,0.011690233725999999,0.37467233177600001,0.21936413376000002,0.19669657289200002,0.23688095654400002,0.13826255347199998,0.031137243327999997,0.032828126080000006,13.778964625377089

2000
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00108639272,0.036275729455999994,0.11757836971199999,0.110925651056,0.34288462950399995,0.021475323248,0.0043020604400312501,1.9026076264,2.1969280358400001,0.0086923828014374982,0.054787074431999996,0.242148664426,0.023814838559999999,0.43863794931200001,5.502144727907468
BORF,0.20394238156799999,0.0,0.0,0.0,0.0,0.0001922387215,0.0,0.0,2.9975800390625001e-07,1.1273651773600002,0.10701680207318752,0.0,0.0,0.0,1.4385168994806916
TEMF,0.0077024339839999994,0.062342011436000003,0.0080140029087499981,0.0,0.042634938816000001,0.010270801293000001,9.2680777999999995e-05,0.0,0.0028230876600000001,0.0089379346661562498,0.038484168276000007,0.063573036600000007,0.0,0.068602416927999982,0.31347751334590623
DEFO,0.0,0.0,0.172608137351,0.070089732094000004,0.82999999980799999,0.0,0.0,0.47447532051199998,0.14279594193600001,0.0,0.012166760092999999,0.26196411627199995,0.22637254160750001,0.014979346670250001,2.2054518963437504
PEAT,0.039553787375999995,0.0,0.0,0.0,0.0,1.2414019375000001e-05,0.0,0.0,0.0,0.075750816123937498,0.00058791171882666019,0.0,0.10676434214000001,0.0,0.22266927137813916
AGRI,0.030911176755999997,0.034951743999999993,0.117658172408,0.018900550092,0.094439039488000004,0.145470804032,0.0085086983059999982,0.40654258913600005,0.18906931654399997,0.19450528336,0.21814047577600004,0.10126187097599998,0.018305806658499998,0.01836852546,1.5970340529925002
total,0.030911176755999997,0.034951743999999993,0.117658172408,0.018900550092,0.094439039488000004,0.145470804032,0.0085086983059999982,0.40654258913600005,0.18906931654399997,0.19450528336,0.21814047577600004,0.10126187097599998,0.018305806658499998,0.01836852546,11.279294361448455

2001
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00052119891799999997,0.014145103776,0.036193005792000001,0.10494619433600001,0.51651676774400002,0.0070999975090000004,0.0018298307319999998,1.6785842421759996,2.7948594129920004,0.0093545569429999993,0.059563697919999999,0.17790320069599996,0.031257478559999996,0.6467259059199999,6.0795005940140001
BORF,0.093444145463999997,0.0,0.0,0.0,0.0,1.0372146875000001e-05,0.0,0.0,0.0,0.99375946348800004,0.035450574336000004,0.0,0.0,0.0,1.1226645554348751
TEMF,0.019320980288,0.030549602368000001,0.0012341896195,0.0,0.029718276927999998,0.0036669067479999993,0.00015902167503124999,0.0,0.005519725153999999,0.01579774686,0.044462745119999994,0.044283212183999998,0.0,0.079157951071999993,0.27387035801653126
DEFO,0.0,0.0,0.040851463070999995,0.092149396447999993,0.41153937977599991,0.0,0.0,0.236356691008,0.43967278016200001,0.0,0.0081668695939999987,0.122845770912,0.12872966796800001,0.034703227767999993,1.5150152467069997
PEAT,0.027481581115999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10440500444749999,0.00037368554921874997,0.0,0.51967221247999995,0.0,0.65193248359271871
AGRI,0.013999190324,0.036217129216000003,0.037434814976000014,0.033151389568000005,0.078738187776000002,0.101741225576,0.011692754941,0.35412977075200003,0.332263152384,0.177363867008,0.40066907404800006,0.036726558947999997,0.024656404480000005,0.039013306111999997,1.6777968261089999
total,0.013999190324,0.036217129216000003,0.037434814976000014,0.033151389568000005,0.078738187776000002,0.101741225576,0.011692754941,0.35412977075200003,0.332263152384,0.177363867008,0.40066907404800006,0.036726558947999997,0.024656404480000005,0.039013306111999997,11.320780063874125

2002
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
