units - 1E12 g
CO2

1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORF,59.031066005503995,0.0,0.0,0.0,0.0,0.089925341723999991,0.0,6.0722988000000002e-05,0.00077627347299999991,211.11149382860799,47.816071228752001,0.0,0.0,0.0,318.04939340104897
TEMF,18.57803169792,14.069622521856001,0.98705730640000011,0.0,25.440912048128002,4.6822259609599994,0.053574830560000002,0.0,1.9924841963519999,15.555221369856,40.271584755711999,18.963935087616001,0.0,58.799750578176003,199.39440035353601
DEFO,0.0,0.0,19.755564927999995,28.096793831935997,380.99854498201603,0.0,0.0,56.927290105599994,28.498346763264003,0.0,7.5853291502080005,55.278080071680002,1527.6177349672962,3.827219149092,2108.5849039490922
PEAT,3.5482166873600001,0.0,0.0,0.0,0.0,0.00070083873599999995,0.0,0.0,0.0,2.7829094972799999,0.054237563657875014,0.0,1590.0838874152962,0.0,1596.46995200233
AGRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4222.4986497060072

1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORF,237.56959776767999,0.0,0.0,0.0,0.0,0.13844020817300001,0.0,3.3691764000000003e-05,0.00087491745200000005,760.07451680767986,37.630531398655997,0.0,0.0,0.0,1035.413994791405
TEMF,20.618419539967999,17.550448443392,9.2711449692480024,0.0,21.734267879423999,3.9449194004480006,0.19296509324800004,0.0,4.1398004346880004,12.470316466176,44.852392755200007,27.007372113919999,0.0,42.128704569344002,203.91075166505601
DEFO,0.0,0.0,303.48207325286404,46.169396803583993,686.40220702310398,0.0,0.0,203.73282001203205,29.652758824960003,0.0,10.586447571328,198.592762820416,251.73466667417597,5.3645859180239999,1735.7177189004883
PEAT,15.461635145728,0.0,0.0,0.0,0.0,0.012380369935999998,0.0,0.0,0.0,9.6744363831680005,0.036131570471000005,0.0,27.043770418499996,0.0,52.228353887802996
AGRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3027.2708192447526

1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORF,97.755165515775985,0.0,0.0,0.0,0.0,0.029198517841999998,0.0,3.0791486e-05,0.00080441585300000001,243.24619651686399,16.728391695120003,0.0,0.0,0.0,357.759787452941
TEMF,9.4672940113919992,37.015007649791997,4.1638930956799998,0.0,30.137217941503998,3.2404239646719999,0.095253251775999997,0.0,1.8397024645119999,14.990183866368,37.147436777472002,52.575930032128007,0.0,39.482101399552,230.154444454848
DEFO,0.0,0.0,19.204604256768004,15.351413035007999,575.81207388159999,0.0,0.0,100.08892060761599,20.760910036992001,0.0,7.1784882652480002,136.52587417292796,169.19406418329601,9.9092355215999994,1054.0255839610559
PEAT,7.4782614822400006,0.0,0.0,0.0,0.0,0.000680010376,0.0,0.0,0.0,3.8745745727919996,0.022512084910250002,0.0,52.235633288304001,0.0,63.611661438622249
AGRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1705.5514773074672

2000
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORF,50.951380762623998,0.0,0.0,0.0,0.0,0.048027423232000002,0.0,0.0,7.4889201000000004e-05,281.65215861964799,26.736244827023999,0.0,0.0,0.0,359.387886521729
TEMF,3.7755681341440006,30.558718108672,3.9282928056320001,0.0,20.898734669823998,5.0345268782080002,0.045430129792,0.0,1.3838171072000001,4.3811843109920003,18.864115415040001,31.162141534208004,0.0,33.627434762240007,153.65996385595201
DEFO,0.0,0.0,55.935922140415997,22.713493827456006,268.97236041728002,0.0,0.0,153.75994999193603,46.274897395711996,0.0,3.942797918208,84.892898342911991,73.358990503423996,4.8542548634239999,714.70556540076802
PEAT,3.2384663484159999,0.0,0.0,0.0,0.0,0.0010163979039999999,0.0,0.0,0.0,6.2020974911039994,0.048135272791874996,0.0,8.7413299039360002,0.0,18.231045414151872
AGRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.9844611926007

2001
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORF,23.345357672447996,0.0,0.0,0.0,0.0,0.002591296288,0.0,0.0,0.0,248.27311259648002,8.8566955950079986,0.0,0.0,0.0,280.47775716022397
TEMF,9.4707305185279989,14.97476161536,0.60497330457600007,0.0,14.567262126079999,1.7974391982079998,0.077949020527999999,0.0,2.705651068416,7.7437171804159997,21.794685730815999,21.706681625599998,0.0,38.801530159103997,134.24538154763201
DEFO,0.0,0.0,13.238452371199998,29.862221291519997,133.364731809792,0.0,0.0,76.59448415436799,142.48172581990403,0.0,2.6465811681279998,39.809783980031995,41.716531470335994,11.246035195392,490.960547260672
PEAT,2.2500545408000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5481598688079998,0.030595502891999998,0.0,42.548167573504003,0.0,53.376977486004002
AGRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959.06066345453189

2002
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORF,237.97704051302401,0.0,0.0,0.0,0.0,0.010148621056,0.0,0.0,0.0,440.25922738892797,35.216366104576004,0.0,0.0,0.0,713.46278262758392
TEMF,7.5155647078399994,31.888442351616,1.2690696158720001,0.0,19.291332886528,2.8283087529440003,0.10361703782399999,0.0,1.4079965154559999,17.688236364415999,15.596099190783997,10.672906887296,0.0,79.001026658303999,187.26260096888001
DEFO,0.0,0.0,19.734465361919998,7.5460707860479985,383.69790883430403,0.0,0.0,84.787355785216022,134.61917534137601,0.0,1.3849739223039998,62.211300733951994,414.60003748249596,10.224933398528,1118.8062216461442
PEAT,18.672315672576001,0.0,0.0,0.0,0.0,0.00063755955399999995,0.0,0.0,0.0,6.6731066346879997,0.031501670320000001,0.0,294.33217346764803,0.0,319.70973500478601
AGRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2339.241340247394

2003
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORF,137.05481985843198,0.0,0.0,0.0,0.0,0.026111667072000001,0.0,0.0,0.0037402265600000001,762.20389527708801,39.460343257088006,0.0,0.0,0.0,938.74891028623995
TEMF,11.534763331584001,24.454061203456,0.85529938284799989,0.0,22.180325490687999,6.0235099499520004,0.097050545408000011,0.0,2.5756448256000004,4.8338599313919985,16.131953524736002,26.557024937472004,0.0,157.43484513484799,272.67833825798402
DEFO,0.0,0.0,106.626581700608,81.927670546431983,338.99857613619201,0.0,0.0,61.05724403712,118.234199588864,0.0,6.151218298879999,56.969482936320006,104.70097238425599,12.706560619520001,887.37250624819217
PEAT,17.360062647879996,0.0,0.0,0.0,0.0,0.0014554219199999999,0.0,0.0,0.0,16.855775525441999,0.080799702119999997,0.0,69.399355267071996,0.0,103.69744856443398
AGRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2202.4972033568502

2004
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORF,294.91279968127998,0.0,0.0,0.0,0.0,0.001717975168,0.0,0.0,0.0073606446080000006,77.746842328015973,15.776775233536,0.0,0.0,0.0,388.44549586260797
TEMF,2.717286934528,12.528752295936,0.14469188454399998,0.0,20.589514293247998,1.593214166016,0.067120160896000008,0.0,0.65959240908799999,8.5386561628239992,27.351689068543994,27.378381846528001,0.0,10.019888381951999,111.58878760410398
DEFO,0.0,0.0,7.6461762314239996,16.498706201600001,620.39910416384009,0.0,0.0,51.410782850047994,133.28190195302398,0.0,15.518022516736,197.20457575628799,301.91233859584003,7.2529873904639999,1351.1245956592643
