units - 1E12 g
N2O

1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,9.2560242812500014e-05,0.0017154563619999998,0.004689128869999999,0.010385148954000001,0.082412890239999995,0.00098677998549999988,0.0001292387459375,0.1815741012,0.24325850115199996,0.0013016478488984376,0.010433347328000001,0.021430143081999996,0.041035714987999995,0.0341554502,0.63360010919914833
BORF,0.016254355860999999,0.0,0.0,0.0,0.0,2.4761175221435549e-05,0.0,1.6720230468749999e-08,2.1374890869140623e-07,0.058130098445499996,0.013166278850195312,0.0,0.0,0.0,0.087575724801055896
TEMF,0.0018047876100000001,0.0013668121200000002,9.588898676171875e-05,0.0,0.0024714911080000001,0.00045486101674999997,5.2045979921874997e-06,0.0,0.00019356251449999999,0.0015111326479687499,0.0039122363520000007,0.0018422765433750003,0.0,0.0057121792160000004,0.019370432713347659
DEFO,0.0,0.0,0.0024048162432499997,0.0034201819202500003,0.046378401706000001,0.0,0.0,0.0069296756823593745,0.0034690623374999999,0.0,0.00092335104946874983,0.0067289200628749988,0.18595467156800002,0.0004658817880729981,0.25667496235777615
PEAT,0.0004167019438906249,0.0,0.0,0.0,0.0,8.2306373046875014e-08,0.0,0.0,0.0,0.00032682436463183593,6.3696496735839861e-06,0.0,0.18673914196487498,0.0,0.18748912022944408
AGRI,0.00021406580721875,0.00052492678499999989,0.00086745492650000013,0.00047770369300000005,0.0025052190580000001,0.00080396837500000008,0.00011874345696875,0.0071534019439999999,0.003748398662,0.0041144738631250007,0.0063243255739999999,0.0018864484639999997,0.0042925536750000005,0.00037541236699999999,0.033407096650812498
total,0.00021406580721875,0.00052492678499999989,0.00086745492650000013,0.00047770369300000005,0.0025052190580000001,0.00080396837500000008,0.00011874345696875,0.0071534019439999999,0.003748398662,0.0041144738631250007,0.0063243255739999999,0.0018864484639999997,0.0042925536750000005,0.00037541236699999999,1.2181174459515847

1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00029644082250000005,0.0020464579359999995,0.026507666190000004,0.013665634174000001,0.085386558080000008,0.0013701479990000001,0.00044560619481250009,0.224193555584,0.28495122207999996,0.0013365721270000002,0.0091880574639999976,0.040243357058000001,0.010731700263999999,0.032602608768000002,0.73296558474131257
BORF,0.065415394280000011,0.0,0.0,0.0,0.0,3.8119872172363281e-05,0.0,9.2771132812499999e-09,2.4091077294921874e-07,0.20928847455999999,0.010361663750249999,0.0,0.0,0.0,0.2851039026503086
TEMF,0.0020030036525000004,0.0017049614840000003,0.00090065763126757816,0.0,0.0021114041520000001,0.00038323442500000002,1.8745850093749996e-05,0.0,0.00040216639375000008,0.0012114454395,0.0043572453200000005,0.0026236669516249999,0.0,0.0040926488120000002,0.019809180111736331
DEFO,0.0,0.0,0.036942434650562503,0.0056201337631874996,0.083554740175999995,0.0,0.0,0.024800099859968748,0.0036095872966250002,0.0,0.0012886728792734371,0.024174407274828127,0.030643295144000004,0.00065302326053125008,0.21128639430497659
PEAT,0.0018158114606250002,0.0,0.0,0.0,0.0,1.4539483291015627e-06,0.0,0.0,0.0,0.0011361641202734375,4.2432848393554678e-06,0.0,0.0031760155104248048,0.0,0.0061336883244916991
AGRI,0.00073710138912500011,0.00060224495600000013,0.0039015274435000007,0.00057110531324999997,0.002620977016,0.0008495988984999999,0.00030894234631249998,0.0075804111679999998,0.0045486184739999989,0.0066505307349999992,0.0056428087980000003,0.0024176090150000002,0.00087034094950000005,0.00040323954000000002,0.037705056042187504
