units - 1E12 g
N2O_1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,9.256024035671432e-05,0.001715456361683962,0.004689128812084,0.010385148865032865,0.08241289737419384,0.0009867799562673807,0.00012923873940457102,0.18157410974769767,0.24325849379342157,0.0013016478511616379,0.010433346781976868,0.02143014228332867,0.04103571677485778,0.03415545383597261,0.6336590844398605
BORF,0.016254356755310638,0.0,0.0,0.0,0.0,2.4761174093424364e-05,0.0,1.672023085868114e-08,2.1374891479456216e-07,0.05813009747873103,0.013166278884999376,0.0,0.0,0.0,0.08759763855765254
TEMF,0.0018047875144422845,0.0013668121450259312,9.588898551112476e-05,0.0,0.0024714910973629494,0.00045486102619603463,5.204597900646984e-06,0.0,0.00019356251643114396,0.0015111325949501429,0.003912236486249163,0.0018422765521115302,0.0,0.005712179438476689,0.019370475156933995
DEFO,0.0,0.0,0.0024048161941545433,0.0034201818327246514,0.046378400580903985,0.0,0.0,0.006929675870041743,0.0034690622997356527,0.0,0.0009233510582780895,0.006728920578909601,0.1859546862152512,0.00046588180857759916,0.25667497643857706
PEAT,0.00041670191746248994,0.0,0.0,0.0,0.0,8.230637226341335e-08,0.0,0.0,0.0,0.00032682437390264775,6.369649513200045e-06,0.0,0.18673914866654273,0.0,0.18748915430188745
AGRI,0.0002140657976581369,0.0005249267884608397,0.0008674549243228627,0.00047770369607068954,0.0025052188357123106,0.0008039683879311227,0.00011874345291445164,0.00715340197915074,0.003748398705183112,0.004114473919712008,0.006324326012804305,0.0018864484569222878,0.0042925538361914305,0.0003754123739006233,0.03349728400414715
All sources,0.018782472225230263,0.0036071952951707326,0.008057288916072531,0.014283034393828204,0.13376800788817306,0.002270452850860226,0.0002531867902196696,0.195657204317121,0.2506697310636862,0.06538417621845748,0.034765908873821014,0.03188778787127209,0.418022105492843,0.040708927456927536,1.2182886128990578

N2O_1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.000296440809109672,0.002046457943663209,0.026507665064874026,0.01366563433512543,0.08538655895112959,0.0013701479586767748,0.00044560618766612887,0.2241935576926999,0.2849512169047287,0.001336572092536022,0.009188057484508804,0.04024335703270745,0.010731700187260664,0.03260260790048944,0.7333335505417523
BORF,0.06541539693996226,0.0,0.0,0.0,0.0,3.811987163480123e-05,0.0,9.277113682396186e-09,2.409107759545642e-07,0.20928848350944987,0.010361663517743463,0.0,0.0,0.0,0.28517029211163175
TEMF,0.0020030036537825274,0.0017049614959161942,0.0009006576574102752,0.0,0.0021114042343033765,0.0003832344348935939,1.874584977114655e-05,0.0,0.00040216639633670475,0.001211445397150844,0.00435724520773478,0.002623666894338982,0.0,0.004092648743645857,0.01981006264881319
DEFO,0.0,0.0,0.03694243320809449,0.0056201338500051524,0.08355474530157672,0.0,0.0,0.024800100046707522,0.0036095872955871685,0.0,0.0012886728636939445,0.02417440838928865,0.03064329468842461,0.0006530232504236793,0.21128639889380196
PEAT,0.00181581147601102,0.0,0.0,0.0,0.0,1.453948290076127e-06,0.0,0.0,0.0,0.001136164033164626,4.243284927874072e-06,0.0,0.003176015424226498,0.0,0.0061338266113104434
AGRI,0.0007371013772686508,0.0006022449500150468,0.0039015274959998403,0.0005711053178179315,0.002620977016185519,0.0008495989048954366,0.00030894235723044107,0.007580411165677673,0.004548618775208224,0.0066505308728159965,0.005642808484517074,0.0024176090931181827,0.0008703409192799402,0.0004032395351252316,0.03779814310188169
All sources,0.07026775425613414,0.004353664389594449,0.06825228342637861,0.019856873502948513,0.1736736855031951,0.0026425551183906822,0.0007732943946677166,0.25657407818219885,0.2935118302826368,0.2196231959051173,0.030842690843125947,0.06945904140945325,0.045421351219191705,0.0377515194296842,1.2935322739091906

N2O_1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00018340386216929958,0.0025156067364674067,0.005472035247511606,0.008754820040745445,0.0829712006645975,0.0006938673398600159,0.00026042086310513015,0.19034200802556264,0.2436334918946495,0.0008263875840410491,0.005481575389410689,0.02943075489084602,0.0056377528630898776,0.0708942214126865,0.6471310158515049
BORF,0.02691713606323285,0.0,0.0,0.0,0.0,8.03988762120578e-06,0.0,8.47851597302669e-09,2.2149799796680796e-07,0.06697846539985906,0.004606205846415238,0.0,0.0,0.0,0.09852983306383974
TEMF,0.0009197127995840835,0.0035958715221787833,0.00040450690988758553,0.0,0.002927719990839338,0.0003147952609659245,9.253503361810286e-06,0.0,0.0001787203321021295,0.0014562413222379412,0.0036087370391475735,0.00510755846486766,0.0,0.003835541177935283,0.022359648483185047
DEFO,0.0,0.0,0.002337748710169753,0.0018687052792387396,0.07009276505556652,0.0,0.0,0.012183679073922529,0.0025271955395451905,0.0,0.0008738269438439123,0.016619096983142557,0.02059574657656853,0.001206236838841436,0.12830500100083916
PEAT,0.0008782455995900661,0.0,0.0,0.0,0.0,7.986029587024921e-08,0.0,0.0,0.0,0.00045502933008485574,2.6438151076496343e-06,0.0,0.006134542952288283,0.0,0.007470567090661493
AGRI,0.0002202677957769127,0.0006691861373132091,0.0009917002713432954,0.0003623775948946443,0.002705305105602966,0.0007141530673388252,0.00020086312227871636,0.006437668555810881,0.0037691432353865817,0.0033796661851684725,0.004070119400077673,0.0023756450541120547,0.0005350041758324127,0.0005640571630534005,0.027056319972067054
All sources,0.029118766120353214,0.006780664395959398,0.009205991138912241,0.010985902914878828,0.15869699081660635,0.001730935416081842,0.0004705374887456567,0.20896336413381209,0.25010877249968144,0.0730957898213914,0.01864310843400273,0.05353305539296829,0.03290304656777911,0.07650005659251666,0.930852385462097

N2O_2000
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0001119992504613784,0.0037397658764326317,0.012121480955098896,0.011435633938914768,0.03534893216273744,0.002213950909798007,0.00044351141501272785,0.19614511186029168,0.22648743060304752,0.0008961218986165195,0.005648151666590933,0.02496377897059555,0.002455137935117498,0.04522040542205418,0.567254926102922
BORF,0.014029593364659136,0.0,0.0,0.0,0.0,1.3224475572118696e-05,0.0,0.0,2.0620935219720094e-08,0.07755364178361651,0.007361894161637858,0.0,0.0,0.0,0.09897231908969308
TEMF,0.0003667825708808684,0.002968667137142937,0.00038161920260798186,0.0,0.0020302352385377772,0.0004890857836895425,4.413370292733123e-06,0.0,0.00013443274787969413,0.00042561597003513984,0.0018325794266719723,0.0030272875825644854,0.0,0.003266781734343546,0.014927533856138455
DEFO,0.0,0.0,0.006808999677131986,0.0027648807135826504,0.0327416158133165,0.0,0.0,0.018716974707677168,0.0056329759421289375,0.0,0.00047995106531564,0.010333889690535418,0.008929883375135516,0.0005909013305095954,0.08700007231533342
PEAT,0.00038032489216855114,0.0,0.0,0.0,0.0,1.1936557755846715e-07,0.0,0.0,0.0,0.0007283732467325746,5.652997503530621e-06,0.0,0.0010265802494554654,0.0,0.0021410689581589206
AGRI,0.0005311198806471773,0.0006005454416881138,0.0020216181178638404,0.0003247517210863969,0.001622663903192522,0.002499498320259369,0.00014619756635910158,0.006985267635917799,0.0032486136929174166,0.00334201526099762,0.0037481183512144065,0.0017398946803492954,0.00031453275123444213,0.0003156104083929,0.027494298180856604
All sources,0.015419819958817114,0.007308978455263682,0.0213337179527027,0.014525266373583815,0.07174344711778424,0.0052158788548965955,0.0005941223516645625,0.22184735420388663,0.23550347360690876,0.08294576815999835,0.019076347668934342,0.04006485092404475,0.01272613431094292,0.0493936988953002,0.7977902185031022

N2O_2001
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,5.3731848009375405e-05,0.0014582582196588443,0.003731237825844531,0.010819195293867111,0.053249156159835095,0.0007319585093923085,0.00018864233986323674,0.17304991509004422,0.28812983086354566,0.0009643872896903916,0.006140587254921488,0.01834053550887378,0.00322242044852295,0.06667277254358706,0.6269996223984032
