units - 1E12 g
NH3

1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00024065661175,0.0044601863679999999,0.01219173504,0.027001385000000003,0.21427353779200001,0.0025656277339999997,0.00033602069012499998,0.47209264083200003,0.63247200985600016,0.0033842841321093751,0.027126700416000002,0.055718370588000006,0.10669285975999999,0.088804179839999997,1.647360194659985
BORF,0.10783378423199999,0.0,0.0,0.0,0.0,0.00016426925190429688,0.0,1.1092446875e-07,1.4180415742187499e-06,0.38564359128400005,0.087347021651625001,0.0,0.0,0.0,0.58099019538557228
TEMF,0.0094751343999999998,0.0071757634959999997,0.00050341717025000011,0.0,0.012975327728000001,0.002388020399,2.7324138265625001e-05,0.0,0.00101620317,0.0079334457917499997,0.020539241471999998,0.0096719521317499991,0.0,0.029988942400000003,0.10169477229701562
DEFO,0.0,0.0,0.015992027825000001,0.022744209825999999,0.30841635838400006,0.0,0.0,0.046082343686500001,0.023069265869000002,0.0,0.0061402846116249991,0.044747324275999999,1.2365986705920002,0.003098114043395508,1.7068885991135208
PEAT,0.0027710679390000005,0.0,0.0,0.0,0.0,5.4733740624999996e-07,0.0,0.0,0.0,0.0021733821207109371,4.2358171666015621e-05,0.0,1.241815255938,0.0,1.2468026115067832
AGRI,0.0046452278734999998,0.011390912112000001,0.018823771855999996,0.010366170244000002,0.054363248959999999,0.017446113656,0.0025767330309999998,0.15522882723199996,0.081340253951999994,0.089284084451999993,0.13723787977599999,0.040935933344000003,0.093148419824000003,0.0081464486399999998,0.72493402495250003
total,0.12496587105625,0.023026861975999999,0.04751095189125,0.060111765070000003,0.59002847286400006,0.022564578378310544,0.0029400778593906248,0.67340392267496874,0.73789915088857427,0.48841878778057035,0.27843348609891599,0.15107358033975002,2.6782552061140001,0.13003768492339551,6.0086703979153775

1998
