units - 1E12 g
NOx

1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0018049247605000001,0.033451398976000003,0.091438019807999982,0.20251040575999998,1.6070516495360001,0.019242209455999998,0.0025201555950000003,3.5406951925759991,4.7435406940159996,0.025382132264250006,0.20345027417600001,0.41788779504000007,0.80019645951999996,0.66603136051200007,12.355202671995748
BORF,0.03568029491799999,0.0,0.0,0.0,0.0,5.4353794223144533e-05,0.0,3.6702945312500001e-08,4.692049130859375e-07,0.12760265231000001,0.028901587110375,0.0,0.0,0.0,0.19223939404045653
TEMF,0.021657450703999999,0.016401745999999998,0.0011506678463437503,0.0,0.029657892224000001,0.0054583325020000004,6.2455175062500003e-05,0.0,0.0023227501179999997,0.018133591775500002,0.046946837120000001,0.022107317848000001,0.0,0.068546152511999997,0.23244519382490625
DEFO,0.0,0.0,0.030661406490000001,0.043607318337999995,0.59132456649600007,0.0,0.0,0.088353361624500013,0.044230541730000003,0.0,0.011772725561500001,0.085793731200000015,2.3709220546559999,0.0059399925849902349,3.2726056986809904
PEAT,0.0020835094535624999,0.0,0.0,0.0,0.0,4.1153185156250005e-07,0.0,0.0,0.0,0.0016341218138867188,3.1848246969482419e-05,0.0,0.93369569857849999,0.0,0.9374455896247702
AGRI,0.0066574460599999998,0.016325222400000002,0.026977845232000003,0.014856583688000002,0.077912305023999998,0.025003416832000004,0.0036929209009999996,0.22247079001600001,0.11657519180800001,0.12796012959799999,0.19668653222399998,0.058668546208000001,0.13349841622399999,0.011675324304000001,1.038960670519
total,0.0066574460599999998,0.016325222400000002,0.026977845232000003,0.014856583688000002,0.077912305023999998,0.025003416832000004,0.0036929209009999996,0.22247079001600001,0.11657519180800001,0.12796012959799999,0.19668653222399998,0.058668546208000001,0.13349841622399999,0.011675324304000001,18.028899218685869

1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0057805959099999993,0.039905930880000003,0.51689948387200002,0.26647987561600001,1.665038076928,0.026717886032000003,0.008689320573999999,4.371774343168001,5.5565489838080007,0.026063156913999998,0.179167137792,0.78474542406399994,0.209268140928,0.63575080959999997,14.292829166086003
BORF,0.143594762864,0.0,0.0,0.0,0.0,8.3677760483398441e-05,0.0,2.0364396484375e-08,5.2882853417968754e-07,0.45941371565600003,0.022745115355499994,0.0,0.0,0.0,0.62583782082891404
TEMF,0.024036044391999998,0.020459538399999998,0.010807891614968748,0.0,0.025336849408,0.0045988132839999999,0.00022495019750000002,0.0,0.0048259968780000008,0.01453734448,0.052286944000000002,0.031484002736999993,0.0,0.049111781536000002,0.23771015692746877
DEFO,0.0,0.0,0.47101601352200007,0.071656706710000004,1.065322911872,0.0,0.0,0.31620125596875004,0.046022234359999997,0.0,0.016430578533375002,0.30822368490399993,0.39070201311999997,0.0083260464630078128,2.6939014454531329
PEAT,0.0090790570400000013,0.0,0.0,0.0,0.0,7.26974134375e-06,0.0,0.0,0.0,0.0056808202140625,2.1216423921874998e-05,0.0,0.015880076647617185,0.0,0.030668440066945309
AGRI,0.022923852364000002,0.018729818400000001,0.12133750408000001,0.017761374140000001,0.081512375424,0.026422525056000002,0.0096081066360000009,0.23575077017599996,0.141462035776,0.20683148969599999,0.175491336064,0.075187638848000019,0.027067601584000001,0.012540748959999999,1.1726271772039998
total,0.022923852364000002,0.018729818400000001,0.12133750408000001,0.017761374140000001,0.081512375424,0.026422525056000002,0.0096081066360000009,0.23575077017599996,0.141462035776,0.20683148969599999,0.175491336064,0.075187638848000019,0.027067601584000001,0.012540748959999999,19.053574206566466

1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0035763757355000009,0.049054333568,0.10670468793600001,0.17071899590400003,1.617938225152,0.013530413280000002,0.0050782067300000006,3.7116691548159997,4.75085321216,0.016114557602625,0.10689071744000002,0.57389967641600026,0.10993618547199999,1.3824373913599999,12.618402133572125
BORF,0.059086392078000004,0.0,0.0,0.0,0.0,1.7648533015625002e-05,0.0,1.8611375000000001e-08,4.8621509375000004e-07,0.14702589965599999,0.010111183665757814,0.0,0.0,0.0,0.21624162875924219
TEMF,0.011036553879999999,0.043150456904000004,0.0048540827530000009,0.0,0.035132641535999994,0.0037775432239999995,0.00011104203725000001,0.0,0.0021446439999999998,0.017474894669500002,0.043304844959999998,0.061290701192000002,0.0,0.046026490816,0.26830389597175003
DEFO,0.0,0.0,0.029806293913999998,0.023825991243,0.89368273209599991,0.0,0.0,0.1553419071545,0.032221742612000004,0.0,0.011141293413687499,0.21189346227599998,0.26259575129600005,0.015379519274249999,1.6358886932794374
PEAT,0.0043912278141875006,0.0,0.0,0.0,0.0,3.9930147656250001e-07,0.0,0.0,0.0,0.002275146583289062,1.3219075238342283e-05,0.0,0.030672714566328124,0.0,0.037352707340519591
AGRI,0.0068503280319999992,0.020811687999999998,0.030841876991999997,0.011269942680000002,0.084134987391999996,0.022210159535999998,0.0062468428309999996,0.20021148288000001,0.11722034464,0.10510761276200002,0.12658069753600001,0.073882560064,0.016638628799999999,0.017542176736,0.83954932888099998
total,0.0068503280319999992,0.020811687999999998,0.030841876991999997,0.011269942680000002,0.084134987391999996,0.022210159535999998,0.0062468428309999996,0.20021148288000001,0.11722034464,0.10510761276200002,0.12658069753600001,0.073882560064,0.016638628799999999,0.017542176736,15.615738387804074

2000
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0021839854469999998,0.072925434943999987,0.236368878384,0.22299486756800002,0.68930415206399998,0.043172044975999996,0.0086484727935000009,3.8248296423199997,4.4165050403840009,0.017474376174249996,0.11013895078399999,0.48679371157199991,0.047875190912000001,0.88179791667200003,11.061012664994751
BORF,0.030796668134000001,0.0,0.0,0.0,0.0,2.902933475e-05,0.0,0.0,4.52654658203125e-08,0.17023969526900001,0.016160256071296872,0.0,0.0,0.0,0.2172256940745127
TEMF,0.0044013907480000003,0.035624005237000003,0.0045794305164999997,0.0,0.024362822431999998,0.0058690293949999993,5.2960443499999998e-05,0.0,0.0016131929879999998,0.0051073915940468744,0.021990952629000002,0.036327451377999996,0.0,0.039201380847999991,0.17913000820904684
DEFO,0.0,0.0,0.08681474131700001,0.035252229357375001,0.417455563104,0.0,0.0,0.23864141998400001,0.071820440184000009,0.0,0.0061193758580000016,0.13175708845599998,0.11385600937200002,0.0075339918374374999,1.1092508594698125
PEAT,0.0019016244612500002,0.0,0.0,0.0,0.0,5.9682786718749998e-07,0.0,0.0,0.0,0.0036418662340234375,2.8264986723022465e-05,0.0,0.0051329006809765617,0.0,0.01070525319084021
AGRI,0.016517828047999998,0.018676961727999999,0.062872318027999988,0.010099778481,0.050464844544000007,0.077734395200000014,0.0045467441639999995,0.21724181366599998,0.101031879968,0.10393665788699999,0.11656647257599999,0.054110726063999998,0.0097819679408749985,0.0098154834740000023,0.85339787176887505
total,0.016517828047999998,0.018676961727999999,0.062872318027999988,0.010099778481,0.050464844544000007,0.077734395200000014,0.0045467441639999995,0.21724181366599998,0.101031879968,0.10393665788699999,0.11656647257599999,0.054110726063999998,0.0097819679408749985,0.0098154834740000023,13.430722351707837

2001
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
