units - 1E12 g
1997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0012125390835299571,0.02247247692995512,0.06142758382532406,0.13604544194331786,1.0796088903077525,0.012926816603288076,0.0016930273837930058,2.3786206947206905,3.1866860745030765,0.01705158566958798,0.13667683470856942,0.2807348468540486,0.5375678560209038,0.4474364183899851,8.30093350248901
BORF,0.38058983476613023,0.0,0.0,0.0,0.0,0.0005797738479070548,0.0,3.914980916846283e-07,5.004852897762252e-06,1.3610950293953428,0.3082836180546203,0.0,0.0,0.0,2.051066755929338
TEMF,0.10828725833941238,0.08200873395848288,0.005753339574168401,0.0,0.14828947463144734,0.027291663273724374,0.00031227589328635763,0.0,0.011613751394171016,0.09066796115031042,0.23473420317433877,0.11053659983368344,0.0,0.3427307860619378,1.1622285794216536
DEFO,0.0,0.0,0.056633420560197975,0.080545281266115,1.0922113229530355,0.0,0.0,0.16319386687587747,0.0816964163283014,0.0,0.021744917395314645,0.1584660780344908,4.379232824585427,0.010971516543642259,6.044695644542403
PEAT,0.012542727482344208,0.0,0.0,0.0,0.0,2.4774217371960582e-06,0.0,0.0,0.0,0.009837413502591777,0.00019172644682615805,0.0,5.620848255639281,0.0,5.643423424874362
AGRI,0.004923513146157618,0.012073315702461312,0.01995146246028778,0.010987184590268734,0.05762003106398022,0.018491272210954507,0.002731099312285933,0.16452823940791603,0.08621316686629518,0.09463289641546145,0.14545949272466766,0.04338831289314687,0.09872873434252472,0.008634484298402864,0.7704375025535708
All sources,0.5075558728175743,0.11655452659089932,0.14376580641997821,0.22757790779970155,2.3777297189562168,0.05929200335761121,0.004736402589365295,2.7063431925025756,3.3662144139447427,1.5732848861332942,0.8470907925043374,0.5931258376153697,10.636377670588137,0.8097732052939679,23.97278540981032

1998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.003883374375535758,0.026808597419477664,0.3472503913058787,0.1790197988043337,1.1185638528463264,0.01794893722577581,0.005837440705529104,2.9369354282395714,3.732860716509929,0.01750909332794549,0.12036354564108039,0.5271879450061666,0.14058526387835318,0.4270941372596511,9.60666892922374
BORF,1.531677662841213,0.0,0.0,0.0,0.0,0.0008925628920568999,0.0,2.1722023869082146e-07,5.640837860806057e-06,4.90041351038662,0.24261457071529374,0.0,0.0,0.0,6.677158383576303
TEMF,0.1201802261164896,0.10229769616775303,0.05403946271133948,0.0,0.12668426204444505,0.022994067488400646,0.0011247510502451399,0.0,0.02412998436065155,0.07268672823558647,0.261434728168927,0.15742002399646562,0.0,0.24555894068475462,1.188603832039539
DEFO,0.0,0.0,0.8699942948771587,0.1323541518746176,1.9677142359929605,0.0,0.0,0.584042352210321,0.08500578024783563,0.0,0.030348245892462305,0.569307312830647,0.7216495798325898,0.015378697545707117,4.975794651304301
PEAT,0.05465592443141458,0.0,0.0,0.0,0.0,4.3763842777808466e-05,0.0,0.0,0.0,0.03419853674798342,0.00012772287404820158,0.0,0.0955980615955616,0.0,0.18462817667676826
AGRI,0.016953331027800923,0.013851633356129591,0.08973512897920467,0.013135421817880737,0.06028246908434117,0.019540774084631684,0.007105673939361479,0.174349450093918,0.10461822803401075,0.15296220427089466,0.12978459015523938,0.05560500692874445,0.020017840425010144,0.009274508962135202,0.8693572583470214
All sources,1.7273505187924538,0.14295792694336026,1.3610192778735817,0.324509372496832,3.273244819968071,0.061420105533642855,0.014067865695135726,3.6953274477640488,3.946620349990287,5.177770072969028,0.7846734034470512,1.3095202887620234,0.9778507457315149,0.6973062844522478,23.502211231167667

1999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00240259046248296,0.03295444634361795,0.07168365734142376,0.11468813545129951,1.0869226621035915,0.0090896616026906,0.003411513100639565,2.493480155036452,3.1915985499001005,0.010825676699744729,0.07180863323940101,0.3855428658399113,0.07385455811771573,0.9287142440970287,8.477415793690394
BORF,0.6302549251618338,0.0,0.0,0.0,0.0,0.00018825103593070496,0.0,1.9852134851691872e-07,5.18629476723807e-06,1.5682763382364127,0.10785262998357975,0.0,0.0,0.0,2.307040106179755
TEMF,0.055182771349029394,0.2157523062922359,0.02427041596297451,0.0,0.17566321015518815,0.018887716908736817,0.0005552102341863692,0.0,0.010723220615486893,0.08737448422092291,0.2165242356646619,0.30645352721244584,0.0,0.23013248491250562,1.341578993135725
DEFO,0.0,0.0,0.05505398156369369,0.044008008843577084,1.6506846029584654,0.0,0.0,0.28692564073557275,0.05951545435709203,0.0,0.02057862434707684,0.3913797303829205,0.485029828071165,0.0284068775651478,3.0215827488247116
PEAT,0.026435192111752732,0.0,0.0,0.0,0.0,2.403794849020352e-06,0.0,0.0,0.0,0.013696382552381186,7.95788333752561e-05,0.0,0.184649739336258,0.0,0.22486406518079843
AGRI,0.005066159120748046,0.015391280612758528,0.022809105400969726,0.00833468436907377,0.062222014971589704,0.016425519919406304,0.004619851635023564,0.1480663710612196,0.08669029110743025,0.07773231935453287,0.09361274265412635,0.05463983424694036,0.012305095559087627,0.01297331424818311,0.6222953357120885
All sources,0.7193416382058468,0.26409803324861236,0.1738171602690617,0.1670308286639504,2.975492490188834,0.04459355326161343,0.008586574969849499,2.9284723653545934,3.348532702274878,1.7579052010639942,0.5104564447222212,1.138015957682218,0.7558392210842263,1.2002269208228655,15.99477704272347

2000
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0014671900884156916,0.04899093015899059,0.1587913904520284,0.14980679544247325,0.46307098262502105,0.02900275522835297,0.005809999142814782,2.56950080794359,2.9669851600648007,0.01173919618303122,0.07399078241376926,0.32702548463931264,0.032162305062593814,0.5923872750291214,7.431039077878849
BORF,0.3284978121085451,0.0,0.0,0.0,0.0,0.00030964627127121676,0.0,0.0,4.828316892189132e-07,1.81589024027781,0.17237606698926847,0.0,0.0,0.0,2.317400758149285
TEMF,0.022006955769119388,0.17812003962461578,0.022897153338123824,0.0,0.12181412213702802,0.02934514886556991,0.0002648022313361964,0.0,0.008065965382624574,0.02553695987952995,0.10995477275667023,0.18163726614783499,0.0,0.19600691578042778,0.8956520874026741
DEFO,0.0,0.0,0.16035193927979605,0.06511294054396635,0.7710650438464167,0.0,0.0,0.4407847519899727,0.1326565825462354,0.0,0.011302847404757564,0.24336309998807357,0.2102987510378218,0.013915726249222524,2.048851682886263
PEAT,0.011447779069458779,0.0,0.0,0.0,0.0,3.592903751881892e-06,0.0,0.0,0.0,0.02192403424977043,0.00017015522317961467,0.0,0.030900064929916843,0.0,0.06444617439838256
AGRI,0.012215756933488918,0.01381254465249934,0.04649721510889071,0.007469289307335158,0.03732126842335922,0.057488459362743376,0.003362543910581995,0.16066114950108631,0.07471811215860599,0.0768663482517426,0.08620671873178487,0.04001757615602113,0.007234252993078202,0.007259039125272569,0.6323688348941143
All sources,0.3756354939690278,0.24092351443610566,0.38853769817883893,0.22238902529377474,1.3932714170318248,0.11614960263168934,0.009437345284732973,3.170946709434649,3.1824263029839557,1.9519567788418843,0.4540013435194299,0.7920434269312421,0.28059537402341067,0.8095689561840442,13.389758615609564

2001
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0007038871676244256,0.019103181544442443,0.048879212540444486,0.1417314495790758,0.6975639029308743,0.009588655898165543,0.002471214498074793,2.2669537504920334,3.7745005551734225,0.012633472752112398,0.08044168815629034,0.24026100020789398,0.04221370532842696,0.8734132686609534,8.213694555634465
BORF,0.1505140684799899,0.0,0.0,0.0,0.0,1.6706814069521383e-05,0.0,0.0,0.0,1.6006864075588905,0.05710159846251757,0.0,0.0,0.0,1.8083187813154675
TEMF,0.0552028020602978,0.08728458653473234,0.0035262563990960515,0.0,0.08490936607503105,0.010476877335885067,0.0004543476831122373,0.0,0.015770644696169154,0.04513642286282004,0.12703642215765115,0.12652346997808922,0.0,0.22616558362175565,0.7825001663677478
DEFO,0.0,0.0,0.03795076724910616,0.08560624534503397,0.382317630557645,0.0,0.0,0.21957396476166985,0.40845339633783173,0.0,0.0075869733407511915,0.11412299687517284,0.11958908572860655,0.03223909211253928,1.4074401523083568
PEAT,0.007953804208040097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03021721791351517,0.00010815322302769126,0.0,0.15040514734823573,0.0,0.1886843226928187
AGRI,0.005532325704711883,0.014312610439423066,0.014793826549895686,0.013101064508668178,0.031116465675918154,0.0402070118066064,0.004620847745910666,0.13994818889347863,0.13130673557651312,0.0700922469596363,0.15834000356385278,0.014513932100267553,0.009743939222641058,0.015417629271983589,0.6660028320091421
All sources,0.2199068876206641,0.12070037851859786,0.10515006273854235,0.24043875943277798,1.1959073652394685,0.06028925185472654,0.007546409927097698,2.6264759041471817,4.330031331783936,1.758765768046974,0.43061483890409075,0.4954213991614237,0.32195187762791044,1.1472355736672322,13.066640810327995

2002
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0009363976436876395,0.03598144690308263,0.061783540263977574,0.10231859141968867,0.9979954276687812,0.006840376399228719,0.0030653845853025647,2.37358200031493,3.099462273885407,0.006305405092518093,0.17166603026403787,0.26052111283547597,0.17760842464275733,0.7042815165229392,8.003315484997577
BORF,1.5343045950984129,0.0,0.0,0.0,0.0,6.543100358084327e-05,0.0,0.0,0.0,2.8384747990809736,0.22704978600718242,0.0,0.0,0.0,4.600233734570526
TEMF,0.04380657219779193,0.18587070569357828,0.007397127158888855,0.0,0.11244492796059598,0.016485589075610395,0.0006039608903013374,0.0,0.00820690174507765,0.10310083766178264,0.09090622640647969,0.06221002317898293,0.0,0.46047961658059133,1.091512488549681
DEFO,0.0,0.0,0.056572937739857554,0.021632376060762154,1.0999496193462508,0.0,0.0,0.24306053171631165,0.3859137655587386,0.0,0.0039703145507150525,0.17834158860578397,1.1885369549094609,0.029311890989851732,3.207289979477733
PEAT,0.06600548707245298,0.0,0.0,0.0,0.0,2.253733608158028e-06,0.0,0.0,0.0,0.023589019803695252,0.00011135645728213091,0.0,1.0404461186039642,0.0,1.1301542356710026
AGRI,0.004307881409948184,0.008055011648154921,0.018911279828872193,0.006868189617747815,0.04238303605127235,0.013106580821173405,0.0037893351619808844,0.14762740550762798,0.11448167262673414,0.06361683667683472,0.13318148649250255,0.026333990398134683,0.0350798963559711,0.01104454031486516,0.6306837491018531
All sources,1.6493609334222938,0.22990716424481583,0.14466488499159622,0.13081915709819866,2.2527730110269,0.036500231033201526,0.007458680637584786,2.7642699375388697,3.608064613815958,3.035086898315804,0.6268852001781998,0.5274067150183774,2.4416713945121535,1.205117564408247,18.663189672368365

2003
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0008695390365593702,0.02622496769987439,0.13770674029201846,0.17643501350525254,0.7317345547797651,0.019466722749193765,0.002738681612826224,2.21995274664427,3.3603534585630053,0.018854317662648692,0.10336357758603074,0.3048505855634163,0.07186032893246709,0.36278366356712616,7.538023124568053
BORF,0.8836308669253107,0.0,0.0,0.0,0.0,0.00016834923312243906,0.0,0.0,2.4114289169303655e-05,4.914141971867971,0.25441189276612225,0.0,0.0,0.0,6.052377195081696
TEMF,0.06723359483008558,0.14253734134602872,0.0049853519214517,0.0,0.12928423816963874,0.035109710560642896,0.0005656862774984544,0.0,0.015012866857522811,0.028175503626592255,0.094029604998687,0.15479505188169457,0.0,0.9176529876561907,1.589395088911736
DEFO,0.0,0.0,0.3056671934903755,0.23486263820021022,0.9718096985340932,0.0,0.0,0.1750332423785599,0.3389428527261336,0.0,0.017633742012327112,0.16331483105538772,0.3001470362951858,0.03642598813365862,2.543837222825932
PEAT,0.061366748389072745,0.0,0.0,0.0,0.0,5.14482684248977e-06,0.0,0.0,0.0,0.05958412396393903,0.0002856219656470834,0.0,0.24532244505861203,0.0,0.3665640842041134
AGRI,0.0015588824070030007,0.018834186562932603,0.03334182735049578,0.01015852159864613,0.04103252195629515,0.01932998292739134,0.0053394840844505735,0.10141965208747676,0.08217197562272166,0.12983597312439898,0.08214124895572798,0.031021920972738645,0.012899928239716562,0.006827378803102236,0.5776191407969447
All sources,1.0146596315880312,0.1875964956088357,0.48170111305434155,0.4214561733041089,1.8738610134397928,0.07407991029719292,0.008643851974775255,2.4964056411103055,3.796505268058553,5.150591890245548,0.5518656882845422,0.6539823894732372,0.6302297385259812,1.323690018160078,18.667815856388472

2004
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
