units - 1E12 g
SO21997
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0002221445691535401,0.004117095098418715,0.011253908700758559,0.0249243563106222,0.19779094588236654,0.0023682718027639646,0.0003101729619660942,0.43577784634734046,0.5838203618881657,0.0031239547056860707,0.025040031321101882,0.05143233955346116,0.09848571634706918,0.08197308594629092,1.5207817426827512
BORF,0.04360925138990027,0.0,0.0,0.0,0.0,6.643241902714468e-05,0.0,4.485915774236224e-08,5.734727144917766e-07,0.15595880315195074,0.03532416399690903,0.0,0.0,0.0,0.23501806240270054
TEMF,0.012407914753319309,0.009396833894678935,0.0006592368061787094,0.0,0.01699150200633253,0.0031271696834146525,3.5781612148217785e-05,0.0,0.0013307423420474023,0.010389037040239364,0.02689662701080869,0.012665651846338628,0.0,0.03927123519085244,0.13317202232701925
DEFO,0.0,0.0,0.004809632388309087,0.006840363665449303,0.09275680116180797,0.0,0.0,0.013859351740083486,0.0069381245994713054,0.0,0.001846702116556179,0.013457841157819202,0.3719093724305024,0.0009317636171551983,0.5133499528771541
PEAT,0.0008334038349249799,0.0,0.0,0.0,0.0,1.646127445268267e-07,0.0,0.0,0.0,0.0006536487478052955,1.273929902640009e-05,0.0,0.37347829733308546,0.0,0.3749783086037749
AGRI,0.0008562631906325476,0.0020997071538433588,0.003469819697291451,0.0019108147842827581,0.010020875342849242,0.003215873551724491,0.00047497381165780657,0.02861360791660296,0.014993594820732448,0.016457895678848034,0.02529730405121722,0.007545793827689151,0.017170215344765722,0.0015016494956024932,0.1339891360165886
All sources,0.05792897773793064,0.015613636146941003,0.0201925975925378,0.03367553476035425,0.3175601243933561,0.008777912069674782,0.0008209283857721184,0.4782508508631846,0.6070833971231314,0.18658333932452953,0.11441756779561939,0.08510162638530813,0.8610436014554228,0.12367773424990106,2.9112892249099884

SO21998
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0007114579064626018,0.004911498859854378,0.06361839372686812,0.032797521120251104,0.2049277331641276,0.003288354978314944,0.0010694548084113035,0.5380645174452584,0.6838828939841269,0.003207772890901553,0.02205133707945793,0.09658405309049181,0.02575607943252508,0.07824625582570016,1.7600004522677861
BORF,0.17550472887202148,0.0,0.0,0.0,0.0,0.00010227283058972567,0.0,2.4889817847074476e-08,6.463459901014992e-07,0.5615057043046476,0.027799585782567235,0.0,0.0,0.0,0.7650910505784209
TEMF,0.013770650784008073,0.011721610821305895,0.006192021651454017,0.0,0.014515904715433745,0.002634736861638806,0.0001288777226087816,0.0,0.002764894017448124,0.008328687470244376,0.029956062035475614,0.0180377107325195,0.0,0.02813696131151153,0.13619418657316112
DEFO,0.0,0.0,0.07388486641618898,0.011240267700010305,0.16710949060315344,0.0,0.0,0.049600200093415044,0.007219174591174337,0.0,0.002577345727387889,0.0483488167785773,0.06128658937684922,0.0013060465008473585,0.4225727977876039
PEAT,0.00363162295202204,0.0,0.0,0.0,0.0,2.907896580152254e-06,0.0,0.0,0.0,0.002272328066329252,8.486569855748143e-06,0.0,0.006352030848452996,0.0,0.012267653222620887
AGRI,0.002948405509074603,0.0024089798000601873,0.015606109983999361,0.002284421271271726,0.010483908064742076,0.0033983956195817464,0.0012357694289217643,0.030321644662710694,0.018194475100832896,0.026602123491263986,0.022571233938068296,0.00967043637247273,0.0034813636771197608,0.0016129581405009265,0.15119257240752676
All sources,0.19656686602358878,0.019042089481220457,0.15930139177851044,0.046322210091533145,0.3970370365474569,0.009426668186705376,0.0024341019599418492,0.6179863870912019,0.7120620840395725,0.6019166162233865,0.1049640511328127,0.1726410169740613,0.09687606333494705,0.10930222177855999,3.24731871283712

SO21999
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0004401692550061006,0.0060374559353407265,0.013132884065324582,0.021011567247901368,0.1991308736928192,0.0016652815515401358,0.0006250100470095896,0.4568208012591058,0.5847203574780334,0.0019833301215839687,0.013155780413200154,0.07063380890127212,0.013530606359269759,0.17014612473276455,1.5531143767443512
BORF,0.07221670885171647,0.0,0.0,0.0,0.0,2.1570430824453425e-05,0.0,2.2747238318729798e-08,5.942629325575177e-07,0.17969832714395415,0.012358113678716608,0.0,0.0,0.0,0.2643483407242298
TEMF,0.006323025762625206,0.02472161780162157,0.0027809851262201595,0.0,0.020128075639111342,0.002164217552126137,6.361783841543236e-05,0.0,0.0012287023354578888,0.010011659515771477,0.024810068138850706,0.035114465988606194,0.0,0.02636934673633436,0.1537225897862701
DEFO,0.0,0.0,0.004675497420339506,0.003737410558477479,0.14018553011113305,0.0,0.0,0.024367358147845058,0.005054391079090381,0.0,0.0017476538876878246,0.033238193966285114,0.04119149315313706,0.002412473677682872,0.25661000200167833
PEAT,0.0017564911991801322,0.0,0.0,0.0,0.0,1.5972059174049841e-07,0.0,0.0,0.0,0.0009100586601697115,5.287630215299269e-06,0.0,0.012269085904576565,0.0,0.014941134181322986
AGRI,0.0008810711831076508,0.0026767445492528364,0.0039668010853731814,0.0014495103795785771,0.010821220422411864,0.0028566122693553008,0.0008034524891148654,0.025750674223243526,0.015076572941546327,0.01351866474067389,0.01628047760031069,0.009502580216448219,0.002140016703329651,0.002256228652213602,0.10822527988826822
All sources,0.08161746625163556,0.03343581828621513,0.02455616769725742,0.026198488185957422,0.37026569986547564,0.006707841524437768,0.0014920803745398872,0.5069388563774326,0.6060806180970606,0.20612204018215322,0.06835738134898127,0.14848904907261165,0.06913120212031304,0.20118417379899545,2.3509617233261215

SO22000
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00026879819187092713,0.008975437805423318,0.02909155309695622,0.02744552035244739,0.08483743379263925,0.005313482002541619,0.00106442735114229,0.47074824976478813,0.5435698118189008,0.002150692474841873,0.013555563460044402,0.059913067195203805,0.005892330818146711,0.10852896873383533,1.361411768628835
BORF,0.03764037379364895,0.0,0.0,0.0,0.0,3.5480301363442636e-05,0.0,0.0,5.532446263701044e-08,0.20807075278227435,0.0197514240484452,0.0,0.0,0.0,0.2655354988168762
TEMF,0.002521630271275684,0.020409587401822082,0.002623632150102338,0.0,0.013957867936539466,0.003362464903945116,3.0341921988211482e-05,0.0,0.0009242251750678198,0.002926109932912128,0.012598984139614201,0.02081260306835636,0.0,0.022459125410450618,0.10262679981610157
DEFO,0.0,0.0,0.013617999354263973,0.005529761427165301,0.065483231626633,0.0,0.0,0.037433949415354335,0.011265951884257875,0.0,0.00095990213063128,0.020667779381070835,0.017859766750271032,0.0011818026610191908,0.17400014463066685
PEAT,0.0007606497843371023,0.0,0.0,0.0,0.0,2.387311551169343e-07,0.0,0.0,0.0,0.0014567464934651493,1.1305995007061242e-05,0.0,0.002053160498910931,0.0,0.004282137916317841
AGRI,0.002124479522588709,0.002402181766752455,0.008086472471455362,0.0012990068843455875,0.006490655612770088,0.009997993281037476,0.0005847902654364063,0.027941070543671197,0.012994454771669666,0.01336806104399048,0.014992473404857626,0.006959578721397182,0.0012581310049377685,0.0012624416335716,0.10997719272342642
All sources,0.04331593156372137,0.03178720697399785,0.05341965707277788,0.03427428866395827,0.17076918896858181,0.01870965922004277,0.0016795595385669076,0.5361232697238136,0.5687544989743586,0.22797236272748397,0.061869653178599764,0.10835302836602816,0.027063389072266426,0.13343233843887672,2.017833542532224

SO22001
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.00012895643142895168,0.003499819582552471,0.00895497041276176,0.02596606767307746,0.12779796959740045,0.0017567003476287655,0.00045274159538554213,0.41531977994343305,0.6915115666723265,0.002314529409410641,0.014737408819439713,0.04401728340997204,0.007733808771312228,0.16001464791857234,1.504799034245163
BORF,0.01724640337997122,0.0,0.0,0.0,0.0,1.9143224465774985e-06,0.0,0.0,0.0,0.18341198039397497,0.006542891343350964,0.0,0.0,0.0,0.20720318943974375
TEMF,0.006325320981569447,0.010001358742579295,0.0004040501994700372,0.0,0.009729198006785357,0.0012004755085019353,5.206067291358475e-05,0.0,0.0018070530182916899,0.0051718817088048765,0.014556256481898905,0.01449748069071572,0.0,0.0259148057054452,0.0896614756398951
DEFO,0.0,0.0,0.003222995122289538,0.007270169562034698,0.03246858896289793,0.0,0.0,0.018647470690139743,0.03468818679826344,0.0,0.0006443289647195082,0.009691974384165731,0.010156185762368304,0.002737927180693696,0.11952782742757258
PEAT,0.0005284919819603371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020077886022222755,7.186260783787472e-06,0.0,0.009993697684889506,0.0,0.012537164529855906
AGRI,0.0009621436366754195,0.0024891497338267784,0.002572839492179746,0.002278446081916418,0.00541155945052397,0.006992524055540844,0.0008036257206987566,0.02433881638213298,0.022835954859726094,0.012189956465864012,0.027537392963546774,0.002524162201194223,0.0016945981846657116,0.0026813269321542678,0.11582658381586393
All sources,0.02519131641160537,0.01599032805895854,0.015154855226701087,0.03551468331702858,0.17540731601760773,0.009951614234118122,0.0013084279889978834,0.4583060670157058,0.7508427613486076,0.20509613658027687,0.06402546483373966,0.0707309006860477,0.029578290403235747,0.19134870773686552,2.049555275098094

SO22002
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0001715537721560161,0.006592020945142987,0.011319122110785321,0.018745391196602096,0.18283886078149075,0.0012531987569126411,0.0005615971900639439,0.43485472661264746,0.5678404287687001,0.001155188744340725,0.03145026573995376,0.047729059932981245,0.03253894872740929,0.1290286773931133,1.4662563029426208
BORF,0.17580573096455973,0.0,0.0,0.0,0.0,7.497302288454866e-06,0.0,0.0,0.0,0.3252418981199752,0.02601612075181599,0.0,0.0,0.0,0.527110105024093
TEMF,0.005019502974569413,0.021297684660973763,0.0008475874643524983,0.0,0.012884314392796971,0.0018889737189556892,6.920385120727446e-05,0.0,0.0009403741513269456,0.011813637473643208,0.010416338284464087,0.007128231703305142,0.0,0.052763288670370195,0.1250691373459652
DEFO,0.0,0.0,0.004804495785768797,0.0018371444886893348,0.09341398099268239,0.0,0.0,0.02064208352150416,0.0327739932523422,0.0,0.0003371817058387953,0.015145782540593452,0.10093732204174037,0.002489332590745557,0.2723813169199051
PEAT,0.004385746761377295,0.0,0.0,0.0,0.0,1.4974973830371283e-07,0.0,0.0,0.0,0.0015673767647524654,7.399100271488494e-06,0.0,0.06913263380636855,0.0,0.0750933061825081
AGRI,0.0007491967943474862,0.0014008716431486532,0.003288918355352198,0.0011944678018979988,0.0073709630768665066,0.002279405446080472,0.0006590148339560663,0.025674332326675053,0.019909856900400154,0.011063798094351393,0.023161998549041874,0.004579824594343519,0.006100851761280821,0.0019207896997465754,0.10968413444386767
All sources,0.18613173126700994,0.029290577249265405,0.02026012371625881,0.021777003487189427,0.2965081192438365,0.00542922497397556,0.0012898158752272847,0.4811711424608266,0.6214646530727695,0.35084189919706305,0.09138930413138603,0.07458289877122337,0.20870975633679908,0.18620208835397561,2.5755943028589585

SO22003
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,0.0001593048637527986,0.004804574335188861,0.02522871629253555,0.03232397264537641,0.13405824183141954,0.0035664225619118158,0.0005017432048661411,0.4067089088522368,0.6156372882411266,0.003454226216957406,0.018936839053062638,0.05585049009268367,0.013165251353387064,0.06646418407466878,1.3810118997496883
BORF,0.10124936846030612,0.0,0.0,0.0,0.0,1.9290015666602838e-05,0.0,0.0,2.7630954244773833e-06,0.5630787575589445,0.0291513621064766,0.0,0.0,0.0,0.6935015412368185
TEMF,0.00770384922808332,0.016332403447228718,0.0005712382220894277,0.0,0.0148138186849565,0.004022987634964691,6.481821831662998e-05,0.0,0.0017202243115861087,0.0032284430597629417,0.010774225410188168,0.017736932673010786,0.0,0.10514773653622812,0.182118184287285
DEFO,0.0,0.0,0.025958997481868758,0.019945871696828838,0.08253160993055086,0.0,0.0,0.014864818977101284,0.028784955894875574,0.0,0.0014975577209714065,0.01386962474067099,0.02549019434092821,0.0030935021835205487,0.2160371329673165
PEAT,0.004077524897216191,0.0,0.0,0.0,0.0,3.418489564404285e-07,0.0,0.0,0.0,0.003959078090513622,1.8978203906687806e-05,0.0,0.01630049497607603,0.0,0.02435641801666897
AGRI,0.00027110999522631885,0.003275510834057008,0.005798578892183848,0.0017666994717900327,0.007136091051135172,0.00336173628946503,0.0009286059631793466,0.01763820104271013,0.014290778910568533,0.02258017011048049,0.01428543514377702,0.00539511690527531,0.0022434658647349716,0.0011873702720371926,0.10045550659889495
All sources,0.11346115744458476,0.024412488616474586,0.057557530888677565,0.05403654381399529,0.2385397614980621,0.010970778350964579,0.0014951673863621176,0.43921192887204813,0.6604360104535811,0.5963006750366593,0.0746643976383825,0.09285216441164075,0.057199406535126285,0.17589279306645464,2.5974806828566734

SO22004
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,5.398602372252945e-05,0.004367108899987853,0.007026270576739548,0.0254552339251415,0.16457323005694843,0.0013733962709964918,0.0005896249753432209,0.3687250633953907,0.6040990152728803,0.00430011450135656,0.02181750334036945,0.09085018497549081,0.02572145407017634,0.11609680957871384,1.4351706717914454
BORF,0.2178670837891053,0.0,0.0,0.0,0.0,1.2691555946127474e-06,0.0,0.0,5.4376823955027465e-06,0.05743554673582746,0.011655106731611466,0.0,0.0,0.0,0.28696444409453437
TEMF,0.0018148244034784696,0.008367715380472656,9.663696628596604e-05,0.0,0.013751345827137496,0.00106407748454699,4.4828280679337694e-05,0.0,0.00044052923628297517,0.005702806188877438,0.01826767383288496,0.018285500842321747,0.0,0.006692093038960578,0.0745280314819286
DEFO,0.0,0.0,0.0018615157968886703,0.004016727292252092,0.15104056111894523,0.0,0.0,0.012516319705324025,0.032448426324442364,0.0,0.0037779727354260466,0.04801085105459678,0.07350270252183262,0.0017657913228163386,0.32894086787252425
PEAT,0.0030793270519680425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005363577515681135,6.729676778340964e-06,0.0,0.038172337471182115,0.0,0.0417947519514966
AGRI,0.0006549912199709338,0.0036340053188083886,0.004830109159637792,0.0014393866933375408,0.007977683404570569,0.004152548411441543,0.0009524864918628964,0.02278443811858471,0.01827802595323359,0.011092566063643783,0.0214617361107944,0.008324738870642305,0.004100916455343218,0.0021133339656042465,0.1121468917025477
All sources,0.22347021248824528,0.0163688295992689,0.013814532499551975,0.03091134791073113,0.33734282040760166,0.006591291322579638,0.0015869397478854546,0.4040258212192994,0.6552714344692347,0.07906739124127335,0.07698672242786463,0.16547127574305165,0.14149741051853426,0.12666802790609502,2.2795456588944774

SO22005
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,5.575349682141027e-05,0.006293389428481344,0.024031402873682595,0.018875881374055187,0.1747569575969658,0.003908076543181573,0.0005412421642653813,0.4401433478598543,0.6340037188330059,0.0019917726951630475,0.021833773719608006,0.07241348294659446,0.009471618192692844,0.062353484987023575,1.4708511852036144
BORF,0.1432719321269837,0.0,0.0,0.0,0.0,3.824537942981968e-05,0.0,0.0,0.0,0.10706474012513184,0.004308525583798362,0.0,0.0,0.0,0.25468344321534375
TEMF,0.0028244068541519902,0.010364881407029007,0.000990514287237718,0.0,0.00987738134937938,0.0022912198570849657,0.00018595046982861185,0.0,0.0018399749544342004,0.002594945527703214,0.012292133290082032,0.016962143844931908,0.0,0.00471187485433456,0.06493542669619759
DEFO,0.0,0.0,0.016178498941989906,0.0027822858272877685,0.21157175756142568,0.0,0.0,0.020033018601720978,0.034118546074904624,0.0,0.001281994757153975,0.026558398820967367,0.027003994295651545,0.002269046297451044,0.3417975411785528
PEAT,0.003278981794916391,0.0,0.0,0.0,0.0,8.86021005882363e-07,0.0,0.0,0.0,0.001079049995074424,5.350349838906127e-06,0.0,0.02683437606750966,0.0,0.031198644228345267
AGRI,0.000727822097540461,0.0031434308200616588,0.006090079062415523,0.0013566794325093102,0.006702594591622411,0.0029662445824597946,0.0008375313878281038,0.03313733814768406,0.0193012514546506,0.013255587880959228,0.02647067197468017,0.011006063591001987,0.0021198515588421304,0.0016489277286465874,0.12912182469870362
All sources,0.15015889637041396,0.019801701655572008,0.047290495165325734,0.02301484663385227,0.4029086910993932,0.009204672383162036,0.0015647240219220974,0.49331370460925933,0.6892634913169953,0.12598609622403176,0.06619244967516144,0.1269400892034957,0.0654298401146962,0.07098333386745576,2.2925880652207558

SO22006
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,6.322954761213393e-05,0.0076371805441356345,0.01274259698601191,0.016950693426217096,0.09790947599858645,0.0016538868008744725,0.0006417883420187569,0.34791084609614314,0.5950439732308703,0.006039791811778366,0.02332222838610192,0.05601212391942002,0.02853413670795232,0.0999131389610557,1.2944535549622582
BORF,0.10068290942118155,0.0,0.0,0.0,0.0,0.0002213239765152192,0.0,0.0,1.2451180576612427e-06,0.2058252077314278,0.02143530074700681,0.0,0.0,0.0,0.3281659869941891
TEMF,0.005499085051327072,0.019042589788624418,0.0023976696502143163,0.0,0.00842344487112122,0.0024301041671125024,6.631521481503363e-05,0.0,0.0006667881697030427,0.017370873676736044,0.013580654188516091,0.019707903167305457,0.0,0.057653742622330584,0.1468395588597621
DEFO,0.0,0.0,0.006648150786440716,0.0014068066368101756,0.08211126250437743,0.0,0.0,0.015380429199576221,0.03371164032535895,0.0,0.0006438462637686827,0.020060710330443886,0.1195768066886823,0.0019525913086709686,0.2814922440441293
PEAT,0.0022409789758418646,0.0,0.0,0.0,0.0,1.3257032093477515e-06,0.0,0.0,0.0,0.0008902322634348718,9.01428351176836e-06,0.0,0.12600912053273391,0.0,0.12915067175873177
AGRI,0.0002469748134612852,0.002825503789998566,0.004925444855126797,0.0014679523481548103,0.007159946427302519,0.003568323356436072,0.0008774464245840429,0.027876067512726404,0.017459453379774028,0.025652494769094546,0.024363229718185046,0.006546324887625602,0.005103484998939012,0.001826424061001284,0.13027951128731752
All sources,0.1087331778094239,0.029505274122758617,0.026713862277793734,0.01982545241118208,0.1956041298013876,0.007874964004147611,0.0015855499814178338,0.3911673428084457,0.6468831002237642,0.25577860025247157,0.08335427358709033,0.10232706230479498,0.27922354892830764,0.16134589695305857,2.3103815279063866

SO22007
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,3.770900664888533e-05,0.007375790508265223,0.01431226882246178,0.02759255228984513,0.22589970559551065,0.0035095173801210308,0.0010005971682072168,0.3831766320132496,0.5847816509895231,0.0009855717413389232,0.017307555606643085,0.08368327830883633,0.010152727899379639,0.09174002106581508,1.4515935698833724
BORF,0.0783350909254972,0.0,0.0,0.0,0.0,7.888644908574695e-06,0.0,0.0,1.990764615201369e-06,0.09496042570460365,0.02793568832092079,0.0,0.0,0.0,0.20124108436054547
TEMF,0.0024772290916692083,0.035088413710295425,0.0020571144063996423,0.0,0.011751602939667406,0.0024287952481733123,0.0002980657791329285,0.0,0.0019564890375547003,0.00389204511116582,0.014166684421447317,0.01516426565618751,0.0,0.024346057288292235,0.11362676268998549
DEFO,0.0,0.0,0.008540840447219278,0.009136560299809117,0.24311618271415125,0.0,0.0,0.019361893797442162,0.01954099640177591,0.0,0.001652334509665071,0.05260496378964275,0.011654470414930057,0.0006366456614979399,0.36624488803613353
PEAT,0.0018411285731883191,0.0,0.0,0.0,0.0,3.544750363583257e-08,0.0,0.0,0.0,0.0006102701743568216,4.820657210884001e-06,0.0,0.00217366469979205,0.0,0.00462991955205171
AGRI,0.00027978812302864516,0.003777270551748816,0.004902656240006716,0.002046961489372297,0.008235060988289968,0.003945325664896517,0.0010012727252180133,0.027082302983021313,0.01255471576965984,0.012105489523477262,0.025077861140290394,0.007561083899083177,0.0020397069318605085,0.0005432036684797645,0.1114946063986808
All sources,0.08297094572003227,0.04624147477030945,0.029812879916087418,0.03877607407902654,0.4890025522376192,0.00989156238560307,0.0022999356725581597,0.429620828793713,0.6188358429631288,0.11255380225494248,0.08614494465617756,0.15901359165374976,0.026020569945962246,0.11726592768408499,2.248830830920769

SO22008
,BONA,TENA,CEAM,NHSA,SHSA,EURO,MIDE,NHAF,SHAF,BOAS,TEAS,SEAS,EQAS,AUST,Global
SAVA,5.14362901499806e-05,0.00618861283807076,0.013981085823422161,0.01918826317307869,0.10184663533141028,0.001122526859300334,0.0005334895780348661,0.39842507174188924,0.6159516987672337,0.005112156350237385,0.015736278563373462,0.046103547192295626,0.008943961402889085,0.06318831503974845,1.296410382851162
BORF,0.06300980171871774,0.0,0.0,0.0,0.0,4.894883168032002e-06,0.0,3.836572818174332e-06,2.7422830557326823e-06,0.3129344890619636,0.021172950134173085,0.0,0.0,0.0,0.4000791561189738
